market_code,股票代码,涨停原因类别[20260413],code
33,002418.SZ,液冷+算力租赁+家电制冷,002418
33,002957.SZ,光模块+半导体设备+精密零部件制造+业绩预增,002957
22,600165.SH,ST板块+长链二元酸+重整完成,600165
17,603800.SH,固态电池+铜箔设备+复合集流体+光刻机,603800
33,000638.SZ,,000638
22,600608.SH,花卉转型+扭亏预告+昆明国资,600608
17,603256.SH,电子布+AI算力+净利暴增,603256
33,000791.SZ,东数西算二期+绿电装机+算电协同+甘肃国资,000791
33,002580.SZ,液冷储能+固态电池+山东国资,002580
33,300561.SZ,摘帽申请+金融科技+内控整改,300561
17,600743.SH,实控人筹划重组+物业管理+北京国资,600743
17,603950.SH,重大资产重组+柴油动力单元+发动机零部件,603950
33,002822.SZ,IDC算力+光伏新能源+重整完成,002822
17,688667.SH,并购锐能+年报增长+新能源汽车+理想零跑,688667
17,600982.SH,绿电+光伏+国企,600982
33,000968.SZ,油气涨价+煤层气+山西国资,000968
33,000612.SZ,一季报预增+电解铝涨价+金属镓,000612
17,603283.SH,HBM检测+半导体设备+存储芯片,603283
17,603803.SH,CPO+智算中心+高速光模块,603803
33,002321.SZ,实控人拟变更+羽绒出口+预制菜+鸭业龙头,002321
33,000609.SZ,ST板块+半导体创投+房地产回款,000609
17,600654.SH,算力中心+智慧安防+三季报暴增,600654
33,002789.SZ,珠海国资+储能+建筑装饰,002789
33,002980.SZ,光通信测试+拟收购伽蓝特+AI眼镜+仪器仪表,002980
33,000688.SZ,锂矿+钼矿+有色金属+年报增长,000688
17,600299.SH,蛋氨酸涨价+动物营养添加剂+产能扩张+央企改革,600299
17,605255.SH,中昊芯英入主+汽车管路+多次风险提示,605255
33,002439.SZ,一季报预增+AI安全+央企,002439
22,600381.SH,退市博弈+高端白酒+虫草龙头,600381
17,601019.SH,,601019
33,002515.SZ,光模块+火腿,002515
22,603828.SH,控制权变更+光伏建筑一体化+装配化装修,603828
33,000929.SZ,申请撤销退市风险警示+啤酒饮料+果汁扩产+扭亏预期,000929
17,688081.SH,视频指挥+军工AI+航天某研究所合作,688081
33,000793.SZ,海南国资入主+重整计划+文旅传媒,000793
33,002529.SZ,ST板块+汽车轻量化+光伏组件,002529
33,000669.SZ,,000669
22,600636.SH,,600636
33,002467.SZ,云网融合基础设施+商业航天+数据中心+AI数字人,002467
17,601908.SH,硅片+绿色电力+光伏设备,601908
33,002297.SZ,业绩预增+商业航天+C919+湖南国资,002297
22,603021.SH,ST博弈+日用玻璃+轻量化技术,603021
17,600166.SH,固态电池+新能源重卡+出口第一+北京国资,600166
17,600815.SH,绿色装备+雅鲁藏布江水电+厦门国资,600815
22,600243.SH,退市博弈+减速器+电梯配件,600243
33,002943.SZ,扭亏为盈+海外光伏+碳化硅设备+消费电子,002943
33,002436.SZ,光模块+FCBGA封装基板+存储芯片,002436
33,000010.SZ,算力+庭外重组+市政基建,000010
22,600599.SH,,600599
33,002080.SZ,AI纤维布+风电叶片+央企背景,002080
33,002517.SZ,,002517
33,002240.SZ,锂盐产能+固态电池+木绒锂矿,002240
17,688135.SH,存储芯片+HBM测试+芯片测试,688135
