market_code,股票代码,涨停原因类别[20260807],code
33,002741.SZ,PCB化学品+先进封装+半年度预增,002741
33,002443.SZ,液冷服务器+氢能管道+国企改革,002443
33,002552.SZ,覆铜板+黄金+业绩增长+国企,002552
33,300363.SZ,细胞与基因治疗+药品生产许可证+创新药CDMO,300363
17,688693.SH,资产重组+功率半导体+SiC MOSFET,688693
33,002437.SZ,创新药+CNS研发+业绩增长+仿制药龙头,002437
33,300986.SZ,更名+模块化建筑+AI4S,300986
17,603137.SH,跨界存储+建筑幕墙+新签项目增长,603137
33,000506.SZ,黄金+半年报预增+国企改革,000506
17,603567.SH,中药+创新药+CXO概念,603567
17,600110.SH,铜箔+HVLP+固态电池+半年报扭亏,600110
17,603936.SH,AI服务器PCB+800G光模块+陶瓷衬板,603936
17,603124.SH,定增扩产+液冷散热+铜基材料+半年报预增,603124
33,002428.SZ,磷化铟+重大合同+锗业龙头,002428
17,600601.SH,PCB+AI算力+业绩预增+珠海国资,600601
33,002821.SZ,创新药+多肽CDMO+增资子公司,002821
17,603011.SH,PCB层压机+可控核聚变+高端成形机床,603011
33,002631.SZ,石墨烯+家居+业绩减亏,002631
17,603757.SH,液冷服务器+屏蔽泵+实控人变更,603757
17,688046.SH,创新药+海外扩张+模式动物+中报预增,688046
33,002792.SZ,拟入股佳贤通信+英伟达相关+卫星通信,002792
33,002900.SZ,创新药+化学制药+中报预计减亏,002900
33,001267.SZ,光模块+重大资产重组+CPO+代工,001267
33,301234.SZ,跨界并购+电机控制芯片+医疗器械出口,301234
33,002589.SZ,创新药+医药商业+中药,002589
33,000739.SZ,氟泽雷塞获批+CDMO+创新药合作,000739
17,603228.SH,AI算力PCB+光模块+汽车电子,603228
17,603773.SH,TGV玻璃基板+先进封装+6G,603773
17,603660.SH,AI应用+低空经济+卫星数据应用+视频会议,603660
17,688073.SH,创新药+药物分子砌块,688073
33,301230.SZ,AI制药+CRO+创新药,301230
33,301047.SZ,阿尔茨海默病+p-Tau217蛋白+CRO概念+生物试剂,301047
33,002281.SZ,光模块+半年报预增+H股上市,002281
17,605289.SH,AI算力+液冷服务器+2026中报预增,605289
17,600744.SH,火电+新能源+定增+央企,600744
33,301008.SZ,拟收购半导体+人形机器人+家电零部件,301008
33,000831.SZ,稀土+一季报增长+央企,000831
17,603328.SH,定增扩产+AI算力+PCB+绵阳国资,603328
17,603106.SH,,603106
17,600721.SH,CRO+创新药+金华国资入主,600721
17,688020.SH,可剥铜+铜箔+电磁屏蔽膜,688020
17,603758.SH,人形机器人+真空镀膜+发动机核心零部件+回购注销,603758
17,603655.SH,橡胶密封件+新能源汽车+年报增长,603655
17,600641.SH,铟+铋材料+半导体设备+存储芯片,600641
17,688419.SH,先进封装+存储芯片+订单饱满,688419
17,601208.SH,高速电子树脂+AI算力+中报预增,601208
17,600664.SH,创新药+拟中标集采+业绩预增,600664
17,600272.SH,SPD+医药商业+上海国资,600272
17,600183.SH,AI覆铜板+PCB+半年报预增,600183
17,688137.SH,CRO+重组蛋白+AI医药,688137
17,600267.SH,创新药+宠物药+中报预增+椒江国资,600267
17,600892.SH,,600892
17,600500.SH,覆铜板上游（PPE树脂）+光纤概念+拟收购南通星辰,600500
17,688265.SH,AI制药+基因修饰模型+CRO服务,688265
33,002762.SZ,母婴用品+摘帽+中报预计扭亏,002762
17,600651.SH,减持未实施+芯片测试+医疗器械+上海国资,600651
33,002913.SZ,PCB+AI服务器+回购完成,002913
33,002742.SZ,减肥药+医药制造+资产注入+高管增持,002742
33,301080.SZ,AI蛋白质设计+创新药+CGT+回购注销,301080
17,603459.SH,HDI技改扩产+AI算力+PCB,603459
17,600206.SH,半年报增长+半导体靶材+稀土+央企,600206
33,002194.SZ,6G预研+滤波器龙头+卫星通信,002194
33,002037.SZ,民爆一体化+资产注入预期+央企,002037
17,600449.SH,算力租赁+数据中心+水泥+央企,600449
17,601700.SH,,601700
33,002943.SZ,碳化硅设备+机器人+稀土永磁+定增,002943
33,002971.SZ,电子特气+六氟化钨+大宗气体,002971
33,301366.SZ,PCB+AI硬件+光模块+半年报增长,301366
33,000603.SZ,白银龙头+铜金矿投产+技改获批+半年报增长,000603
17,603102.SH,营养保健食品+维生素+宠物经济,603102
33,000779.SZ,,000779
17,601865.SH,光伏玻璃+减供稳价+收购新材料公司,601865
33,001223.SZ,PCB设备+PI膜+薄膜材料,001223
33,001296.SZ,3D打印+覆膜砂+油气勘探,001296
17,603127.SH,实验猴涨价+中报预增+CRO,603127
17,603186.SH,覆铜板+AI算力+定增受理+半年报预增,603186
17,605287.SH,AI应用+AI漫剧+火山引擎合作,605287
33,300916.SZ,机器人+液冷+智能控制器,300916
