market_code,股票代码,涨停原因类别[20260316],code
17,605366.SH,有机硅+含硫硅烷+泰国项目+迈图合作,605366
33,001278.SZ,机器人+激光除草机+新能源+汽车零部件,001278
33,002334.SZ,,002334
22,600599.SH,业绩预盈+烟花爆竹+ST板块+退市博弈,600599
33,002831.SZ,机器人+环保包装+全球布局,002831
22,603789.SH,摘帽预期+农机+专用车注入,603789
33,000638.SZ,,000638
33,300051.SZ,HJT电池+钙钛矿电池+定增补流,300051
33,002235.SZ,控制权变更+数据确权+福建,002235
17,605299.SH,足球概念+体育产业+QFII新进,605299
17,603175.SH,PCB+AI算力扩产+存储芯片+特斯拉,603175
33,002693.SZ,扭亏为盈+多肽出口+海南自贸区,002693
17,601669.SH,,601669
33,002995.SZ,AI营销+抖音概念+持股中书艺莲+VR文旅,002995
33,000890.SZ,钢帘线剥离+光纤概念+环保设备,000890
17,603929.SH,IC洁净室+东南亚订单+年报增长,603929
17,600152.SH,定增+消费电子+钠离子电池,600152
17,600370.SH,瓶级聚酯切片+PTA龙头+机器人概念,600370
22,600355.SH,,600355
33,002636.SZ,高频高速CCL+覆铜板扩产+业绩预增,002636
17,600227.SH,甲醇+尿素+化肥+煤炭,600227
33,000908.SZ,重整完成+创新药CDMO+合成生物,000908
17,600313.SH,转基因玉米+化肥涨价+种业龙头+央企,600313
33,002310.SZ,重大资产重组+风光电站+北京国资,002310
17,603778.SH,固态电池+异质结光伏+光伏治沙,603778
33,002278.SZ,深海装备+油服业务+业绩预增+商业航天,002278
33,002253.SZ,军工射频+低空经济+空管系统,002253
17,603421.SH,南网业务恢复+液流储能+智能电网,603421
17,600302.SH,控制权变更预期+缝制设备+国企改革,600302
33,000488.SZ,复工复产+浆纸一体化+山东国资,000488
33,002427.SZ,扭亏为盈+海工装备+陕西国资,002427
33,002990.SZ,人形机器人+智慧口岸+海南封关+智慧交通,002990
33,300042.SZ,存储芯片+算力租赁+韶关国资,300042
17,600545.SH,玻璃纤维纱线+AI智慧工厂+纺织机械+回购注销,600545
33,000668.SZ,摘帽预期+房地产去化+跨境物流转型,000668
22,603813.SH,,603813
33,002931.SZ,,002931
17,600396.SH,海上风电+绿电+央企,600396
33,002789.SZ,珠海国资+建筑装饰+储能,002789
33,002086.SZ,预制菜+海参养殖+体外诊断,002086
33,002980.SZ,拟收购伽蓝特+光通信测试+AI眼镜+仪器仪表,002980
33,000617.SZ,跨境支付+能源金融+央企,000617
17,603248.SH,风电齿轮箱+大兆瓦产品,603248
22,603007.SH,,603007
22,600381.SH,退市博弈+高端白酒+中药大健康,600381
33,000004.SZ,,000004
17,600683.SH,拟剥离地产+北京国资+TOD轨道物业,600683
33,002512.SZ,商业航天+卫星通信+显示主板,002512
22,600892.SH,短剧+游戏+唐山国资,600892
33,002426.SZ,复合铜箔+车载显示+机器人结构件,002426
33,002724.SZ,核电+军工照明+专业照明,002724
33,002529.SZ,ST板块+汽车轻量化+光伏组件,002529
33,000669.SZ,重整预期+天然气+ST板块,000669
17,603986.SH,存储芯片涨价+车规MCU+人形机器人,603986
17,601975.SH,油运+MR船队+央企,601975
33,000533.SZ,算力基建+北美出口+干式变压器,000533
33,002467.SZ,云网融合基础设施+商业航天+数据中心+AI数字人,002467
33,000620.SZ,拟收购半导体+存储芯片+文旅地产,000620
33,300606.SZ,芯片抛光液+航空航天+参股中科声龙,300606
17,603738.SH,625MHz晶振+AI算力+光模块,603738
17,600751.SH,航运+贸易+海南自贸港,600751
17,600667.SH,存储芯片+先进封装+SK海力士+国企,600667
22,603843.SH,算力租赁+重整进展+基建转型,603843
33,000639.SZ,玉米油+运动营养+大消费,000639
33,000020.SZ,深圳旧改+物业经营+液晶显示,000020
22,600289.SH,4亿合同+算力概念+ST保壳,600289
33,002545.SZ,,002545
33,001896.SZ,,001896
22,603557.SH,童装童鞋+三胎概念+此前获赠资产+ST板块,603557
17,603052.SH,硅光芯片+光模块+消费电子,603052
