code,market_code,股票代码,涨停原因类别[20260203]
002716,33,002716.SZ,
002957,33,002957.SZ,半导体设备+光模块+AI眼镜+低空经济
000856,33,000856.SZ,京津冀一体化+北京国资+机器人概念
301182,33,301182.SZ,液冷散热+铜缆高速连接+安防线缆+机器人
000638,33,000638.SZ,
002126,33,002126.SZ,具身智能+液冷服务器+汽车热管理
601992,17,601992.SH,京津冀一体化+北京国资+水泥龙头+商业航天
601212,17,601212.SH,
000738,33,000738.SZ,商业航天+航空发动机+央企
600586,17,600586.SH,钙钛矿电池+TCO玻璃+光伏概念
600053,17,600053.SH,私募股权投资+人形机器人+六维力传感器
002112,33,002112.SZ,电网设备+变压器+欧洲设子公司+地方国资
001316,33,001316.SZ,商业航天+业绩预增+低空经济
002501,33,002501.SZ,
002547,33,002547.SZ,
603778,17,603778.SH,光伏设备+固态电池+钙钛矿
002471,33,002471.SZ,商业航天+高温合金+电网设备
002713,33,002713.SZ,重整完成+算力中心+家装AI
301636,33,301636.SZ,钙钛矿电池+光伏接线盒+新能源汽车
600869,17,600869.SH,中标30.75亿元+AI芯片供应链+液冷检测设备
603806,17,603806.SH,柔性砷化镓投资+太空光伏+光伏胶膜+电子材料
002792,33,002792.SZ,卫星通信+低空经济+基站天线
000691,33,000691.SZ,重整完成+军工导入+精细化工+股东增持
002155,33,002155.SZ,重组复牌+黄金预增+湖南国资
002342,33,002342.SZ,商业航天+深海系泊+扭亏为盈
000016,33,000016.SZ,
001400,33,001400.SZ,商业航天+铝挤压模具+风电装备
605599,17,605599.SH,业绩预增+国潮IP+北京国资
600381,22,600381.SH,
603211,17,603211.SH,机器人+毫米波雷达+卫星通信+铝合金压铸
000004,33,000004.SZ,
600410,17,600410.SH,AI算力+AI应用+DeepSeek概念
601799,17,601799.SH,H股递表+车灯龙头+机器人合作+回购
000547,33,000547.SZ,商业航天+天目一号+央企
920305,151,920305.BJ,AI大模型+大数据存储+政务场景
600735,22,600735.SH,资金占用解决+发制品出口+石墨烯
603103,17,603103.SH,春节档+AI漫剧+扭亏为盈
600481,17,600481.SH,光伏设备+氢能装备+中标空冷
002951,33,002951.SZ,储能系统+超级电容+风电应用
002175,33,002175.SZ,
300842,33,300842.SZ,存储芯片+商业航天+光伏银浆
000533,33,000533.SZ,北美变压器+数据中心+核电+智能电网
600984,17,600984.SH,工程机械+煤矿智能开采+一带一路+陕西国资
002012,33,002012.SZ,超级电容+特种纸+海外拓展
600149,17,600149.SH,京津冀一体化+供热+国企
603021,22,603021.SH,日用玻璃+地下管网+跨境电商
002830,33,002830.SZ,AI传媒+住宅装饰+数字化平台
300757,33,300757.SZ,CPO订单+硅光设备+光伏龙头
002238,33,002238.SZ,AI智能体+深圳国资+数据中心+并购预期
600673,17,600673.SH,液冷+秦淮数据+人形机器人
600243,22,600243.SH,
002943,33,002943.SZ,扭亏为盈+光伏设备+碳化硅设备+消费电子
