涨停原因类别[20260506],code,market_code,股票代码
,002193,33,002193.SZ
液冷技术+算力+家电制冷,002418,33,002418.SZ
皮鞋+C2M+跨境电商,603001,17,603001.SH
半导体硅片+12英寸扩产+CIS外延片,688584,17,688584.SH
,688022,22,688022.SH
商业航天+稀有金属+国企+章建平新进,002149,33,002149.SZ
六氟磷酸锂+商业航天+芯片概念+一季报增长,603978,17,603978.SH
算力租赁+蓝宝石+扭亏,600666,17,600666.SH
农机+无人驾驶+专用车注入+摘帽预期,603789,22,603789.SH
AI纺织大模型+跨境电商+一季度业绩暴增+国企,600790,17,600790.SH
长存投资+核桃乳+创投,603156,17,603156.SH
算力租赁+800G光模块+一季报净利增长+武汉国资,000818,33,000818.SZ
半导体真空泵+数据中心压缩机+光伏真空泵,002158,33,002158.SZ
,600053,22,600053.SH
电子布涨价+AI算力+80亿扩产,603256,17,603256.SH
,300068,33,300068.SZ
,603359,22,603359.SH
运力扩张+干散货航运+海峡两岸,603162,17,603162.SH
算力租赁+彩票印刷,002229,33,002229.SZ
燃气轮机+液冷+一季报增长,605060,17,605060.SH
一季报增长+商业航天+可转债受理,001316,33,001316.SZ
,002501,33,002501.SZ
参股神州龙芯（CPU）+功率半导体+并购吉莱微,600770,17,600770.SH
,002547,33,002547.SZ
,600340,22,600340.SH
天津国资+工业地产+利空落地+ST板块,600082,22,600082.SH
AI服务器电极箔+全球市占率第一+业绩高增,603115,17,603115.SH
铅锌铜+万侯矿项目+广东国资+一季报增长,000060,33,000060.SZ
,600180,22,600180.SH
商业航天+光模块+卫星通信+基站天线,002792,33,002792.SZ
,300010,33,300010.SZ
,600239,22,600239.SH
,600302,22,600302.SH
算力电源+锂电池+外销占比大,002052,33,002052.SZ
,300352,33,300352.SZ
摘帽申请+通信工程+扭亏为盈,603559,22,603559.SH
存储芯片+算力+韶关国资,300042,33,300042.SZ
人形机器人+丝杠+汽车轴承,300652,33,300652.SZ
半导体资产注入+ST博弈+房地产,000609,33,000609.SZ
磷酸铁锂+固态电池+业绩扭亏,002805,33,002805.SZ
,000016,33,000016.SZ
存储芯片+业绩暴增+定增扩产,603316,17,603316.SH
电子特气+氢能+储能+特高压+央企,600379,17,600379.SH
热电联产+新能源注入预期+大连国资+业绩增长,600719,17,600719.SH
,688066,22,688066.SH
预重整推进+无缝服装主业+ST板块,002634,33,002634.SZ
智算中心+算力租赁,300166,33,300166.SZ
锂盐产能扩张+一季度扭亏+固态电池材料,603399,17,603399.SH
,603729,22,603729.SH
订单需求饱满+数据中心+SOFC+山东国资,000338,33,000338.SZ
,002082,33,002082.SZ
一季报净利扭亏+跨境电商+母婴奶粉,002640,33,002640.SZ
影视IP+文旅小镇+演出经济,000802,33,000802.SZ
申请摘帽+酒水高增+虫草龙头,600381,22,600381.SH
算电协同+储能+虚拟电厂,002015,33,002015.SZ
机器人+工业母机+半导体,002903,33,002903.SZ
控制权变更+光伏建筑一体化+装配化装修,603828,22,603828.SH
,002431,33,002431.SZ
存储芯片封测+AMD链+一季报高增,002156,33,002156.SZ
AI应用+世界杯+广州国资,002181,33,002181.SZ
,000632,33,000632.SZ
,600818,22,600818.SH
,600735,22,600735.SH
算力租赁+业绩暴增+高送转,603629,17,603629.SH
连接器+数据中心+人形机器人,688800,17,688800.SH
,002175,33,002175.SZ
,600678,22,600678.SH
算电协同+绿电+天津国资,600821,17,600821.SH
存储芯片涨价+利基DRAM+机器人MCU,603986,17,603986.SH
存储芯片+股权变更+园林工程,605303,17,605303.SH
,002691,33,002691.SZ
,600084,22,600084.SH
CPU+AI服务器电源+央企,000066,33,000066.SZ
,002198,33,002198.SZ
风电+储能突破+绿电扩张+央企,601016,17,601016.SH
,603021,22,603021.SH
,600537,22,600537.SH
股份转让+环境治理+湖泊生态医院+高送转,688069,17,688069.SH
存储芯片+业绩暴增+国产替代,001309,33,001309.SZ
ST保壳+储能+服装,600107,22,600107.SH
液冷服务器+定增扩产+风电装备,002272,33,002272.SZ
算力大单+液冷+制冷剂涨价,600673,17,600673.SH
人形机器人+腱绳+商业航天+胎圈钢丝,603278,17,603278.SH
HVLP铜箔+存储芯片+业绩高增,301511,33,301511.SZ
,688033,22,688033.SH
,002883,33,002883.SZ
收购莱恩光电+光气资源+光刻胶+精细化工,002453,33,002453.SZ
固废处理+黄金供应链+一季度扭亏,002210,33,002210.SZ
,002323,33,002323.SZ
集成电路+国资背景+ST板块,600730,22,600730.SH
一季报大增+草甘膦+央企,000553,33,000553.SZ
ST板块+油气服务+新疆国资,002207,33,002207.SZ
,601718,22,601718.SH
农批运营+屠宰扩产+国资划转+温州国资,600113,17,600113.SH
摘帽+参股华大北斗+汽车电子+消费电子,600130,17,600130.SH
大缸径曲轴+数据中心+一季报增长,002283,33,002283.SZ
,000010,33,000010.SZ
,603922,22,603922.SH
,603378,22,603378.SH
AI纤维布+风电叶片+央企背景,002080,33,002080.SZ
光纤涨价+特高压+锂电铜箔+一季报增长,603618,17,603618.SH
,600759,22,600759.SH
液冷服务器+核电冷却塔+订单高增,603269,17,603269.SH
储能+风电设备+氢能,603063,17,603063.SH
,000677,33,000677.SZ
AI算力+800G光模块+AMB陶瓷衬板+年报扭亏,603936,17,603936.SH
铟靶材+固危废资源化+一季度扭亏,000711,33,000711.SZ
,002726,33,002726.SZ
算力中心+绿电直连+储能,601778,17,601778.SH
磷化铟扩产+光伏锗+商业航天,002428,33,002428.SZ
,603189,22,603189.SH
,600370,22,600370.SH
算力租赁+通信运维+5G消息+亏损收窄,000889,33,000889.SZ
半导体设备+温控设备+并购扩张,002787,33,002787.SZ
存储芯片+AI端侧+业绩爆发,301308,33,301308.SZ
,601010,22,601010.SH
AI编程+固件信创+业绩大增,688258,17,688258.SH
一季报增长+复合短纤维+涤纶毛条,600527,17,600527.SH
,600491,22,600491.SH
,600965,22,600965.SH
,002102,33,002102.SZ
存储芯片+英伟达代理+央企,001287,33,001287.SZ
一季报大增+湖北国资+证券,000783,33,000783.SZ
,300430,33,300430.SZ
算力租赁+风电轴承+扭亏为盈+国企,603985,17,603985.SH
摘帽申请+一季报暴增+IDC并表+算力租赁,002289,33,002289.SZ
,603718,22,603718.SH
申请撤销退市风险警示+锆钛选矿+家居业务,603389,22,603389.SH
ST摘帽预期+液化石油气+充电桩,600753,22,600753.SH
,002581,33,002581.SZ
*ST+墙布+流通盘小+回购,603272,22,603272.SH
摘帽预期+跨境物流转型+房地产去化,000668,33,000668.SZ
绿电+火电+央企,600396,17,600396.SH
,600337,22,600337.SH
液冷服务器+新能源车热管理+一季报增长,603158,17,603158.SH
摘帽申请+安消一体化+智能安防,003004,33,003004.SZ
