涨停原因类别[20260701],code,market_code,股票代码
ST摘帽预期+精纺呢绒+外销,002193,33,002193.SZ
创新药+合成润滑油+产能扩张,603351,17,603351.SH
澄清客户影响+光学元件+AI光学+消费电子光学,002273,33,002273.SZ
空调+电器+估值提升+国企,000521,33,000521.SZ
猪肉+肉牛布局+全产业链,002840,33,002840.SZ
电子化学品+顺酐酸酐衍生物+OLED材料,300481,33,300481.SZ
氟化工+第四代制冷剂+PVDF,300343,33,300343.SZ
保壳措施+低空经济+四川国资,002542,33,002542.SZ
金融科技+AI应用+摘帽,300561,33,300561.SZ
七腾机器人+LNG运贸+实控人变更+此前复牌,001331,33,001331.SZ
证券+间接持有长鑫存储股份+财富管理+安徽国资,600909,17,600909.SH
特种水产饲料+生物科技+越南投产,001313,33,001313.SZ
申请撤销ST+物业管理+固废资源化,002822,33,002822.SZ
ST板块+破产重整预期+5G通信技术,002547,33,002547.SZ
人形机器人+战略合作+汽车线束龙头+广州国资,001365,33,001365.SZ
回购+包装印刷+一季报增长,001256,33,001256.SZ
猪肉+饲料龙头+成本下降,000876,33,000876.SZ
白酒+亏损收窄+国企改革,600199,17,600199.SH
商业航天+固态微波前端+摘帽预期,002977,33,002977.SZ
土地补偿款+工业机器人销售+海绵城市+山西国资,000068,33,000068.SZ
六氟磷酸锂+一季报扭亏+固态电池,002759,33,002759.SZ
氟化工+在建项目+业绩增长,603379,17,603379.SH
人形机器人+杭叉合作+叉车变速箱,301279,33,301279.SZ
水牛奶+新消费+种源突破+光伏+引入战投,002329,33,002329.SZ
动物保健+剥离光伏+扭亏为盈,002868,33,002868.SZ
具身智能+人工智能+工业互联网+央企,002232,33,002232.SZ
AI算力+5G阅信+AI通信,002123,33,002123.SZ
端侧AI+算力模组+AI服务器+人形机器人,002881,33,002881.SZ
业绩预增+清洁能源改造+算电协同,000601,33,000601.SZ
资产整合+杭州国资+大功率充电桩,000909,33,000909.SZ
追偿1.67亿+华润保壳预期+PCB存储芯片+央企,000016,33,000016.SZ
高端MIM粉末+人形机器人+锂电池正极材料粉+山东国资,600784,17,600784.SH
撤销退市风险警示+电工产品+服装,002656,33,002656.SZ
,600228,17,600228.SH
实控人变更+AIGC+广告营销,603729,22,603729.SH
金融科技+AI应用+数字人民币,600446,17,600446.SH
创新药+临床试验获批+仿制药,688553,17,688553.SH
退市整理期+减亏+移动安全,000004,37,000004.SZ
电子化学品+深冷装备+海外业务,603173,17,603173.SH
人形机器人+工业机器人+炊具龙头,002403,33,002403.SZ
股东增持+生猪销售增长+饲料+猪肉,603363,17,603363.SH
人形机器人+PEEK材料+业绩增长+筒子纱龙头,605189,17,605189.SH
可转债+烟包扩产+出售金泰克股权,603499,17,603499.SH
人形机器人+工业机器人出货量第一+一季报增长,002747,33,002747.SZ
控制权变更+复牌+碳基新材料+智能制造,002175,33,002175.SZ
参股蓝箭航天+创投+山东国资,600783,17,600783.SH
机器人概念+煤矿机械+ST板块,002691,33,002691.SZ
实控人变更+天然气+ST板块,000669,33,000669.SZ
债务重整+招募重整投资人+民爆一体化,002360,33,002360.SZ
ST板块+乳制品+烘焙食品,002719,33,002719.SZ
ST摘帽+中成药+ST板块,002198,33,002198.SZ
智能会议+CPO+物联网+算力租赁,300287,33,300287.SZ
制冷剂涨价+萤石龙头+AI液冷,603505,17,603505.SH
机器人灵巧手+半导体设备+实控人拟增持,002943,33,002943.SZ
电子特气+六氟化钨+氟化工+华中气体龙头,002971,33,002971.SZ
半导体石英坩埚+大尺寸光伏坩埚+亏损收窄,001269,33,001269.SZ
算力+电力+碳化硅,600509,17,600509.SH
零售+黄金+杭州金帝入主,600857,17,600857.SH
人形机器人+具身智能+华为合作,603666,17,603666.SH
农批市场+国企+回购注销,600113,17,600113.SH
存储芯片+拟收购嘉合劲威+夜间经济,605178,17,605178.SH
澄清无退市风险+军需品+ST板块+央企,601718,22,601718.SH
资产处置+一季报营收增长+葡萄酒+甘肃国资,600543,22,600543.SH
聚焦眼科主业+剥离非核心资产+连锁医疗网络,002524,33,002524.SZ
庭外重组+一季报扭亏+工程施工,000010,33,000010.SZ
,603922,22,603922.SH
控制权变更+男装品牌+ST板块,002569,33,002569.SZ
摘帽预期+扭亏为盈+城市运营+央企,002305,33,002305.SZ
ST板块+建筑涂料+超跌反弹,603378,22,603378.SH
海力士供应+高纯二氧化碳+电子特气,688106,17,688106.SH
ST板块+油气开采+控制权变更预期,600759,22,600759.SH
证券+期货+江西国资,002670,33,002670.SZ
第一大股东增持+低空经济+帘子布,000677,33,000677.SZ
电子元器件分销+一季报增长+东南亚出海,603615,17,603615.SH
光刻胶+半导体清洗+季铵化合物,603120,17,603120.SH
城市更新+轻资产运营+商业物业经营,603682,17,603682.SH
股份回购注销+债务担保解除+新能源曲轴+汽车服务,000757,33,000757.SZ
显示驱动芯片+5000万像素CIS+CMOS图像传感器,688728,17,688728.SH
重大诉讼终审+面值退市博弈+生态文旅+中山国资,002717,33,002717.SZ
ST板块+零售+回购注销,601010,22,601010.SH
面退博弈+基建投资+绿色建筑,600491,22,600491.SH
维生素E+国资+回购+ST板块,002102,33,002102.SZ
房地产+资产出售+跨界并购+国企,600665,17,600665.SH
半导体超纯水树脂+超纯水制备+可转债,301092,33,301092.SZ
干散货航运+船舶购置+一季度扭亏,000520,33,000520.SZ
氧化锆+收购并表+ST板块,603718,22,603718.SH
机器人+电石炉改造+人形机器人,002698,33,002698.SZ
TMP产品+精细化工+供给缺口,002455,33,002455.SZ
商业航天+密码安全+央企,002268,33,002268.SZ
资产重组+煤炭贸易+云南国资,600725,17,600725.SH
减肥药+机器人+定增CDMO,603538,17,603538.SH
现代物流+ST板块+上海国资,600119,22,600119.SH
收购苏州志烽51%股权+光模块+消费电子,002635,33,002635.SZ
生猪养殖+饲料+机器人,002548,33,002548.SZ
ST板块+算力+AI应用,920090,151,920090.BJ
电子级双氧水+芯片概念+一季报增长+柳州国资,600423,22,600423.SH
PCB+1.6T光模块+定增加码AI,300852,33,300852.SZ
摘帽+资产注入预期+一季报扭亏+云南国资,002200,33,002200.SZ
人形机器人+真空镀膜+发动机核心零部件+回购注销,603758,17,603758.SH
风电+压缩空气储能+国企改革,002053,33,002053.SZ
保壳重组预期+制糖+广西国资,000911,33,000911.SZ
PVC糊树脂+化工+央企+ST板块,000698,33,000698.SZ
创新药+脑机接口+海南自贸区+国企,000566,33,000566.SZ
,002217,33,002217.SZ
生猪养殖+机器人概念+预重整,002124,33,002124.SZ
庭外重组+ST板块+建筑装饰+佛山国资,002856,33,002856.SZ
半导体硅材料+太空光伏+HJT硅片,300345,33,300345.SZ
果蔬龙头+新零售+摘帽,300175,33,300175.SZ
半导体投资+硬科技投资+衢州国资,600208,17,600208.SH
子公司购买资产+醋酸纤维素+竹基新材料+宜宾国资,600793,17,600793.SH
IT设备采购+算力运营+商业航天+OSS,003007,33,003007.SZ
预重整+环保装备+常州国资,300385,33,300385.SZ
