code,market_code,股票代码,涨停原因类别[20260318]
000990,33,000990.SZ,氢能源+POE新材料+半导体显示+青岛国资
603601,17,603601.SH,玻璃微纤维+SpaceX传闻+高效滤材
600599,22,600599.SH,业绩预盈+烟花爆竹+退市博弈+ST板块
000048,33,000048.SZ,拟控股汇博机器人+生猪养殖+机器人概念
603618,17,603618.SH,特高压+超薄铜箔+储能
600666,17,600666.SH,算力租赁+年报预增+蓝宝石
603789,22,603789.SH,摘帽预期+农机+无人驾驶+专用车注入
000638,33,000638.SZ,
600608,22,600608.SH,
300571,33,300571.SZ,算力租赁+国产算力+阿里巴巴概念+通信设备
688328,17,688328.SH,存储芯片+先进封装+智能眼镜+扭亏为盈
002693,33,002693.SZ,扭亏为盈+多肽出口+海南自贸区
002565,33,002565.SZ,商业航天+增资轨道辰光+环保纸
603615,17,603615.SH,存储分销+电子元器件分销+日用塑料制品
001270,33,001270.SZ,T/R芯片+商业航天+扭亏为盈+摘帽预期
301128,33,301128.SZ,液冷服务器+机器人概念
002731,33,002731.SZ,黄金+锂盐+ST反弹
000539,33,000539.SZ,电力+算电协同+广东国资
603189,17,603189.SH,AI智能体+AIGC+低空经济+鸿蒙生态
600370,17,600370.SH,瓶级聚酯切片+PTA龙头+机器人概念
600355,22,600355.SH,
605286,17,605286.SH,算电协同+储能中标+电梯部件
000908,33,000908.SZ,重整完成+创新药CDMO+合成生物
600468,17,600468.SH,储能+电网设备+天津国资
603220,17,603220.SH,算力集群+光纤+CPO
301191,33,301191.SZ,OCS交换机+WiFi7+海外突破
002713,33,002713.SZ,算力中心+家装AI+重整完成
603757,17,603757.SH,液冷+储能+算力
600722,17,600722.SH,
603115,17,603115.SH,AI服务器电极箔+储能电极箔+股权激励
001287,33,001287.SZ,存储芯片+英伟达+央企
000912,33,000912.SZ,
603803,17,603803.SH,CPO+智算中心+高速光模块
603912,17,603912.SH,液冷+算力+东数西算
600602,17,600602.SH,算力租赁+液冷服务器+上海国资
000601,33,000601.SZ,算电协同+储能+生物质发电
603897,17,603897.SH,电磁线+机器人+新能源汽车
000037,33,000037.SZ,电力+储能+业绩预增
300042,33,300042.SZ,存储芯片涨价+算力租赁+韶关国资
002339,33,002339.SZ,电网设备+中标+储能
603316,17,603316.SH,存储芯片+拟更名+定增扩产
603813,22,603813.SH,
603016,17,603016.SH,断路器龙头+国企改革
600396,17,600396.SH,绿电+氢能+央企
002789,33,002789.SZ,珠海国资+储能+建筑装饰
301306,33,301306.SZ,商业航天+军工检测+存储芯片
002445,33,002445.SZ,拟购苏龙热电+火电转型+江阴国资
001389,33,001389.SZ,算力服务器PCB+业绩预增+产能扩张
001400,33,001400.SZ,液冷服务器+3D打印+商业航天+铝挤压模具
600381,22,600381.SH,退市博弈+高端白酒+中药大健康
000004,33,000004.SZ,
600513,17,600513.SH,LH-1801揭盲+扬州国资+泌尿制剂
603580,22,603580.SH,退市博弈+轻型输送带+两岸融合
002667,33,002667.SZ,碳酸锂+郴州锂矿+控制权拟变更
301428,33,301428.SZ,腾讯概念+云计算+数据标注+车主信息服务
002512,33,002512.SZ,
600590,17,600590.SH,算力+军工电源+储能
603828,22,603828.SH,
603088,17,603088.SH,液冷+机器人+换热器+国企
002024,33,002024.SZ,
002808,33,002808.SZ,ST板块+OPC感光鼓+新能源转型
002856,33,002856.SZ,
603489,17,603489.SH,电踏车电机+年报预增+欧洲去库
000608,33,000608.SZ,摘星脱帽预期+商业地产+控制权变更
000669,33,000669.SZ,
603168,17,603168.SH,拟收购医院+眼科医疗+民营医院
002913,33,002913.SZ,AI服务器+PCB概念+可转债扩产+汽车电子
603311,17,603311.SH,新能源车+大飞机+空气过滤
603268,22,603268.SH,摘帽预期+VLCC订单+船舶制造
603098,17,603098.SH,BIPV+光储充+增持
600307,17,600307.SH,钢铁+氢能源+可控核聚变+甘肃国资
603881,17,603881.SH,算力租赁+阿里云涨价+上海国资
000020,33,000020.SZ,深圳旧改+液晶显示+物业经营
603387,17,603387.SH,体外诊断+POCT+流感
003018,33,003018.SZ,液冷收购+瓶盖龙头+饮料供应链
002432,33,002432.SZ,AI投资+AI医疗+回购注销
605058,17,605058.SH,PCB+AI算力+商业航天+CPO
002323,33,002323.SZ,BIPV+储能+枣庄国资
000815,33,000815.SZ,东数西算+算电协同+扭亏为盈+央企
300302,33,300302.SZ,PCIe5.0存储+智算中心+存储芯片
603687,17,603687.SH,AIGC+钙钛矿设备+参股曲速科技+纸包装
603557,22,603557.SH,
002637,33,002637.SZ,
603052,17,603052.SH,硅光芯片+光模块+消费电子
