code,market_code,股票代码,涨停原因类别[20260324]
002491,33,002491.SZ,光纤光缆+数据中心+储能消防
605366,17,605366.SH,有机硅+含硫硅烷+泰国项目+转债赎回
002309,33,002309.SZ,钙钛矿电池+光伏储能+厦门国资
600666,17,600666.SH,算力租赁+年报预增+蓝宝石
000638,33,000638.SZ,退市博弈+军工+粮食
600608,22,600608.SH,花卉转型+扭亏预告+昆明国资
002645,33,002645.SZ,稀土永磁+机器人+汽车拆解+扭亏为盈
600076,17,600076.SH,芯片并购+集装箱地板+碳汇+国企改革
603929,17,603929.SH,IC洁净室+东南亚订单+年报增长
002636,33,002636.SZ,覆铜板涨价+高频高速CCL+2025年报预增
601226,17,601226.SH,氢能+绿色甲醇+央企
002631,33,002631.SZ,石墨烯+家居+C2M
600982,17,600982.SH,绿电+光伏+国企
603115,17,603115.SH,AI服务器电极箔+储能电极箔+股权激励
002771,33,002771.SZ,液冷+算力租赁+AI视讯
605056,17,605056.SH,人形机器人+电网MRO+AI巡检
000601,33,000601.SZ,算电协同+储能+生物质发电
600744,17,600744.SH,绿色电力+新能源装机+年报预增+央企
002789,33,002789.SZ,珠海国资+储能+建筑装饰
000688,33,000688.SZ,锂矿+钼矿+年报增长
002445,33,002445.SZ,拟购江阴苏龙热电57.30%股权+火电转型+金属管件+江阴国资
600192,17,600192.SH,输变电设备+商业航天+国企改革
002082,33,002082.SZ,创新药+一季报预增+阿尔茨海默
300497,33,300497.SZ,VC涨价+业绩增长+微生物蛋白
600475,17,600475.SH,氢能装备+电力+字节概念+无锡国资
600234,17,600234.SH,定增+建筑工程+抖音概念
600381,22,600381.SH,
600777,22,600777.SH,
002795,33,002795.SZ,光伏剥离+肿瘤放疗+阀门管件
002663,33,002663.SZ,新型城镇化+康养布局+华为项目
002620,33,002620.SZ,光伏建筑一体化+预重整+建筑装饰
000415,33,000415.SZ,回购+飞机租赁
603527,17,603527.SH,固态电池+铜箔+新能源结构件+3D打印
600821,17,600821.SH,算电协同+绿电+天津国资
000669,33,000669.SZ,
601975,17,601975.SH,油运+MR船队+央企
603759,17,603759.SH,通威合作+光伏银浆+环保水务
601016,17,601016.SH,绿电+储能+央企+定增
002498,33,002498.SZ,特高压+海上风电+柔性直流输电
002685,33,002685.SZ,GPU芯片+港口装卸设备
600537,17,600537.SH,预重整备案+光伏组件+TOPCon电池
002218,33,002218.SZ,太空光伏+钙钛矿+回购注销
600758,17,600758.SH,煤炭+热电+国企
600107,22,600107.SH,出售资产+服装+保壳预期
603808,17,603808.SH,AI应用+多品牌矩阵+高端女装
600698,17,600698.SH,兵装重组+涡轮增压+央企
600186,17,600186.SH,算力租赁+调味品
002323,33,002323.SZ,BIPV+储能+枣庄国资
603165,17,603165.SH,间接投资宇树科技+再生纸+污水处理
000035,33,000035.SZ,绿色甲醇+越南扩建+氢能
000811,33,000811.SZ,液冷+核电+HRSG产品+烟台国资
603922,17,603922.SH,汽车零部件+新能源电池托盘+控制权变更风险
688551,17,688551.SH,AI 服务器测试电源+氢能源+储能
600868,17,600868.SH,水电+储能+锑银矿
605299,17,605299.SH,足球概念+体育产业+健身器材+外销
000677,33,000677.SZ,军工+帘子布+低空经济+减持完毕
002211,33,002211.SZ,有机硅+减亏+ST摘帽预期
002428,33,002428.SZ,光纤级锗产品+商业航天+锗晶片+磷化铟
000539,33,000539.SZ,算电协同+广东国资+电力
000720,33,000720.SZ,电缆+光纤+央企
600355,22,600355.SH,退市博弈+缝制数控+智能电网
600137,17,600137.SH,国潮内衣+直播电商
605196,17,605196.SH,北美电网+油服电缆+海外产能
001203,33,001203.SZ,锂矿放量+铁矿龙头+固态电池
002192,33,002192.SZ,锂矿+负极材料+储能概念+年报增长
600527,17,600527.SH,复合短纤维+涤纶毛条
601606,17,601606.SH,兵装重组+弹药装备+扭亏+央企
002083,33,002083.SZ,锂电池添加剂+涂层材料+地方国企
300335,33,300335.SZ,热泵出口+天然气分布式+雄安布局
600510,17,600510.SH,新型城镇化+国企改革+牛仔布
603421,17,603421.SH,智能电网+液流储能+南网业务恢复
600184,17,600184.SH,光纤概念+军工装备+人形机器人+央企
002289,33,002289.SZ,IDC并购+液晶显示+ST板块
603358,17,603358.SH,
002222,33,002222.SZ,光学晶体+光通信+中科院
000668,33,000668.SZ,摘帽预期+房地产去化+跨境物流转型
603429,22,603429.SH,
603538,17,603538.SH,减肥药+原料药+创新药+集采中选
600396,17,600396.SH,绿电+氢能+央企
601869,17,601869.SH,空芯光纤+算力网络+光模块
000722,33,000722.SZ,水电并购+湖南国资+绿色电力
000065,33,000065.SZ,一带一路+焦煤涨价+新能源运营+央企
003004,33,003004.SZ,亏损收窄+安消一体化+ST博弈
002519,33,002519.SZ,商业航天+军工装备+储能
600773,17,600773.SH,盐湖提锂+上海国资+地产开发
301226,33,301226.SZ,人形机器人+商业航天+无框电机
603580,22,603580.SH,
603937,17,603937.SH,新能源电池箔+彩涂铝+安徽项目
002512,33,002512.SZ,商业航天+卫星通信+显示主板
600026,17,600026.SH,VLCC运价飙升+油运龙头+央企
605081,22,605081.SH,
600539,17,600539.SH,并购重组+机器视觉+电商服务
002005,33,002005.SZ,ST摘帽预期+咖啡机出口+LED封装
000608,33,000608.SZ,摘星脱帽预期+商业地产+控制权变更
603017,17,603017.SH,商业航天+低空经济+工程设计
002265,33,002265.SZ,军工装备+兵装重组+机器人概念+央企背景
603398,22,603398.SH,光伏硅片+预重整+退市博弈
300385,33,300385.SZ,重整协议+复牌+常州国资
600193,22,600193.SH,
600032,17,600032.SH,绿电+氢能+浙江国资
603843,22,603843.SH,算力租赁+重整预期+基建转型
000509,33,000509.SZ,工业母机+双碳+湖北国资
601858,17,601858.SH,数字教育+数据要素+央企
002887,33,002887.SZ,足球草坪+三北工程+生态修复
002350,33,002350.SZ,储能出海+电网中标+配电设备
002199,33,002199.SZ,退市博弈+股权转让+石英晶体
002316,33,002316.SZ,智慧电网+生物纤维素+粮食概念
002528,33,002528.SZ,深圳国资+智慧城市+ST博弈
