涨停原因类别[20260804],code,market_code,股票代码
先进封装+存储芯片+超跌反弹,603203,17,603203.SH
CDMO+创新药+战略合作+回购注销,000739,33,000739.SZ
机器人+液冷+电子水泵+新能源汽车,603400,17,603400.SH
TGV玻璃基板+先进封装+PET铜箔+超跌反弹,603773,17,603773.SH
人形机器人+新能源汽车零部件+宁德时代供应商,603358,17,603358.SH
算力订单加价+AI算力+跨境数字贸易,300209,33,300209.SZ
洁净室工程+中标PCB大单+半导体产业链,603163,17,603163.SH
光模块+半年报预增+H股上市,002281,33,002281.SZ
中报预增+光模块+回购+AI PCB,002384,33,002384.SZ
商业航天+北斗导航+聚酯树脂+芜湖国资,002361,33,002361.SZ
钨锡钽铌+氯碱化工,000510,33,000510.SZ
跨界半导体+回购+自动衡器,300720,33,300720.SZ
拟收购半导体+跨境电商+AI应用+回购,300592,33,300592.SZ
控制权拟变更+轻型输送带+精密金属结构件,603580,17,603580.SH
机器人+智能割草机+园林机械,002779,33,002779.SZ
短剧+游戏+摘帽+唐山国资,600892,17,600892.SH
零售+中报预计扭亏+国企改革,600712,17,600712.SH
算力服务+回购股份+超跌反弹,301396,33,301396.SZ
光模块上游+铌酸锂+软磁材料,600330,17,600330.SH
CPO+薄膜铌酸锂+中报预增+珠海国资,300620,33,300620.SZ
控制权变更+高溢价转让+射频器件,300615,33,300615.SZ
AI视频+具身智能+中报预增,603466,17,603466.SH
PCB+AI服务器+回购完成+超跌反弹,002913,33,002913.SZ
AI安防+低空安全+浙江国资,603373,17,603373.SH
AI算力PCB+半年报预增+产能扩张,002463,33,002463.SZ
光模块晶振+CPO+半年报预增,603738,17,603738.SH
湿电子化学品+先进封装+超跌反弹,603931,17,603931.SH
HVDC+算力+宁德时代拟入股+员工持股,002364,33,002364.SZ
AI智能体+数据中心+AIoT平台+半年报减亏,002421,33,002421.SZ
特高压+中报预增+国企改革,601700,17,601700.SH
康养机器人+AI医疗+券商看好+绵阳国资,603990,17,603990.SH
液冷服务器+定增扩产+中报预增+饮料瓶盖,003018,33,003018.SZ
AI应用+数字教育+出版+央企,601858,17,601858.SH
FCBGA封装基板+半导体转型+浙江国资,002989,33,002989.SZ
石英晶体元器件+碳酸锂+摘帽,002199,33,002199.SZ
AI服务器测试+MLCC设备+中报预增,002975,33,002975.SZ
算力租赁+东数西算+央企,000815,33,000815.SZ
半导体靶材+央企+超跌反弹,000962,33,000962.SZ
覆铜板+AI算力+半年报预增,603186,17,603186.SH
AI算力PCB+半年报预增+央企,002916,33,002916.SZ
AI应用+AI漫剧+火山引擎合作,605287,17,605287.SH
