market_code,股票代码,涨停原因类别[20260821],code
33,002716.SZ,半年报增长+白银+湖南国资,002716
33,002491.SZ,中报扭亏+光纤光缆+储能安防,002491
33,003031.SZ,CPO+电子陶瓷+央企,003031
33,002017.SZ,数字货币+eSIM+央企,002017
17,603823.SH,,603823
17,688328.SH,半导体设备+存储芯片+CPO+中报增长,688328
17,600110.SH,铜箔+AI服务器+固态电池+半年报扭亏,600110
17,601212.SH,白银+黄金+多金属综合+锂电材料,601212
33,002886.SZ,PTFE薄膜+PCB概念+人形机器人+半年报增长,002886
33,300839.SZ,液冷算力+燃料油深加工+项目投资,300839
33,002045.SZ,AI眼镜+智能音箱+PCB概念+锂电池,002045
17,600460.SH,SiC+功率半导体+IDM模式,600460
33,002731.SZ,,002731
33,003040.SZ,数字人民币+AI应用+数字政务,003040
17,603095.SH,AI验布机+纺织机械+高端装备,603095
17,600785.SH,回购+新质零售+区域零售,600785
17,600397.SH,钨钽铌资产注入+磁选装备+江西国资,600397
33,002655.SZ,AI算力+电声元器件+苹果概念+汽车电子,002655
33,003032.SZ,,003032
17,600577.SH,电磁线+人形机器人+数据中心+可转债赎回完成,600577
33,002192.SZ,锂矿+半年报增长+实控人增持,002192
33,002631.SZ,石墨烯+家居+半年报预计减亏,002631
17,603079.SH,维生素+合成生物+生物保鲜剂+回购,603079
33,002900.SZ,,002900
17,603065.SH,磷化铟衬底+光稳定剂,603065
17,603958.SH,苹果产业链+机器人概念+重组+中报预计扭亏,603958
17,603803.SH,光网络+算力+半年报减亏,603803
33,002536.SZ,液冷服务器+汽车热管理+机器人,002536
33,000710.SZ,AI医疗+基因测序+三代测序,000710
17,600371.SH,,600371
33,002209.SZ,半年报增长+机器人+液态包装装备,002209
17,603333.SH,定增落地+特种电缆+电子级氢氟酸,603333
17,688356.SH,mRNA疫苗+LNP递送+聚乙二醇+创新药,688356
17,603538.SH,,603538
17,601011.SH,,601011
33,000017.SZ,黄金珠宝+黄金涨价+年报增长,000017
22,603838.SH,摘帽申请+锆钛矿+陶瓷,603838
33,002038.SZ,mRNA平台+GLP-1+创新药+国企改革,002038
17,603395.SH,,603395
17,603626.SH,折叠屏+机器人+消费电子+中报扭亏,603626
17,603758.SH,人形机器人+汽车零部件+真空镀膜+超跌反弹,603758
17,603045.SH,AI数据中心+电接触材料+黄金概念+半年报预增,603045
33,301591.SZ,PCB覆铜板+PEEK材料+高性能工程塑料,301591
33,002686.SZ,控制权变更+数据中心+风机龙头+国企改革,002686
33,002667.SZ,要约收购+钨锡铅锌矿+锂电原料,002667
33,002903.SZ,机器人+消费电子+数控机床,002903
33,000523.SZ,,000523
17,600272.SH,,600272
17,688137.SH,mRNA肿瘤疫苗+合成生物+mRNA原料酶,688137
17,600353.SH,氮化铝+真空灭弧室+可控核聚变+定增过会,600353
17,603382.SH,,603382
33,002988.SZ,机器人轻量化+AI产业基金+汽车轻量化,002988
33,002449.SZ,Micro LED+光耦+先进光电封装+广东国资,002449
33,002412.SZ,创新药+中药+中报预增,002412
17,605179.SH,,605179
17,603330.SH,CPO+电子胶+半年报预盈+超跌反弹,603330
33,002638.SZ,半导体照明+LED照明+车路云协同+储能,002638
33,300016.SZ,集采拟中选+化药+中药,300016
33,000931.SZ,mRNA疫苗平台+创新药+麻精镇痛+药品获批,000931
33,000505.SZ,,000505
33,003018.SZ,液冷服务器+定增扩产+中报预增,003018
33,300214.SZ,半年报增长+算力租赁+电解液+拟收购亘元新材,300214
33,000628.SZ,功率半导体+此前拟收购华鲲振宇股权+虚拟电厂+成都国资,000628
33,002971.SZ,定增获批+电子特气+大宗气体,002971
33,000603.SZ,黄金+白银龙头+铜金矿投产+半年报增长,000603
17,603102.SH,,603102
17,603318.SH,氦气+燃气轮机+天然气+山东国资,603318
33,002528.SZ,预重整+智慧城市+深圳国资,002528
17,601177.SH,半年报增长+机器人关节+齿轮箱龙头+杭州国资,601177
17,603052.SH,硅光芯片+CPO+功能性器件,603052
33,002396.SZ,数据中心交换机+CPO+半年报增长+福建国资,002396
