market_code,股票代码,涨停原因类别[20260721],code
33,003031.SZ,电子陶瓷+光模块+央企,003031
33,000426.SZ,白银+锡+中报预增,000426
17,603890.SH,液冷服务器+人形机器人+AIPC,603890
17,688809.SH,MEMS探针卡+AI算力测试+存储芯片+国产替代,688809
33,301012.SZ,算力服务合同+非晶变压器+一季报增长,301012
33,000048.SZ,生猪养殖+机器人+股权转让,000048
17,600884.SH,安徽国资入主+负极材料+中报预增,600884
17,603118.SH,数据中心交换机+机器人+国企改革+回购,603118
33,301310.SZ,高速铜缆连接+人形机器人线缆+可控核聚变,301310
33,002141.SZ,,002141
33,002273.SZ,AI光学+CPO+苹果产业链,002273
33,301583.SZ,半导体设备+精密零部件+次新股,301583
17,688328.SH,半导体设备+存储芯片+中报预增,688328
33,002409.SZ,半导体前驱体+存储芯片+HBM+客户长鑫,002409
17,603663.SH,锆铪分离+半导体+固态电池+业绩预增,603663
17,603124.SH,PCB铜基新材料+AI算力+半年报预增,603124
17,603256.SH,特种电子布+PCB概念+AI算力,603256
17,600460.SH,SiC+中报预增+IDM,600460
33,002731.SZ,,002731
17,603929.SH,半导体洁净室+中报预增+新加坡项目,603929
33,002745.SZ,LED封装+PCB涨价+实控人增持+中报预增,002745
17,600227.SH,,600227
17,603407.SH,存储芯片材料+氧氯化锆涨价+牙科医疗,603407
17,600552.SH,氧化锆涨价+锆系列产品+央企,600552
17,603950.SH,并购重组+柴油动力单元,603950
33,002008.SZ,中报业绩大增+AI算力PCB+激光设备+消费电子,002008
33,002759.SZ,,002759
17,688120.SH,半导体设备+存储芯片+先进封装+定增获批,688120
17,603065.SH,,603065
22,600302.SH,,600302
33,301282.SZ,半年度业绩预增+AI算力PCB+新能源汽车PCB,301282
33,002677.SZ,,002677
33,002138.SZ,被动电子元器件+TLVR电感+光模块上游,002138
33,000555.SZ,跨境支付+银行IT龙头+AI应用,000555
17,600744.SH,火电+新能源+定增获批+央企,600744
33,000938.SZ,超节点+CPO交换机+AI服务器+中报预增,000938
33,301421.SZ,中报预增+半导体光学+PCB光学,301421
17,600664.SH,创新药+化学制药+基药目录+中报预增,600664
17,601038.SH,农机龙头+出海增长+高端装备+央企改革,601038
17,603061.SH,半导体测试设备+中报预增+超跌反弹+可转债募资,603061
17,688627.SH,存储芯片+HBM测试,688627
17,600183.SH,覆铜板+存储芯片+产能扩张+半年报预增,600183
33,002213.SZ,半导体存储+定增获批+锂矿审批推进,002213
33,300814.SZ,AI电源PCB+定增扩产,300814
151,920305.BJ,,920305
33,002156.SZ,先进封装+AMD产业链+定增获批,002156
17,603391.SH,蒸汽锅炉+工业互联网,603391
33,300137.SZ,算力+零碳园区+环保AI,300137
17,603629.SH,算力租赁+英伟达合作+中报预增,603629
17,688072.SH,半导体设备+薄膜沉积设备+PVD设备+资产收购,688072
