股票代码,code,market_code,涨停原因类别[20260508]
000010.SZ,000010,33,
000016.SZ,000016,33,PCB+半导体+央企华润+保壳预期
000020.SZ,000020,33,
000036.SZ,000036,33,盐湖提锂+收购修订+地产开发
000078.SZ,000078,33,
000547.SZ,000547,33,商业航天+天目一号+央企
000582.SZ,000582,33,港口航运+30亿泊位投资+西部陆海新通道+广西国资
000659.SZ,000659,33,控制权变更+饮料代工
000668.SZ,000668,33,摘帽预期+跨境物流转型+房地产去化
000677.SZ,000677,33,
000678.SZ,000678,33,机器人轴承+汽车轴承+湖北国资
000710.SZ,000710,33,AI医疗+三代测序+基因检测NIPT
000720.SZ,000720,33,光纤+电缆+实控人中国华能+央企
000782.SZ,000782,33,军工锦纶+10万吨项目+出口增长
000826.SZ,000826,33,预重整+数字环卫+ST板块
000839.SZ,000839,33,网络安全+AI数据标注+央企背景
000863.SZ,000863,33,协议转让+绿色地产+数字文旅
000909.SZ,000909,33,ST博弈+杭州国资+智慧交通+房地产
000911.SZ,000911,33,制糖+超跌反弹+广西国资
001267.SZ,001267,33,硅光模块+硅光芯片+鄂州扩产+园林工程
001333.SZ,001333,33,聚酯树脂+15万吨扩产+全球供应
002009.SZ,002009,33,人形机器人+锂电循环+智能装备
002030.SZ,002030,33,体外诊断+禽流感+广州国资
002031.SZ,002031,33,人形机器人+RV减速器+XT减速器
002082.SZ,002082,33,
002091.SZ,002091,33,锂电池+固态电池+张家港国资
002109.SZ,002109,33,
002132.SZ,002132,33,机器人腱绳+有机硅+特高压+金属制品
002193.SZ,002193,33,
002198.SZ,002198,33,
002199.SZ,002199,33,碳酸锂+石英晶体+申请撤销退市风险警
002207.SZ,002207,33,ST板块+油气服务+新疆国资
002211.SZ,002211,33,有机硅+一季度扭亏+ST板块
002222.SZ,002222,33,AI光通信+晶体龙头+一季报增长+中科院控股
002256.SZ,002256,33,盐湖提锂+光伏+精细化工+一季报增长
002259.SZ,002259,33,天然气+LNG重卡+摘帽
002281.SZ,002281,33,CPO+算力光模块+央企
002289.SZ,002289,33,摘帽申请+一季报暴增+IDC并表+算力租赁
002317.SZ,002317,33,创新药+流感+MASH
002323.SZ,002323,33,
002397.SZ,002397,33,高端家纺+C2M+三胎概念+业绩增长
002431.SZ,002431,33,
002474.SZ,002474,33,AI政务+信创政务+数据要素
002491.SZ,002491,33,光纤涨价+数据中心+通信电缆
002501.SZ,002501,33,
002514.SZ,002514,33,
002520.SZ,002520,33,人形机器人+数控磨床+高端机床
002536.SZ,002536,33,机器人+液冷服务器+汽车热管理
002552.SZ,002552,33,PCB铜箔+黄金采选+Q1业绩大增
002569.SZ,002569,33,控制权变更+扭亏+男装品牌+宝鸡国资
002580.SZ,002580,33,液冷+储能+电池+山东国资
002624.SZ,002624,33,异环首日流水过亿+AI游戏+电子竞技
002629.SZ,002629,33,油服工程+光伏EPC+储能电站
002642.SZ,002642,33,AI应用+华为昇腾+国企改革
002655.SZ,002655,33,增持+车载声学+MEMS芯片
002667.SZ,002667,33,
002691.SZ,002691,33,机器人+煤矿装备+ST板块
002693.SZ,002693,33,多肽出口+申请撤销退市风险警示+扭亏为盈
002726.SZ,002726,33,
002798.SZ,002798,33,卫浴陶瓷+华为生态+AI布局
002865.SZ,002865,33,太空光伏+TOPCon电池+外销
002866.SZ,002866,33,钠离子电池+储能+越南工厂+FPC
002902.SZ,002902,33,800G光模块+AI算力+磁性元器件+新能源车载
002918.SZ,002918,33,建筑陶瓷+数据中心+股份注销
002929.SZ,002929,33,算力租赁+Token工厂+通信网络管维
002930.SZ,002930,33,算力+石化仓储+交割资质
002965.SZ,002965,33,人形机器人+液冷服务器+汽车零部件
002979.SZ,002979,33,人形机器人+无框电机+订单放量
002997.SZ,002997,33,机器人+海外订单+轻量化
003004.SZ,003004,33,摘帽申请+安消一体化+智能安防
003032.SZ,003032,33,人形机器人+AI培训+摘帽预期
003036.SZ,003036,33,高端纺机+电子布纺织机+固态电池+纺织机器人
300258.SZ,300258,33,人形机器人+差速器龙头+样品验证
300283.SZ,300283,33,铜箔扩产+锂电铜箔+芯片引线框架+一季报扭亏
300430.SZ,300430,33,
300488.SZ,300488,33,人形机器人+业绩高增+精密刀具
301028.SZ,301028,33,空压机+真空泵+绿色制造+国产替代
301183.SZ,301183,33,光隔离器+光通信+业绩高增
600076.SH,600076,17,半导体并购+集装箱地板+无锡国资
600078.SH,600078,17,磷化工+新材料+业绩扭亏
600080.SH,600080,22,
600130.SH,600130,17,摘帽+参股华大北斗+汽车电子+消费电子
600180.SH,600180,22,
600187.SH,600187,22,
600222.SH,600222,17,创新药CRO+中药制剂+江西国资入主+回购注销
600228.SH,600228,22,摘帽申请+AI导购+效果营销
600234.SH,600234,17,建筑工程+定增+算力租赁
600302.SH,600302,22,
600337.SH,600337,22,拟收购万德溙+铜缆高速连接+重整预期+回购延期
600340.SH,600340,22,
600343.SH,600343,17,航天央企+氢能装备+液力传动
600345.SH,600345,17,商业航天+参股长飞光纤+央企
600370.SH,600370,22,
600381.SH,600381,22,申请摘帽+酒水高增+虫草龙头
600391.SH,600391,17,长江发动机+燃气轮机+外贸订单+央企
600476.SH,600476,22,一季报扭亏+智慧物流+车联网+央企
600480.SH,600480,17,机器人传感器+液冷+央企
600491.SH,600491,22,
600498.SH,600498,17,光纤光缆+卫星导航+华为算力+央企
600530.SH,600530,17,保健品+宠物新品+益生菌+养老护理
600536.SH,600536,17,信创+麒麟OS+央企
600545.SH,600545,17,玻纤设备+华为合作+纺织机械+减亏
600589.SH,600589,17,算力租赁+IDC+东数西算
600678.SH,600678,22,
600683.SH,600683,17,TOD轨道物业+拟剥离地产+北京国资
600724.SH,600724,17,商业地产+并购转型预期+国企改革
600730.SH,600730,22,集成电路+国资背景+ST板块
600734.SH,600734,22,ST板块+智算中心+AI应用+福建国资
600745.SH,600745,22,
600748.SH,600748,17,房地产+物业服务+上海国资
600759.SH,600759,22,
600783.SH,600783,17,参股蓝箭航天+创投+山东国资
600818.SH,600818,22,
600855.SH,600855,17,军工电子+反无人机+央企
600892.SH,600892,22,短剧+游戏+唐山国资+一季度营收增长
600936.SH,600936,17,AI应用+智慧交通+机器人概念+广西国资
600965.SH,600965,22,
600984.SH,600984,17,煤矿智能装备+工程机械+一带一路出口+陕西国资
600992.SH,600992,17,商业航天+钢丝绳龙头+国企改革
601718.SH,601718,22,
601991.SH,601991,17,蒙电入苏+绿电+央企
603008.SH,603008,22,
603012.SH,603012,17,智慧矿山+华为合作+煤机装备
603028.SH,603028,17,人形机器人+光伏+国企
603045.SH,603045,17,风光储能+数据中心+电接触材料+业绩大增
603189.SH,603189,22,AI应用+数字孪生+低空经济
603278.SH,603278,17,人形机器人+腱绳+商业航天+胎圈钢丝
603311.SH,603311,17,新能源车+大飞机+空气过滤
603359.SH,603359,22,
603373.SH,603373,17,安全服务+低空安防+无人机+国企改革
603378.SH,603378,22,
603400.SH,603400,17,机器人+北美客户+汽车电子+锂电工具
603459.SH,603459,17,PCB扩产+1.6T光模块+商业航天
603580.SH,603580,22,年报扭亏+轻型输送带+新能源电池配件
603618.SH,603618,17,光纤涨价+特高压+锂电铜箔+一季报增长
603636.SH,603636,17,算力租赁+Token工厂+AI政务+华为合作
603667.SH,603667,17,人形机器人+丝杠+商业航天
603738.SH,603738,17,625MHz晶振+光模块+人形机器人
603758.SH,603758,17,人形机器人+真空镀膜+汽车零部件
603828.SH,603828,22,控制权变更+光伏建筑一体化+装配化装修
603843.SH,603843,22,算力租赁+重整预期+ST板块
603869.SH,603869,22,摘帽申请+算力租赁+IT服务
603878.SH,603878,17,不锈钢管+核电+海工装备
603922.SH,603922,22,
603937.SH,603937,17,电池铝箔+锂电池概念+扭亏为盈
603959.SH,603959,22,固态电池+锂电产线+庭外重组+ST板块
605006.SH,605006,17,玻纤涨价+风电纱+山东国资
605055.SH,605055,17,机器人+印染+智慧工厂
605086.SH,605086,17,高岭土龙头+提锂中试+紫金入股+福建国资
605169.SH,605169,17,LNG/CNG+西部大开发+现金分红
605189.SH,605189,17,PEEK材料+人形机器人+筒子纱龙头+一季度暴增
605289.SH,605289,17,AI算力+储能+一季报大增
605336.SH,605336,22,集成灶+退市保壳+ST板块
605358.SH,605358,17,VCSEL芯片+应用于光通信+人形机器人+业绩扭亏
605566.SH,605566,17,机器人皮肤+染料+2025年报预增
688260.SH,688260,17,MLCC扩产+陶瓷热沉+消费电子
688818.SH,688818,17,商业航天+固态电池+业绩增长+次新股
920200.BJ,920200,151,
920270.BJ,920270,151,机器人驱动关节+越野改装+外销占比高
