股票代码,涨停原因类别[20260325],market_code,code
002491.SZ,光纤光缆+数据中心+储能消防,33,002491
605366.SH,有机硅+含硫硅烷+泰国项目+转债赎回,17,605366
002418.SZ,液冷+算力租赁+家电制冷,33,002418
002309.SZ,光伏储能+钙钛矿电池+厦门国资,33,002309
000753.SZ,福建国资+绿色电力+渔光互补+新型城市服务商,33,000753
600666.SH,算力租赁+年报预增+蓝宝石,17,600666
600345.SH,参股长飞光纤+商业航天+智慧应急+央企,17,600345
603118.SH,800G交换机+机器人代工+业绩预增+唐山国资入主,17,603118
600251.SH,现金分红+番茄制品+新疆国资,17,600251
603179.SH,机器人+特斯拉链+汽车内饰,17,603179
000927.SZ,一带一路+供应链服务+央企,33,000927
002479.SZ,黄金回收+热电联产+绿色电力+南昌国资,33,002479
002485.SZ,实控人变更可能+文旅复苏+供应链物流,33,002485
600726.SH,绿电转型+热电联产+煤炭概念+央企,17,600726
000791.SZ,算电协同+绿电项目+甘肃国资+年报预增,33,000791
002580.SZ,算力储能+山东国资+储能电池,33,002580
600800.SH,丙烯酸酯投产+氢能源+天津国资,17,600800
001316.SZ,低空经济+AI眼镜+业绩预增+可转债,33,001316
000859.SZ,拟收购金张科技+芯片封装膜+合肥国资,33,000859
600982.SH,绿电+光伏+国企,17,600982
002713.SZ,算力中心+家装AI+重整完成,33,002713
002771.SZ,液冷+算力租赁+AI视讯,33,002771
603958.SH,3D打印+消费电子+机器人概念,17,603958
002253.SZ,军工射频+低空经济+空管系统,33,002253
000691.SZ,重整完成+军工导入+精细化工+摘帽预期,33,000691
003043.SZ,储能柜订单+半导体结构件+固态电池设备,33,003043
000601.SZ,算电协同+储能+生物质发电,33,000601
000909.SZ,智慧交通+无人驾驶+国企改革,33,000909
600191.SH,粮食深加工+黄原胶出口+抗性糊精投产+年报预增,17,600191
600136.SH,影视传媒+智慧空间+湖北国资,22,600136
002789.SZ,珠海国资+储能+建筑装饰,33,002789
001400.SZ,液冷服务器+3D打印+商业航天+铝挤压模具,33,001400
600163.SH,绿色电力+渔光互补+抽水蓄能+福建国资,17,600163
600777.SH,,22,600777
600158.SH,体育产业+彩票概念+央企背景,17,600158
600433.SH,氢能材料+特种纸+央企,17,600433
603828.SH,控制权变更+光伏建筑一体化+装配化装修,22,603828
002620.SZ,重整投资人+光伏建筑一体化+建筑装饰,33,002620
601002.SH,高铁扣件+业绩大增+海峡两岸,17,601002
002076.SZ,光伏+LED照明+中标合同+扭亏预期,33,002076
603629.SH,算力租赁+英伟达合作+年报预增,17,603629
000669.SZ,,33,000669
002467.SZ,云网融合基础设施+商业航天+数据中心+AI数字人,33,002467
601016.SH,绿电+储能+央企+定增,17,601016
603938.SH,存储芯片+电子特气+光纤材料,17,603938
600758.SH,煤炭+热电+国企,17,600758
603808.SH,AI应用+多品牌矩阵+高端女装,17,603808
600815.SH,绿色装备+雅鲁藏布江水电+厦门国资,17,600815
000595.SZ,新能源转型+宁夏国资+扭亏为盈,33,000595
600698.SH,兵装重组+涡轮增压+央企,17,600698
300069.SZ,特高压绝缘子+产能扩张+国家电网,33,300069
300245.SZ,超聚变合作+算力+数据库一体机,33,300245
301196.SZ,光纤概念+机器人+精密模具,33,301196
603052.SH,硅光芯片+光模块+消费电子,17,603052
300658.SZ,重组预案+高端互连材料+个护用品,33,300658
603601.SH,SpaceX供货传闻+玻璃微纤维+高效滤材,17,603601
603618.SH,特高压+超薄铜箔+光纤,17,603618
603261.SH,退市博弈+C919配套+航空装备,22,603261
605299.SH,足球概念+体育产业+健身器材+外销,17,605299
603175.SH,AI算力PCB+存储芯片+特斯拉,17,603175
000711.SZ,,33,000711
000592.SZ,福建自贸区+菌草纤维板+林木主业,33,000592
002211.SZ,有机硅+减亏,33,002211
002475.SZ,800G光模块+AI眼镜+汽车Tier1+回购,33,002475
000539.SZ,算电协同+广东国资+电力,33,000539
600152.SH,钠离子电池+定增+消费电子,17,600152
000720.SZ,电缆+光纤+央企,33,000720
000889.SZ,算力销售+5G消息+短信通道,33,000889
002192.SZ,锂矿+负极材料+储能概念+年报增长,33,002192
600527.SH,复合短纤维+涤纶毛条,17,600527
600802.SH,海峡两岸+福建国资+水泥,17,600802
000070.SZ,光纤涨价+CPO+深圳国资,33,000070
601606.SH,兵装重组+弹药装备+扭亏+央企,17,601606
002941.SZ,年报预增+基建+新疆国资,33,002941
001376.SZ,安哥拉电解铝+热电联产+定增修订,33,001376
600780.SH,风电并网+煤电绿电+山西国资,17,600780
603933.SH,人形机器人+芯片分销+拟H股上市,17,603933
601133.SH,半导体洁净室+长鑫合作+海外扩张,17,601133
000978.SZ,扭亏为盈+AI文旅+低空经济+桂林国资,33,000978
603358.SH,,17,603358
002730.SZ,算力租赁+智能矿山+矿用防爆电器,33,002730
002761.SZ,建筑施工+36亿港元中标+浙江国资,33,002761
603429.SH,固态电池+烟草包装+ST摘帽博弈,22,603429
603538.SH,减肥药+创新药+原料药,17,603538
600396.SH,绿电+氢能+央企,17,600396
601869.SH,空芯光纤+算力网络+光模块,17,601869
000722.SZ,水电并购+湖南国资+绿色电力,33,000722
002038.SZ,GLP-1+创新药+硝酸甘油喷雾剂+创投,33,002038
002718.SZ,实控人变更+集成吊顶+智能家居,33,002718
000659.SZ,PET瓶+饮料代工+粤港澳大湾区,33,000659
600238.SH,保壳预期+保健酒+海南国资,22,600238
000690.SZ,绿色电力+电力龙头,33,000690
600539.SH,并购重组+机器视觉+电商服务,17,600539
301419.SZ,CPO+导热散热+扩产,33,301419
002630.SZ,一带一路+超临界锅炉+ST摘帽预期,33,002630
000608.SZ,摘星脱帽预期+商业地产+控制权变更,33,000608
000993.SZ,绿色电力+福建国资+风电试点,33,000993
002058.SZ,固态电池+铝塑膜+ST博弈,33,002058
002902.SZ,800G光模块+AI算力+磁性元器件,33,002902
605168.SH,算力租赁+AI营销+低空经济,17,605168
600032.SH,绿电+氢能+浙江国资,17,600032
603042.SH,光纤概念+光通信,17,603042
603829.SH,电网设备+新能源配电+断路器,17,603829
000639.SZ,玉米油+运动营养+大消费+控制权变更风险,33,000639
600589.SH,算力租赁+IDC+东数西算,17,600589
002214.SZ,红外芯片+商业航天+退市博弈,33,002214
002199.SZ,退市博弈+石英晶体+ST板块,33,002199
601999.SH,教材出版+数据确权+国企改革,17,601999
002528.SZ,深圳国资+智慧城市+ST博弈,33,002528
