股票代码,涨停原因类别[20260302],market_code,code
600339.SH,油气储运+一带一路+可控核聚变,17,600339
600236.SH,水电高股息+西藏资产收购+央企,17,600236
600259.SH,稀土涨价+扭亏为盈+央企,17,600259
000638.SZ,,33,000638
600608.SH,,22,600608
000506.SZ,黄金+扭亏为盈+国企,33,000506
603861.SH,特高压+算力中心+出海订单,17,603861
601069.SH,金价新高+黄金采选冶+新疆国资,17,601069
002731.SZ,,33,002731
002485.SZ,ST摘帽预期+文旅复苏+供应链物流,33,002485
600938.SH,油价上涨+油气产量增长+央企,17,600938
600525.SH,电网设备+储能中标+新能源合同,22,600525
600227.SH,甲醇+化工+煤炭+化肥,17,600227
300139.SZ,黄金避险+非洲金矿+业绩预增,33,300139
002356.SZ,氢能源+天然气+年报扭亏,33,002356
603950.SH,玉柴合作+柴油发动机+新能源汽车+业绩预增,17,603950
000968.SZ,煤层气+山西国资,33,000968
603619.SH,油气开采及服务+伊拉克中标+民营龙头,17,603619
600714.SH,锶盐+小金属+青海国资,17,600714
600082.SH,,17,600082
603115.SH,AI服务器+储能电极箔+股权激励,17,603115
601857.SH,油气龙头+地缘冲突+央企增持,17,601857
600256.SH,油气开发+化工+煤炭,17,600256
002536.SZ,液冷服务器+机器人+汽车热管理,33,002536
002155.SZ,黄金+钨锑涨价+拟资产重组+湖南国资,33,002155
603488.SH,军工仿真+电梯门系统+VR/XR,17,603488
002843.SZ,数据中心电源+商业航天+锯切龙头,33,002843
600583.SH,卡塔尔40亿订单+深海装备+央企,17,600583
002413.SZ,军工电子+商业航天+存储芯片,33,002413
000609.SZ,,33,000609
601808.SH,油价跳涨+油服龙头+央企,17,601808
301213.SZ,拟收购辽晶电子+军工AI+商业航天,33,301213
000960.SZ,铟资源+锡全产业链+云南国资,33,000960
001337.SZ,黄金涨价+金精矿+四川国资,33,001337
002980.SZ,电网设备+AI眼镜+仪器仪表,33,002980
300191.SZ,涠洲5-3油田+业绩预增+油气开采,33,300191
001400.SZ,商业航天+3D打印+液冷+铝挤压模具,33,001400
002380.SZ,电力物联网+机器人+工业AI,33,002380
600777.SH,美国页岩油+诉讼撤诉+ST板块,22,600777
000004.SZ,,33,000004
002620.SZ,,33,002620
600481.SH,,17,600481
600452.SH,电力+配电网节能+央企背景,17,600452
603629.SH,算力租赁+年报预增+英伟达合作,17,603629
301302.SZ,军工AI+军事大模型+军事仿真,33,301302
000793.SZ,,33,000793
601975.SH,油运+央企,17,601975
002490.SZ,油气装备+中东订单+扭亏+国资背景,33,002490
600871.SH,油服工程+海外大单+CCUS+央企,17,600871
600367.SH,碳酸钡+固态电池+青岛国资,17,600367
301338.SZ,CPO+PCB概念+业绩高增,33,301338
603083.SH,1.6T光模块+800G放量+CPO布局+北美扩产,17,603083
000697.SZ,无人机+航空发动机+重整完成+四川国资,33,000697
600537.SH,,17,600537
300157.SZ,油气+绿氢氨+压缩机+扭亏,33,300157
002943.SZ,,33,002943
002855.SZ,,33,002855
000035.SZ,绿色甲醇+越南扩建+氢能,33,000035
002207.SZ,油气服务+新疆国资,33,002207
603318.SH,燃气运营+氢能源+山东国资,17,603318
002040.SZ,航运涨价+原油中转+江苏国资,33,002040
000096.SZ,成品油+化工贸易+增持妈湾电力+深圳国资,33,000096
300084.SZ,油气设备+军工+股权转让,33,300084
603393.SH,油气全产业链+资源扩张,17,603393
600759.SH,油气开采+哈萨克斯坦油田,17,600759
300164.SZ,油气+北美巨头合作+射孔技术,33,300164
600108.SH,玉米种子+土地流转+甘肃国资,17,600108
600435.SH,军工制导+央企,17,600435
000890.SZ,光纤概念+钢帘线剥离+环保设备,33,000890
600355.SH,,22,600355
603011.SH,可控核聚变+军工装备+高端成形机床,17,603011
000554.SZ,地缘冲突+油气+新能源转型+央企回购,33,000554
000908.SZ,,33,000908
002717.SZ,,33,002717
000070.SZ,光纤光缆+CPO+商业航天+深圳国资,33,000070
600722.SH,甲醇+风电+河北国资,17,600722
688307.SH,光刻机滤光片+智慧安防+业绩高增,17,688307
000912.SZ,化工+绿色化学品+国企,33,000912
000637.SZ,石化+广东国资+碳中和,33,000637
002629.SZ,油气涨价+光伏EPC+改性材料,33,002629
001267.SZ,CPO硅光模块+鄂州投产+业绩预增,33,001267
600696.SH,,22,600696
600968.SH,油服工程+氢能突破+央企油服,17,600968
603897.SH,电磁线+机器人+新能源,17,603897
603272.SH,,17,603272
600989.SH,煤制烯烃+绿氢耦合+业绩预增,17,600989
605117.SH,工商储逆变器+AI投资+海外扩张,17,605117
003009.SZ,军工装备+小型制导火箭+央企,33,003009
603838.SH,锆钛矿+陶瓷+摘帽预期,22,603838
000510.SZ,钽铌锡矿复产+有色金属+氯碱龙头,33,000510
603353.SH,成品油+铜官油库+拟收购奎芯+超快充,17,603353
001209.SZ,,33,001209
920088.BJ,油服+新疆油田,151,920088
600498.SH,光纤涨价+商业航天+华为算力+央企,17,600498
002554.SZ,油气EPC+天津国资+油气服务,33,002554
002667.SZ,钨锡铅锌+郴州锂矿+控制权变更,33,002667
600026.SH,VLCC运价飙升+油运龙头+央企,17,600026
600301.SH,小金属+锡锑锌铟+国企改革,17,600301
002842.SZ,钨价上涨+光伏钨丝+年报预增,33,002842
002630.SZ,,33,002630
000608.SZ,,33,000608
601872.SH,VLCC油运+业绩预增+央企,17,601872
603268.SH,VLCC订单+船舶制造+业绩预增,22,603268
600688.SH,石油化工+航运+央企,17,600688
600988.SH,黄金避险+业绩预增+资源扩张,17,600988
002828.SZ,油气开采+海外权益,33,002828
000826.SZ,,33,000826
002389.SZ,无人机军贸+中东冲突+央企,33,002389
603738.SH,CPO+AI算力+石英晶振,17,603738
002109.SZ,甲醇+煤化工+陕西国资,33,002109
002432.SZ,创投+CGM上市+四联检FDA+回购注销,33,002432
603257.SH,铜冶炼+AI智能体+海外订单+有色金属,17,603257
603727.SH,FPSO订单+南美市场+油气开采,17,603727
002545.SZ,钾肥涨价+特高压中标+粮食概念,33,002545
301158.SZ,油气装备+订单饱满+海外拓展,33,301158
