股票代码,code,market_code,涨停原因类别[20260630]
301379.SZ,301379,33,光学光电子+存储芯片+企业级SSD
002193.SZ,002193,33,ST摘帽预期+精纺呢绒+外销占比高
002055.SZ,002055,33,解除查封+高速连接器+CPU Socket
688286.SH,688286,17,机器人+MEMS传感器+送转
300873.SZ,300873,33,人形机器人+半导体AMHS+高送转分红
603657.SH,603657,17,家庭具身机器人+小米概念+定增受理
603118.SH,603118,17,800G交换机+硅光芯片+机器人代工+唐山国资
603322.SH,603322,17,算力租赁+智算业务
603823.SH,603823,17,光刻胶颜料+有机颜料+PEEK材料
002273.SZ,002273,33,AI光学+CPO硅透镜+AR眼镜+消费电子
688328.SH,688328,17,半导体设备+存储芯片+业绩大增
603577.SH,603577,17,特高压+电网设备出海+国网中标
600076.SH,600076,17,半导体并购+集装箱地板+无锡国资
000818.SZ,000818,33,算力租赁+光模块+英伟达+武汉国资
002816.SZ,002816,33,线束业务+半导体设备+申请摘帽+颖泉国资
002485.SZ,002485,33,实控人变更预期+文旅演艺+ST摘帽预期
002674.SZ,002674,33,
001331.SZ,001331,33,昨日复牌+七腾机器人+实控人变更+LNG运贸
002310.SZ,002310,33,并购重组+新能源+北京国资
603950.SH,603950,17,柴油动力单元+热管理+资产重组
002631.SZ,002631,33,石墨烯+家具+一季度亏损收窄
002822.SZ,002822,33,申请撤销ST+物业管理+固废资源化
000859.SZ,000859,33,光刻胶+拟收购金张科技+合肥国资
000100.SZ,000100,33,半导体显示+收购半导体+一季报增长+回购
603728.SH,603728,17,人形机器人+空心杯电机+一季报增长
603262.SH,603262,17,
002977.SZ,002977,33,商业航天+相控阵+固态微波前端
603379.SH,603379,17,氟化工+PVDF+六氟磷酸锂+业绩增长
600180.SH,600180,22,庭外重组+海外煤炭+委托加工
600405.SH,600405,17,AI智算中心电源+通信电源+液冷超充
688589.SH,688589,17,转股价下修+PLC芯片+半导体
002106.SZ,002106,33,玻璃基板封装+MED电子纸+触摸屏龙头
003043.SZ,003043,33,半导体设备+精密金属结构件+转债强赎
002182.SZ,002182,33,镁合金+机器人+商业航天+低空经济
301513.SZ,301513,33,固态电池+干法电极设备+锂电设备龙头+次新股
603033.SH,603033,17,橡胶制品+BDO+可降解塑料
000909.SZ,000909,33,大功率充电桩+资产优化+杭州国资
603559.SH,603559,22,ST摘帽+一季报扭亏+5G通信服务
002805.SZ,002805,33,磷酸铁锂+固态电池+定增扩产+一季报扭亏
000016.SZ,000016,33,华润保壳预期+PCB+存储芯片
002931.SZ,002931,33,优必选入主+机器人概念+园林机械零部件
688352.SH,688352,17,先进封装+显示驱动芯片+合肥国资
600379.SH,600379,17,氦气+电子特气+真空灭弧室+央企
301165.SZ,301165,33,交换机+CPO+字节供应商+福建国资
000938.SZ,000938,33,国产算力+CPO硅光数据中心交换机+董事长变更
002009.SZ,002009,33,机器人+优必选合作+锂电循环扭亏
603211.SH,603211,17,人形机器人+机器人零部件+铝合金压铸
000004.SZ,000004,37,退市整理期+移动安全+减亏
300290.SZ,300290,33,
002903.SZ,002903,33,机器人+半导体+数控机床
002628.SZ,002628,33,机器人+萤石矿+一季报扭亏
603991.SH,603991,17,半导体引线框架+一季报增长+资产重组
603061.SH,603061,17,半导体测试设备+可转债募资+通富微电合作
002586.SZ,002586,33,中标8.82亿元+水利建设+国企改革
600735.SH,600735,22,资产注入+石墨新材料+发制品出口
002833.SZ,002833,33,机器人概念+家具装备+海外渠道扩张
002747.SZ,002747,33,人形机器人+工业机器人出货量第一+一季报增长
002615.SZ,002615,33,增持+杯壶龙头+华为星闪
002175.SZ,002175,33,控制权变更+复牌+碳基新材料+智能制造
605133.SH,605133,17,人形机器人+行星滚柱丝杠+股权激励
600783.SH,600783,17,参股蓝箭航天+创投+山东国资
300540.SZ,300540,33,商业航天+氦气+空分装置中标+业绩增长
688355.SH,688355,17,半导体设备+机器人+商业航天
002897.SZ,002897,33,高速连接器+共封装光学CPO+华为链+回购注销
002849.SZ,002849,33,智慧能源基地+智能燃气表+星闪
002167.SZ,002167,33,锆产品涨价+氧化锆供给缺口+固态电池
002360.SZ,002360,33,债务重整+招募重整投资人+民爆一体化
002119.SZ,002119,33,半导体封装材料+引线框架满产+回购
300503.SZ,300503,33,机器人+商业航天+PCB主轴
603459.SH,603459,17,投建高阶HDI+1.6T光模块+HDI龙头
301607.SZ,301607,33,第三代半导体+车载高压电源
603377.SH,603377,22,
603222.SH,603222,17,创新药+医疗器械+海南自贸区
600846.SH,600846,17,城市更新+建设工程+上海国资
002518.SZ,002518,33,液冷服务器+数据中心电源+储能
002830.SZ,002830,33,成立AI公司+家装龙头+高送转
600537.SH,600537,22,预重整+签订投资协议+光伏组件
000595.SZ,000595,33,
603335.SH,603335,17,存储芯片+收购半导体+汽车轮毂
605111.SH,605111,17,功率半导体+人形机器人+MOSFET+先进封装
600568.SH,600568,22,股权转让+大健康+房地产
603366.SH,603366,17,储能+光储充一体化+厨电+一季报营收增长
603607.SH,603607,17,激光全息+IP卡牌+烟草防伪+分红
603236.SH,603236,17,卫星通信+物联网模组+机器人
603595.SH,603595,22,
300044.SZ,300044,33,重整进展+机器人+无人机
600113.SH,600113,17,农批市场+国企+预制菜
000811.SZ,000811,33,数据中心液冷+拟收购整合+权益分派+烟台国资
