股票代码,涨停原因类别[20260417],market_code,code
000037.SZ,电力+储能盈利+年报高增+综合能源,33,000037
000711.SZ,铟靶材+固危废资源化+ST炒作,33,000711
000936.SZ,创投+索尔思光电交割+涤纶化纤,33,000936
001330.SZ,影视院线+AI短剧+三星堆IP,33,001330
001389.SZ,算力服务器PCB+CPO+业绩增长,33,001389
001400.SZ,液冷服务器+商业航天+3D打印+铝挤压模具,33,001400
002081.SZ,洁净室+城市更新+建筑装饰,33,002081
002108.SZ,锂电池隔膜+半固态电池+广州国资入主,33,002108
002203.SZ,沙特建厂+铜加工龙头+固态电池铜箔,33,002203
002217.SZ,算力租赁+电子纸+福建国资,33,002217
002259.SZ,天然气+LNG重卡+2025年报增长,33,002259
002281.SZ,CPO+央企重组+3.2T硅光模块,33,002281
002297.SZ,一季报业绩预增+商业航天+硬质合金,33,002297
002418.SZ,液冷算力+家电制冷+扭亏预增,33,002418
002428.SZ,磷化铟扩产+光纤级锗+商业航天,33,002428
002487.SZ,欧洲风电出口+深远海基地+全产业链出海+年报增长,33,002487
002528.SZ,庭外重组+深圳国资+智慧城市+AI安防,33,002528
002547.SZ,机器人+特斯拉概念+通信结构件+新能源汽车,33,002547
002580.SZ,液冷储能+储能电池+固态电池+算力,33,002580
002628.SZ,机器人+萤石矿+路桥基建,33,002628
002630.SZ,ST摘帽预期+储能+高效环保锅炉,33,002630
002706.SZ,数据中心+低压电器+智算中心,33,002706
002713.SZ,,33,002713
002796.SZ,CPO光模块+精密箱体+移动通信,33,002796
002802.SZ,特种氯乙烯共聚物+风电+回购注销+国企,33,002802
002866.SZ,钠离子电池+PCB概念+年报扭亏为盈,33,002866
002940.SZ,创新药+克立硼罗+原料药,33,002940
002957.SZ,光模块+半导体设备+精密零部件制造+业绩预增,33,002957
002975.SZ,液冷服务器+AI服务器测试+机器人+年报增长,33,002975
002980.SZ,光通信测试+拟收购伽蓝特+AI眼镜+仪器仪表,33,002980
002990.SZ,算力采购+人形机器人+智慧口岸,33,002990
003018.SZ,液冷收购+瓶盖龙头+饮料供应链,33,003018
003031.SZ,光模块+SiC芯片+电子陶瓷+央企,33,003031
300076.SZ,,33,300076
300776.SZ,TGV封装+PCB+BC电池+H股上市,33,300776
300806.SZ,折叠屏材料+PCB+储能+泰国设厂,33,300806
300905.SZ,COFs验证+固态电池材料+纤维母粒+年报预增,33,300905
301237.SZ,聚酯薄膜+碳纤维+消费电子,33,301237
301319.SZ,先进封装+锡膏龙头+国产替代,33,301319
600152.SH,钠电储能龙头+锂电产业链+电池项目投资,17,600152
600156.SH,算力租赁+拟收购易信科技+湖南国资,17,600156
600193.SH,,22,600193
600208.SH,拟并购先导电科+半导体靶材+回购+衢州国资,17,600208
600234.SH,建筑工程+抖音概念+数字营销+定增,17,600234
600330.SH,铌酸锂晶体+光模块+商业航天,17,600330
600421.SH,,22,600421
600520.SH,先进封装+半导体设备+合肥国资,17,600520
600552.SH,UTG量产+TGV玻璃技术+球形硅微粉+商业航天,17,600552
600636.SH,,22,600636
600641.SH,半导体设备+离子注入机+员工持股完成,17,600641
600683.SH,拟剥离地产+TOD轨道物业+北京国资,17,600683
600696.SH,退市博弈+酱香型白酒+ST板块,22,600696
600703.SH,光芯片+碳化硅+商业航天,17,600703
600707.SH,玻璃基板+ITC胜诉+国企改革,17,600707
600727.SH,一季报预增+钛白粉+氯化法扩产+国企,17,600727
600734.SH,,17,600734
600961.SH,一季报增长+锌铅冶炼+黄金+央企控股,17,600961
600962.SH,重组推进+芯片+果汁龙头+央企,17,600962
601619.SH,风电运营+绿氢醇项目+不赎回转债,17,601619
603031.SH,CPO+光芯片+南孚电池+增持计划,17,603031
603052.SH,硅光芯片+光模块+消费电子,17,603052
603063.SH,风电设备+氢能+股权激励,17,603063
603083.SH,1.6T光模块+800G放量+CPO布局+Meta审厂传闻,17,603083
603118.SH,800G交换机+机器人代工+唐山国资,17,603118
603178.SH,低空经济+机器人关节+新能源电驱,17,603178
603189.SH,,17,603189
603203.SH,先进封装+PCB+CPO,17,603203
603278.SH,人形机器人+腱绳+商业航天+胎圈钢丝,17,603278
603315.SH,燃气轮机+核电铸件+水电转轮,17,603315
603557.SH,ST板块+三胎概念+童装童鞋,22,603557
603629.SH,算力租赁+液冷+英伟达合作+年报预增,17,603629
603738.SH,625MHz晶振+光模块+石英晶体+人形机器人,17,603738
603773.SH,玻璃基板+CPO+商业航天,17,603773
603922.SH,新能源电池托盘+汽车零部件+控制权变更风险,17,603922
603926.SH,机器人+固态电池+离合器龙头,17,603926
605298.SH,轨交配套+业绩高增,17,605298
605388.SH,益生菌+味动力+扭亏预期,17,605388
688227.SH,算力租赁+AI一体机+国产芯片,17,688227
688560.SH,铝塑膜（可用于固态、钠离子电池）+BC电池+越南产能,17,688560
688628.SH,光通信测试+拟收购+测试仪器,17,688628
688807.SH,光模块芯片+电芯片+年报增长+次新股,17,688807
920012.BJ,半导体封装+北交所次新股,151,920012
920526.BJ,半导体封装材料+环氧粉末包封料,151,920526
