code,market_code,股票代码,涨停原因类别[20260213]
002491,33,002491.SZ,
002957,33,002957.SZ,
600599,22,600599.SH,
603618,17,603618.SH,
000638,33,000638.SZ,军工+粮食+退市博弈
002510,33,002510.SZ,资产重组+东实股份+汽车模具+国企
000021,33,000021.SZ,存储芯片+先进封装+央企
300812,33,300812.SZ,CPO+先进封装+年报扭亏
000711,33,000711.SZ,金属铟+ITO靶材+鑫联科技注入
001270,33,001270.SZ,商业航天+T/R芯片+扭亏为盈
002703,33,002703.SZ,线控转向+L3自动驾驶
002731,33,002731.SZ,
000890,33,000890.SZ,钢帘线+环保设备+重大资产出售
600355,22,600355.SH,
603980,17,603980.SH,
605007,17,605007.SH,造纸+格拉辛纸投产
000070,33,000070.SZ,
000859,33,000859.SZ,光刻胶+拟收购金张科技+合肥国资
002169,33,002169.SZ,高压储能+10亿订单+参投粤芯半导体+业绩预计扭亏
002713,33,002713.SZ,算力中心+重整完成+家装AI
600791,17,600791.SH,地产开发+京津冀规划+北京国资
603960,17,603960.SH,机器人+AI应用+汽车电子
002289,33,002289.SZ,IDC并购+液晶显示+ST板块
000488,33,000488.SZ,浆纸一体化+复工复产+山东国资
002342,33,002342.SZ,
002843,33,002843.SZ,数据中心电源+商业航天+合金钢带
600545,17,600545.SH,
600893,17,600893.SH,航空发动机+低空经济+AES100订单+军工央企
000609,33,000609.SZ,半导体的人来了+房地产+创投
603163,17,603163.SH,半导体洁净室+东南亚布局+在手订单
000798,33,000798.SZ,远洋渔业+扭亏为盈+央企
605289,17,605289.SH,算力订单+液冷服务器+风电EPC
002009,33,002009.SZ,人形机器人+银河通用+工业场景落地
601890,17,601890.SH,深远海系泊+锚链+全球最大链条生产企业
002592,33,002592.SZ,业绩预增+汽车热管理+新能源基地
000004,33,000004.SZ,地天板+AI大模型+鸿蒙安全+移动安全
002647,33,002647.SZ,AI算力+第三方支付+扭亏为盈+摘帽预期
605033,17,605033.SH,农药制剂+原药一体化+西部大开发
600629,17,600629.SH,上海微电子相关+工程设计+浦东机场T3+上海国资
600410,17,600410.SH,AI算力+AI应用
000839,33,000839.SZ,内容审核+AI数据标注+央企背景
300449,33,300449.SZ,数字水印+智算服务+重大资产重组
000892,33,000892.SZ,
600481,17,600481.SH,
002969,33,002969.SZ,
002951,33,002951.SZ,超级电容+储能系统+间接投资光纤公司
603533,17,603533.SH,AI短剧+字节概念+数字阅读
603466,17,603466.SH,字节概念+数字体验+商业航天+人形机器人
002355,33,002355.SZ,无人驾驶+车联网+低空经济+钢制车轮
000669,33,000669.SZ,预重整+天然气+扭亏
600984,17,600984.SH,工程机械+煤矿智能开采+一带一路+陕西国资
603268,22,603268.SH,VLCC大单+船舶制造+业绩预增
300719,33,300719.SZ,国产大飞机+eVTOL订单+定增获批
603021,22,603021.SH,日用玻璃+地下管网+跨境电商
002498,33,002498.SZ,特高压+海上风电+电网设备
000821,33,000821.SZ,钙钛矿设备+锂电订单+北美突破
300344,33,300344.SZ,
002323,33,002323.SZ,
601777,17,601777.SH,荣耀前CEO赵明加盟+智驾L3+Robotaxi+整车出口
603331,17,603331.SH,银河通用合作+人形机器人+汽车零部件
001896,33,001896.SZ,参股算力+绿电储备+火电+河南国资
605287,17,605287.SH,
