market_code,code,涨停原因类别[20260303],股票代码
33,002491,光纤光缆涨价受益+数据中心+储能消防,002491.SZ
33,002957,半导体设备+光模块+AI眼镜+低空经济,002957.SZ
17,600339,油气储运+一带一路+可控核聚变,600339.SH
33,000426,,000426.SZ
22,600360,,600360.SH
33,002149,,002149.SZ
33,002424,,002424.SZ
17,600798,航运涨价+电煤运输+浙江国资,600798.SH
17,600259,,600259.SH
33,000638,,000638.SZ
22,600608,,600608.SH
17,600681,天然气+具身智能布局+高股息,600681.SH
33,000738,,000738.SZ
33,002565,,002565.SZ
33,002731,,002731.SZ
17,600617,天然气+山西管网+山西国资,600617.SH
17,600938,油价上涨+油气产量增长+央企,600938.SH
33,002173,,002173.SZ
33,002911,甲醇+燃气+佛山国资,002911.SZ
33,002267,天然气+管网龙头+陕西国资,002267.SZ
17,603053,天然气+燃气运营+成都国资,603053.SH
17,600397,,600397.SH
17,600961,,600961.SH
17,600770,,600770.SH
33,000968,天然气+煤层气+山西国资,000968.SZ
17,603778,固态电池+异质结光伏+光伏EPC,603778.SH
17,603619,油气开采及服务+伊拉克中标+民营龙头,603619.SH
17,600714,天青石+锶盐,600714.SH
17,600082,,600082.SH
33,002713,,002713.SZ
151,920010,天然气+算力+储气设施,920010.BJ
33,002868,,002868.SZ
17,601857,油气龙头+地缘冲突+央企增持,601857.SH
33,002792,,002792.SZ
17,603958,,603958.SH
17,600256,油气涨价+LNG+煤炭外销,600256.SH
33,000691,,000691.SZ
17,600531,,600531.SH
17,603616,拟收购兴福新材+PEEK新材料+PCCP水利,603616.SH
17,600392,,600392.SH
17,600583,油气开采+卡塔尔40亿订单+央企,600583.SH
33,000421,天然气+光储充换+南京国资,000421.SZ
33,002952,电子纸+汽车电子+外销占比高,002952.SZ
33,000609,,000609.SZ
33,001225,,001225.SZ
17,601808,油服龙头+央企,601808.SH
17,603689,天然气+管网+安徽国资,603689.SH
33,000960,,000960.SZ
33,002682,天然气+机器人+土地收储+龙岩国资,002682.SZ
33,002980,拟收购伽蓝特+光通信测试+AI眼镜+仪器仪表,002980.SZ
33,300191,涠洲5-3油田+业绩预增+油气开采,300191.SZ
17,603706,天然气+区域燃气+高股息,603706.SH
17,605255,,605255.SH
17,605368,天然气+豫南管网,605368.SH
17,600333,天然气涨价+能源托管+长春国资,600333.SH
33,001400,,001400.SZ
17,603626,,603626.SH
17,605169,天然气+LNG/CNG扩张+新疆振兴,605169.SH
22,603007,,603007.SH
17,603139,中药+农业种植+控制权变更,603139.SH
22,600381,ST博弈+高端白酒+中药大健康,600381.SH
33,000004,,000004.SZ
22,600777,美国页岩油+诉讼进展+ST板块,600777.SH
17,603080,天然气+区域燃气龙头,603080.SH
33,002903,,002903.SZ
151,920571,地缘冲突+运力扩张+绿色船舶+BDI上行,920571.BJ
33,002620,,002620.SZ
17,603500,,603500.SH
33,300483,天然气+产量倍增+地缘冲突,300483.SZ
17,600917,天然气+燃气供应+央企,600917.SH
33,301302,军工AI+军事大模型+商业航天,301302.SZ
33,000669,,000669.SZ
17,601975,油运+央企,601975.SH
33,002467,,002467.SZ
33,002297,,002297.SZ
33,002490,油气装备+中东订单+扭亏+国资背景,002490.SZ
17,600871,地缘冲突+油服工程+海外大单+央企,600871.SH
33,002054,,002054.SZ
22,603021,,603021.SH
33,000635,,000635.SZ
17,600367,碳酸钡+锶盐涨价+青岛国资,600367.SH
17,603977,,603977.SH
33,002700,天然气+新疆振兴,002700.SZ
17,600537,,600537.SH
17,600903,天然气+页岩气收购+贵州国资,600903.SH
17,605006,,605006.SH
33,300157,绿氢氨+油气资产+扭亏+压缩机,300157.SZ
