股票代码,code,market_code,涨停原因类别[20260225]
600884.SH,600884,17,安徽国资拟入主+偏光片龙头+固态电池
000638.SZ,000638,33,退市博弈+军工+粮食+虾青素
600010.SH,600010,17,稀土+钢铁+内蒙古国资
600110.SH,600110,17,电子铜箔+固态电池铜箔+技改扩产
002731.SZ,002731,33,黄金+锂盐+ST
300437.SZ,300437,33,磷化工+水处理剂+超跌反弹
600525.SH,600525,22,电网设备+储能中标+新能源合同
600227.SH,600227,17,尿素涨价+甲醇+低价股
300821.SZ,300821,33,有机硅龙头+机器人材料+新能源应用
605007.SH,605007,17,人民币升值+格拉辛纸投产+特种纸龙头
600397.SH,600397,17,定增收购钨钽资产+磁选设备+江西国资
002998.SZ,002998,33,不赎回转债+再生涤纶+汽车内饰
002868.SZ,002868,33,ST保壳+动保兽药+资产剥离完成
002811.SZ,002811,33,年报预增+室内设计+IP经济+一带一路
000593.SZ,000593,33,控制权变更+氢能中心+天然气
600096.SH,600096,17,磷化工+聚甲醛+国企改革
002176.SZ,002176,33,锂矿+人形机器人+伺服电机
600545.SH,600545,17,玻璃纤维纱线+AI智慧工厂+纺织机械+回购注销
000609.SZ,000609,33,半导体的人来了+房地产+创投
002021.SZ,002021,33,机器人概念+工业缝纫机+股权转让+国资背景
600136.SH,600136,22,影视传媒+诉讼胜诉+湖北国资
300505.SZ,300505,33,磷化工+埃及项目+年报预增
605289.SH,605289,17,算力订单+液冷服务器+AR/VR+风电EPC
000581.SZ,000581,33,燃料电池+石墨电极+人形机器人+国企改革
002470.SZ,002470,33,化肥+磷矿建设+复合肥龙头
000751.SZ,000751,33,锌铜冶炼+金属铟+黄金概念
601208.SH,601208,17,高速树脂+AI服务器+业绩预增
000004.SZ,000004,33,
000547.SZ,000547,33,商业航天+天目一号+央企
600078.SH,600078,17,磷化工+新材料+扭亏
000839.SZ,000839,33,AI数据标注+央企背景+业绩预增
603103.SH,603103,17,
000661.SZ,000661,33,GenSci141软膏+获批临床+国企
603533.SH,603533,17,
000793.SZ,000793,33,预重整推进+海南文旅+国资入主
000816.SZ,000816,33,金属铜+智慧农业+外销占比高
000669.SZ,000669,33,庭外重组+天然气+扭亏
002114.SZ,002114,33,锗精矿+铅锌矿+锌冶炼+曲靖国资
603077.SH,603077,17,矿产资源+磷矿+草甘膦
600206.SH,600206,17,靶材+业绩预增+稀土永磁+央企
603822.SH,603822,22,生物航煤+扭亏+出口白名单
002498.SZ,002498,33,特高压+海上风电+电网设备
688661.SH,688661,17,AMD合作+半导体芯片测试探针+业绩扭亏
600243.SH,600243,22,数控机床+退市风险+ST板块
002348.SZ,002348,33,实控人变更+潮玩玩具+机器人概念
002538.SZ,002538,33,磷矿+磷化工+化肥+有色金属
002725.SZ,002725,33,磷化铟+光芯片+铝轮毂出口
688432.SH,688432,17,硅片扩产+刻蚀硅材+存储芯片
605178.SH,605178,17,拟并购嘉合劲威+存储芯片+智慧城市
300788.SZ,300788,33,AI出版+IP运营+动漫文创+国企
300658.SZ,300658,33,重组预案+半导体材料+个护用品
603601.SH,603601,17,玻璃微纤维+SpaceX传闻+高效滤材
600759.SH,600759,17,油气开采+哈萨克斯坦油田
000560.SZ,000560,33,房产经纪+长租公寓+商业资产管理
000657.SZ,000657,33,钨矿增储+PCB钻针棒扩产
000545.SZ,000545,33,钛白粉+减产+转型橡胶
000711.SZ,000711,33,金属铟+ITO靶材+鑫联科技拟注入
001396.SZ,001396,33,地下管网+专精特新+次新股
002211.SZ,002211,33,有机硅+减亏+ST博弈
001270.SZ,001270,33,商业航天+T/R芯片+扭亏为盈
002428.SZ,002428,33,商业航天+锗晶片+小金属
000890.SZ,000890,33,光纤概念+重大资产出售+钢帘线
603057.SH,603057,17,卤味龙头+预制菜
600355.SH,600355,22,退市博弈+机器人+ST板块
002678.SZ,002678,33,文旅转型+机器人合作+智能钢琴+广州国资
001203.SZ,001203,33,锂矿放量+铁矿龙头+固态电池
600470.SH,600470,17,磷化工+化肥+精制磷酸
600111.SH,600111,17,稀土永磁+业绩预增+内蒙古国资
000488.SZ,000488,33,浆纸一体化+复工复产+山东国资
600696.SH,600696,22,酱香型白酒+退市风险+ST板块
600753.SH,600753,22,ST板块+LPG分销+年报预盈
001330.SZ,001330,33,
301100.SZ,301100,33,POE催化剂+拟收购+军工材料+高分子助剂
000668.SZ,000668,33,扭亏为盈+房地产去化+跨境物流转型
000012.SZ,000012,33,玻璃玻纤+机器人+柔性玻璃+回购
600230.SH,600230,17,TDI涨价+特种PC+央企改革
600337.SH,600337,17,AI智家+拟收购万德溙+家居定制
001209.SZ,001209,33,家居服龙头+IP经济+跨境电商
002978.SZ,002978,33,钛材项目+钛精矿龙头+小金属涨价
000636.SZ,000636,33,MLCC涨价+AI算力+广东国资
002949.SZ,002949,33,AI设计+装配式建筑+新型城镇化
301373.SZ,301373,33,球形硅微粉+纳米二氧化硅+人形机器人
603580.SH,603580,22,退市博弈+轻型输送带+两岸融合
600301.SH,600301,17,小金属+锡锑锌铟+增储扩产+国企改革
600569.SH,600569,17,特钢转型+河南国资
002047.SZ,002047,33,扭亏为盈+光耦合器+珠海国资
000036.SZ,000036,33,盐湖提锂+城市更新+地产开发
002630.SZ,002630,33,一带一路+超临界锅炉+ST摘帽预期
000518.SZ,000518,33,生物医药+ST板块
002378.SZ,002378,33,钨价上调+钨产业链+业绩预增
601872.SH,601872,17,VLCC油运+业绩预增+央企
603268.SH,603268,22,船舶制造+业绩预增+大额订单
000899.SZ,000899,33,火电+新能源+江西国资
000826.SZ,000826,33,重整预期+无人环卫+固废处置
600649.SH,600649,17,业绩大增+REITs扩募+上海国资
