股票代码,所属概念数量,所属概念,market_code,code
002869.SZ,23,ETC;无人驾驶;长安汽车概念;智慧灯杆;车联网(车路协同);智能座舱;粤港澳大湾区;物联网;智慧城市;汽车电子;百度概念;机器人概念;人工智能;数字经济;鸿蒙概念;数字孪生;数据要素;毫米波雷达;华为概念;专精特新;新能源汽车;深股通;融资融券,33,002869
603626.SH,20,富士康概念;苹果概念;AI PC;新型烟草(电子烟);特斯拉概念;智能音箱;消费电子概念;无线耳机;智能穿戴;机器人概念;柔性屏(折叠屏);华为概念;虚拟现实;人民币贬值受益;元宇宙;固态电池;海峡两岸;储能;沪股通;融资融券,17,603626
600821.SH,19,华为数字能源;风电;碳交易;绿色电力;算力租赁;东数西算(算力);储能;煤化工概念;天津自贸区;新疆振兴;智慧城市;DeepSeek概念;京津冀一体化;回购增持再贷款概念;数字经济;国企改革;华为概念;沪股通;融资融券,17,600821
002951.SZ,8,蚂蚁集团概念;数字经济;超级电容;储能;风电;西部大开发;深股通;摘帽,33,002951
603992.SH,7,C2M概念;福建自贸区;人形机器人;智能家居;机器人概念;人民币贬值受益;沪股通,17,603992
601038.SH,10,农机;央企国企改革;乡村振兴;国企改革;高端装备;中俄贸易概念;工业互联网;无人驾驶;沪股通;融资融券,17,601038
000990.SZ,15,POE胶膜;NMN概念;氢能源;碳中和;国企改革;人造肉;燃料电池;合成生物;工业大麻;民营医院;医美概念;OLED;小米概念;深股通;融资融券,33,000990
002487.SZ,7,2025年报预增;风电;海工装备;绿色电力;航运概念;融资融券;深股通,33,002487
002150.SZ,10,光伏概念;风电;储能;充电桩;一带一路;农机;人民币贬值受益;乡村振兴;深股通;融资融券,33,002150
600956.SH,15,天然气;碳交易;钒电池;氢能源;绿色电力;国企改革;抽水蓄能;风电;储能;京津冀一体化;光伏概念;DeepSeek概念;AI智能体;融资融券;沪股通,17,600956
601969.SH,20,海南自贸区;天然气;黄金概念;金属铜;自由贸易港;小金属概念;金属钴;氟化工概念;固废处理;参股保险;碳中和;乡村振兴;参股银行;旅游概念;土壤修复;锂电池概念;回购增持再贷款概念;创投;沪股通;融资融券,17,601969
001260.SZ,5,长安汽车概念;华为汽车;小米汽车;比亚迪概念;小米概念,33,001260
600722.SH,5,煤化工概念;国企改革;融资融券;风电;京津冀一体化,17,600722
601015.SH,7,天然气;煤炭概念;煤化工概念;西部大开发;沪股通;污水处理;融资融券,17,601015
603092.SH,9,2025年报预增;注册制次新股;高端装备;风电;海工装备;独角兽概念;新疆振兴;融资融券;新股与次新股,17,603092
605305.SH,7,2025年报预增;专精特新;储能;风电;京津冀一体化;沪股通;融资融券,17,605305
603978.SH,11,氟化工概念;PVDF概念;锂电池概念;储能;回购增持再贷款概念;一体化压铸;军工;芯片概念;核电;商业航天;融资融券,17,603978
603281.SH,5,有机硅概念;人民币贬值受益;光伏概念;硅能源;沪股通,17,603281
002015.SZ,31,虚拟电厂;华为数字能源;智能电网;碳交易;抽水蓄能;绿色电力;碳中和;算力租赁;充电桩;换电概念;生物质能发电;储能;风电;光伏概念;高压快充;数据中心;东数西算(算力);水利;动力电池回收;锂电池概念;区块链;蚂蚁集团概念;百度概念;数字经济;华为概念;宁德时代概念;长三角一体化;英伟达概念;新能源汽车;融资融券;深股通,33,002015
603507.SH,12,光热发电;光伏概念;风电;商业航天;专精特新;机器人概念;海工装备;氢能源;人民币贬值受益;回购增持再贷款概念;一带一路;融资融券,17,603507
600714.SH,4,小金属概念;西部大开发;央企国企改革;国企改革,17,600714
603693.SH,9,绿色电力;生物质能发电;风电;充电桩;储能;国企改革;钠离子电池;沪股通;融资融券,17,603693
000593.SZ,10,青蒿素;信托概念;天然气;股权转让(并购重组);地下管网;西部大开发;碳中和;氢能源;储能;融资融券,33,000593
600703.SH,26,MicroLED概念;MiniLED;汽车芯片;第三代半导体;AI眼镜;芯片概念;消费电子概念;小米概念;卫星导航;商业航天;5G;比亚迪概念;苹果概念;无人驾驶;新能源汽车;华为汽车;共封装光学(CPO);光伏概念;充电桩;数据中心;海峡两岸;福建自贸区;金属回收;同花顺漂亮100;沪股通;融资融券,17,600703
002445.SZ,10,光伏建筑一体化;文化传媒概念;手机游戏;绿色电力;独角兽概念;虚拟现实;海工装备;国企改革;深股通;融资融券,33,002445
000600.SZ,20,超超临界发电;抽水蓄能;生物质能发电;绿色电力;虚拟电厂;风电;碳交易;氢能源;核电;碳中和;2025三季报预增;储能;国企改革;证金持股;2025年报预增;京津冀一体化;DeepSeek概念;深股通;融资融券;人工智能,33,000600
600935.SH,5,水泥概念;可降解塑料;国企改革;硅能源;沪股通,17,600935
002498.SZ,17,柔性直流输电;特高压;智能电网;抽水蓄能;电力物联网;风电;核电;充电桩;海工装备;燃料电池;氢能源;一带一路;无人机;5G;数字经济;深股通;融资融券,33,002498
601016.SH,9,绿色电力;风电;储能;新疆振兴;国企改革;京津冀一体化;央企国企改革;沪股通;融资融券,17,601016
600726.SH,8,超超临界发电;绿色电力;风电;煤炭概念;黑龙江自贸区;国企改革;央企国企改革;沪股通,17,600726
603077.SH,21,磷化工;草甘膦;化肥;金属铅;金属锌;金属铜;黄金概念;稀土永磁;硅能源;锂电池概念;绿色电力;回购增持再贷款概念;光伏概念;建筑节能;一带一路;西部大开发;天然气;TOPCON电池;参股银行;沪股通;融资融券,17,603077
600868.SH,15,小金属概念;时空大数据;数据要素;水泥概念;智慧城市;职业教育;粤港澳大湾区;储能;回购增持再贷款概念;绿色电力;水利;氢能源;新型城镇化;融资融券;沪股通,17,600868
920077.BJ,6,2025年报预增;风电;融资融券;碳纤维;国企改革;专精特新,151,920077
002455.SZ,13,磷化工;石墨电极;钠离子电池;金属回收;固态电池;动力电池回收;锂电池概念;宁德时代概念;光刻胶;储能;新能源汽车;深股通;融资融券,33,002455
002221.SZ,11,页岩气;天然气;俄乌冲突概念;氢能源;深股通;融资融券;石墨烯;碳纤维;燃料电池;跨境电商;核电,33,002221
003041.SZ,5,共同富裕示范区;人民币贬值受益;一带一路;2025年报预增;股权转让(并购重组),33,003041
688717.SH,8,虚拟电厂;光伏概念;锂电池概念;储能;充电桩;人民币贬值受益;沪股通;融资融券,17,688717
688399.SH,11,猴痘概念;基因测序;流感;肝炎概念;医药电商;维生素;智能医疗;医疗器械概念;专精特新;沪股通;融资融券,17,688399
300443.SZ,8,海工装备;风电;军工;2025年报预增;减速器;创投;融资融券;深股通,33,300443
688275.SH,14,钠离子电池;磷化工;固态电池;锂电池概念;宁德时代概念;碳中和;储能;污水处理;比亚迪概念;充电桩;新能源汽车;专精特新;沪股通;融资融券,17,688275
600256.SH,12,页岩气;俄乌冲突概念;天然气;煤炭概念;煤化工概念;新疆振兴;氢能源;融资融券;西部大开发;碳中和;一带一路;沪股通,17,600256
920375.BJ,25,东数西算(算力);高压快充;阿里巴巴概念;融资融券;虚拟电厂;腾讯概念;粤港澳大湾区;碳交易;碳中和;百度概念;电力物联网;物联网;核电;智能电网;数据要素;数据中心;抖音概念(字节概念);建筑节能;华为鲲鹏;华为概念;充电桩;储能;人工智能;专精特新;DeepSeek概念,151,920375
600063.SH,8,水泥概念;2025三季报预增;国企改革;光伏概念;参股券商;专精特新;融资融券;沪股通,17,600063
301182.SZ,12,铜缆高速连接;光纤概念;消费电子概念;高压快充;新能源汽车;充电桩;专精特新;机器人概念;华为概念;安防;一带一路;融资融券,33,301182
600888.SH,8,新疆振兴;西部大开发;石墨烯;一带一路;军工;一体化压铸;沪股通;融资融券,17,600888
920036.BJ,7,多模态AI;物联网;AI应用;AI智能体;新股与次新股;融资融券;人民币贬值受益,151,920036
601001.SH,4,煤炭概念;国企改革;沪股通;融资融券,17,601001
002102.SZ,5,国企改革;维生素;毛发医疗;合成生物;深股通,33,002102
688195.SH,19,共封装光学(CPO);光纤概念;光刻机;数据中心;芯片概念;AI眼镜;量子科技;商业航天;专精特新;卫星导航;海峡两岸;华为概念;无人驾驶;福建自贸区;医疗器械概念;独角兽概念;沪股通;股权转让(并购重组);融资融券,17,688195
601139.SH,17,天然气;证金持股;POE胶膜;沪股通;融资融券;氢能源;深圳国企改革;国企改革;绿色电力;华为数字能源;燃料电池;DeepSeek概念;固态电池;智慧城市;光伏概念;百度概念;数据中心,17,601139
300321.SZ,2,国企改革;证金持股,33,300321
601858.SH,14,知识产权保护;文化传媒概念;在线教育;国资云;数据要素;DeepSeek概念;智能医疗;数字经济;中字头股票;国企改革;芯片概念;同花顺中特估100;沪股通;融资融券,17,601858
601898.SH,11,煤炭概念;中字头股票;煤化工概念;同花顺中特估100;化肥;证金持股;央企国企改革;沪股通;融资融券;国企改革;乡村振兴,17,601898
002281.SZ,19,F5G概念;共封装光学(CPO);光纤概念;液冷服务器;5G;6G概念;数据中心;芯片概念;东数西算(算力);量子科技;华为概念;阿里巴巴概念;抖音概念(字节概念);腾讯概念;百度概念;央企国企改革;深股通;融资融券;国企改革,33,002281
920469.BJ,9,融资融券;粤港澳大湾区;碳纤维;比亚迪概念;消费电子概念;机器人概念;新能源汽车;专精特新;PEEK材料,151,920469
600236.SH,7,央企国企改革;风电;绿色电力;西部大开发;沪股通;融资融券;国企改革,17,600236
002631.SZ,8,石墨烯;C2M概念;长三角一体化;工业互联网;柔性屏(折叠屏);智能家居;核污染防治;融资融券,33,002631
301449.SZ,19,注册制次新股;宁德时代概念;锂电池概念;网络安全;核电;高端装备;汽车热管理;水利;高压快充;储能;粤港澳大湾区;物联网;新能源汽车;智能医疗;充电桩;机器人概念;深股通;新股与次新股;融资融券,33,301449
300315.SZ,14,AI应用;AIGC概念;文化传媒概念;手机游戏;网络游戏;抖音概念(字节概念);百度概念;IP经济(谷子经济);职业教育;人工智能;虚拟现实;英伟达概念;深股通;融资融券,33,300315
300138.SZ,9,NMN概念;代糖概念;乡村振兴;2025年报预增;工业大麻;一带一路;2025三季报预增;农业种植;深股通,33,300138
601118.SH,9,海南自贸区;农业种植;碳中和;乡村振兴;国企改革;可降解塑料;军工;融资融券;沪股通,17,601118
300205.SZ,17,ST板块;数字货币;ETC;跨境支付(CIPS);移动支付;量子科技;5G;数据安全;网络安全;财税数字化;物联网;华为概念;华为鲲鹏;区块链;人工智能;互联网金融;专精特新,33,300205
603093.SH,4,期货概念;参股券商;数字经济;沪股通,17,603093
600527.SH,1,互联网金融,17,600527
688166.SH,10,细胞免疫治疗;减肥药;重组蛋白;创新药;仿制药一致性评价;合成生物;流感;创投;沪股通;融资融券,17,688166
688700.SH,11,PCB概念;PET铜箔;华为手机;芯片概念;固态电池;2025年报预增;高端装备;专精特新;光伏概念;融资融券;沪股通,17,688700
603406.SH,5,参股银行;一带一路;注册制次新股;新股与次新股;融资融券,17,603406
300162.SZ,18,MicroLED概念;MiniLED;足球概念;柔性屏(折叠屏);智能家居;安防;体育产业;元宇宙;在线教育;消费电子概念;粤港澳大湾区;先进封装;人工智能;商业航天;DeepSeek概念;海峡两岸;专精特新;人民币贬值受益,33,300162
301358.SZ,12,磷化工;动力电池回收;固态电池;锂电池概念;宁德时代概念;金属铜;储能;比亚迪概念;2025年报预增;新能源汽车;深股通;融资融券,33,301358
300699.SZ,17,大飞机;商业航天;卫星导航;碳纤维;军民融合;军工;低空经济;无人机;PEEK材料;高铁;消费电子概念;光伏概念;风电;氢能源;体育产业;深股通;融资融券,33,300699
603613.SH,19,ERP概念;数据要素;数字经济;DeepSeek概念;ChatGPT概念;虚拟数字人;人工智能;跨境电商;抖音概念(字节概念);物联网;算力租赁;华为概念;东数西算(算力);工业互联网;统一大市场;农村电商;新疆振兴;融资融券;沪股通,17,603613
002360.SZ,3,可降解塑料;光伏概念;民爆概念,33,002360
300668.SZ,6,ERP概念;新型城镇化;华为概念;数据确权;AIGC概念;股权转让(并购重组),33,300668
603829.SH,3,智能电网;光伏概念;储能,17,603829
603393.SH,8,页岩气;俄乌冲突概念;天然气;煤炭概念;新疆振兴;西部大开发;融资融券;沪股通,17,603393
600307.SH,15,特钢概念;金属铜;商业航天;西部大开发;国企改革;雅下水电概念;回购增持再贷款概念;超导概念;氢能源;核电;可控核聚变;华为概念;新能源汽车;融资融券;沪股通,17,600307
600126.SH,15,算力租赁;国资云;阿里巴巴概念;东数西算(算力);DeepSeek概念;数字经济;智慧城市;数据中心;汽车拆解概念;特钢概念;比亚迪概念;国企改革;绿色电力;沪股通;融资融券,17,600126
600683.SH,8,特色小镇;土地流转;物业管理;旅游概念;国企改革;养老概念;京津冀一体化;创投,17,600683
600396.SH,9,碳交易;碳中和;绿色电力;超超临界发电;风电;国企改革;氢能源;央企国企改革;海工装备,17,600396
300850.SZ,7,2025年报预增;风电;海工装备;绿色电力;高端装备;融资融券;深股通,33,300850
603086.SH,5,大豆;生态农业;创新药;2025三季报预增;人民币贬值受益,17,603086
688548.SH,10,芯片概念;专精特新;商业航天;氢能源;华为概念;粤港澳大湾区;数字孪生;国企改革;沪股通;融资融券,17,688548
300518.SZ,7,锂电池概念;氢能源;网络游戏;西部大开发;手机游戏;网红经济;融资融券,33,300518
603098.SH,12,光伏建筑一体化;光伏概念;建筑节能;储能;绿色电力;土壤修复;专精特新;装配式建筑;一带一路;腾讯概念;沪股通;融资融券,17,603098
001376.SZ,2,碳中和;深股通,33,001376
301268.SZ,17,新型烟草(电子烟);储能;一体化压铸;光伏概念;充电桩;回购增持再贷款概念;宁德时代概念;新能源汽车;特斯拉概念;比亚迪概念;人形机器人;液冷服务器;机器人概念;华为概念;低空经济;深股通;融资融券,33,301268
301525.SZ,11,人形机器人;汽车热管理;汽车电子;新能源汽车;专精特新;机器人概念;数据中心;空气能热泵;冷链物流;深股通;融资融券,33,301525
002645.SZ,13,稀土永磁;金属钴;金属回收;金属铜;汽车拆解概念;消费电子概念;高端装备;新能源汽车;机器人概念;垃圾分类;固废处理;深股通;融资融券,33,002645
600603.SH,7,新疆振兴;西部大开发;一带一路;统一大市场;冷链物流;沪股通;摘帽,17,600603
603020.SH,1,烟草,17,603020
300243.SZ,6,磷化工;可降解塑料;固态电池;锂电池概念;合成生物;PCB概念,33,300243
000815.SZ,10,国资云;云计算;东数西算(算力);数据中心;绿色电力;央企国企改革;国企改革;西部大开发;深股通;融资融券,33,000815
002959.SZ,12,露营经济;三胎概念;宠物经济;跨境电商;网红经济;净水概念;创投;家用电器;拼多多概念;粤港澳大湾区;融资融券;深股通,33,002959
300483.SZ,3,俄乌冲突概念;天然气;股权转让(并购重组),33,300483
002025.SZ,23,卫星导航;商业航天;大飞机;军工;低空经济;同花顺新质50;核电;5G;机器视觉;华为概念;铜缆高速连接;数据中心;央企国企改革;小米概念;比亚迪概念;新能源汽车;智能物流;共封装光学(CPO);液冷服务器;西部大开发;国企改革;深股通;融资融券,33,002025
601011.SH,12,煤炭概念;煤化工概念;石墨电极;氢能源;碳中和;石墨烯;黑龙江自贸区;锂电池概念;消费电子概念;AI眼镜;沪股通;融资融券,17,601011
000933.SZ,8,俄乌冲突概念;煤炭概念;风电;锂电池概念;国企改革;深股通;宁德时代概念;融资融券,33,000933
603113.SH,5,煤炭概念;煤化工概念;氢能源;沪股通;融资融券,17,603113
601699.SH,5,煤炭概念;煤化工概念;国企改革;沪股通;融资融券,17,601699
600108.SH,15,玉米;粮食概念;土地流转;农业种植;代糖概念;啤酒概念;乡村振兴;西部大开发;国企改革;参股券商;回购增持再贷款概念;水利;融资融券;跨境电商;沪股通,17,600108
600989.SH,11,煤化工概念;煤炭概念;POE胶膜;氢能源;碳中和;西部大开发;DeepSeek概念;2025年报预增;跨境电商;融资融券;沪股通,17,600989
000543.SZ,14,超超临界发电;抽水蓄能;绿色电力;碳交易;风电;核电;天然气;国企改革;储能;参股银行;充电桩;参股券商;深股通;融资融券,33,000543
002366.SZ,15,可控核聚变;核电;商业航天;军工;海工装备;高端装备;风电;超超临界发电;机器人概念;一带一路;西部大开发;国企改革;航运概念;深股通;融资融券,33,002366
300468.SZ,19,数字货币;跨境支付(CIPS);互联网金融;数字经济;区块链;Web3.0;信创;数据确权;AI智能体;DeepSeek概念;人工智能;云计算;粤港澳大湾区;华为概念;参股银行;NFT概念;人民币贬值受益;融资融券;深股通,33,300468
688626.SH,14,脑机接口;AI应用;智能医疗;AI智能体;医疗器械概念;人工智能;养老概念;DeepSeek概念;机器人概念;专精特新;旅游概念;回购增持再贷款概念;沪股通;融资融券,17,688626
002449.SZ,26,MicroLED概念;MiniLED;AI眼镜;智能穿戴;智能家居;消费电子概念;汽车电子;小米概念;传感器;第三代半导体;家用电器;芯片概念;华为概念;无人驾驶;人脸识别;充电桩;先进封装;汽车芯片;语音技术;储能;元宇宙;人工智能;血氧仪;国企改革;深股通;融资融券,33,002449
920001.BJ,6,融资融券;虚拟现实;国企改革;专精特新;OLED;AI眼镜,151,920001
000422.SZ,15,磷化工;化肥;氟化工概念;煤化工概念;煤炭概念;可降解塑料;回购增持再贷款概念;国企改革;乡村振兴;宁德时代概念;光刻胶;华为概念;股权转让(并购重组);融资融券;深股通,33,000422
301216.SZ,10,3D打印;PEEK材料;光伏概念;减速器;人形机器人;机器人概念;回购增持再贷款概念;一带一路;深股通;融资融券,33,301216
601600.SH,13,中字头股票;小金属概念;俄乌冲突概念;稀土永磁;同花顺中特估100;央企国企改革;锂电池概念;沪股通;融资融券;证金持股;国企改革;风电;乡村振兴,17,601600
688328.SH,23,MiniLED;电子纸;存储芯片;柔性屏(折叠屏);先进封装;第三代半导体;OLED;消费电子概念;MR(混合现实);芯片概念;AI眼镜;新型工业化;小米概念;智能穿戴;机器视觉;专精特新;新能源汽车;华为概念;机器人概念;共封装光学(CPO);虚拟现实;锂电池概念;融资融券,17,688328
688273.SH,12,脑机接口;智能医疗;AI智能体;人工智能;医美概念;DeepSeek概念;医疗器械概念;辅助生殖;机器人概念;专精特新;三胎概念;融资融券,17,688273
603778.SH,11,钙钛矿电池;HJT电池;TOPCON电池;硅能源;虚拟电厂;新型城镇化;PPP概念;固态电池;光伏概念;储能;锂电池概念,17,603778
603876.SH,9,钠离子电池;固态电池;宁德时代概念;锂电池概念;比亚迪概念;储能;2025年报预增;沪股通;融资融券,17,603876
688268.SH,14,中芯国际概念;光刻胶;存储芯片;光刻机;氟化工概念;第三代半导体;芯片概念;氢能源;专精特新;俄乌冲突概念;核电;粤港澳大湾区;沪股通;融资融券,17,688268
002772.SZ,5,农业种植;乡村振兴;西部大开发;回购增持再贷款概念;2025年报预增,33,002772
603248.SH,6,注册制次新股;风电;专精特新;高端装备;新股与次新股;融资融券,17,603248
603826.SH,6,钛白粉概念;福建自贸区;海峡两岸;专精特新;沪股通;融资融券,17,603826
603612.SH,16,石墨电极;固态电池;锂电池概念;宁德时代概念;2025年报预增;燃料电池;氢能源;储能;新能源汽车;飞行汽车(eVTOL);无人机;一带一路;无人驾驶;DeepSeek概念;沪股通;融资融券,17,603612
600578.SH,11,超超临界发电;绿色电力;氢能源;风电;2025年报预增;国企改革;证金持股;沪股通;融资融券;京津冀一体化;蚂蚁集团概念,17,600578
603856.SH,9,新疆振兴;地下管网;新型城镇化;乡村振兴;水利;抽水蓄能;一带一路;氢能源;军工,17,603856
688500.SH,24,小红书概念;AI语料;虚拟数字人;AIGC概念;抖音概念(字节概念);智慧政务;AI智能体;阿里巴巴概念;数据要素;算力租赁;数字乡村;东数西算(算力);人工智能;数字经济;DeepSeek概念;智慧城市;华为概念;数据中心;人形机器人;机器人概念;烟草;AI应用;乡村振兴;融资融券,17,688500
002688.SZ,11,动物疫苗;禽流感;合成生物;宠物经济;代糖概念;粮食概念;污水处理;玉米;西部大开发;人工智能;深股通,33,002688
920086.BJ,7,华为汽车;新能源汽车;比亚迪概念;华为概念;专精特新;新股与次新股;融资融券,151,920086
600508.SH,9,煤炭概念;超超临界发电;绿色电力;央企国企改革;国企改革;虚拟电厂;储能;沪股通;融资融券,17,600508
000533.SZ,21,智能电网;抽水蓄能;超超临界发电;风电;充电桩;核电;可控核聚变;光伏概念;储能;数据中心;海工装备;水利;东数西算(算力);比亚迪概念;粤港澳大湾区;阿里巴巴概念;百度概念;数字经济;中芯国际概念;深股通;融资融券,33,000533
688020.SH,11,PCB概念;先进封装;PET铜箔;华为手机;5G;消费电子概念;小米概念;专精特新;华为概念;稀土永磁;融资融券,17,688020
300072.SZ,12,页岩气;氢能源;PM2.5;碳中和;国企改革;京津冀一体化;化肥;人民币贬值受益;乡村振兴;深股通;融资融券;生态农业,33,300072
603679.SH,29,卫星导航;低空经济;智慧灯杆;智慧城市;车联网(车路协同);创投;人工智能;物联网;数据要素;无人驾驶;智能家居;智慧政务;虚拟数字人;DeepSeek概念;数字孪生;华为概念;腾讯概念;换电概念;AI智能体;西部大开发;新能源汽车;东数西算(算力);充电桩;数据中心;储能;虚拟电厂;AI应用;华为数字能源;锂电池概念,17,603679
603588.SH,17,金属铅;金属回收;小金属概念;金属铜;黄金概念;医疗废物处理;固废处理;金属镍;生物质能发电;土壤修复;2025年报预增;污水处理;垃圾分类;一带一路;PPP概念;沪股通;融资融券,17,603588
688150.SH,8,PCB概念;柔性屏(折叠屏);OLED;专精特新;钙钛矿电池;西部大开发;沪股通;融资融券,17,688150
601026.SH,13,碳纤维;丙烯酸;风电;注册制次新股;海工装备;光伏概念;储能;专精特新;新能源汽车;芯片概念;锂电池概念;新股与次新股;融资融券,17,601026
000059.SZ,7,煤化工概念;石墨电极;化肥;央企国企改革;国企改革;深股通;融资融券,33,000059
300876.SZ,3,碳纤维;专精特新;融资融券,33,300876
002019.SZ,9,流感;肝炎概念;维生素;创新药;合成生物;光伏概念;可降解塑料;深股通;融资融券,33,002019
001226.SZ,1,专精特新,33,001226
603235.SH,3,维生素;人民币贬值受益;沪股通,17,603235
