所属概念,market_code,所属概念数量,股票代码,code
核污染防治;新能源汽车;无人驾驶;先进封装;无人机;第三代半导体;军工;核电;低空经济;中俄贸易概念;黑龙江自贸区;氢能源;深股通,33,13,300489.SZ,300489
汽车热管理;飞行汽车(eVTOL);比亚迪概念;新能源汽车;长安汽车概念;宁德时代概念;低空经济;燃料电池;融资融券,33,9,301181.SZ,301181
汽车芯片;第三代半导体;芯片概念;专精特新;无人机;充电桩;智能电网;融资融券,17,8,688693.SH,688693
铜缆高速连接;富士康概念;液冷服务器;新型烟草(电子烟);消费电子概念;人形机器人;数据中心;智能座舱;比亚迪概念;小米概念;新能源汽车;无人机;飞行汽车(eVTOL);高压快充;机器人概念;低空经济;充电桩;储能;深股通,33,19,300843.SZ,300843
新型烟草(电子烟);长三角一体化;新型工业化;无线充电;比亚迪概念;苹果概念;消费电子概念;无线耳机;汽车电子,33,9,300461.SZ,300461
F5G概念;共封装光学(CPO);光纤概念;铜缆高速连接;5G;芯片概念;数据中心;专精特新;2025年报预增;华为概念;长三角一体化;机器人概念;抖音概念(字节概念);融资融券;深股通,33,15,300548.SZ,300548
土壤修复;粤港澳大湾区;固废处理;生物质能发电;碳中和;绿色电力;融资融券,33,7,300854.SZ,300854
阿尔茨海默概念;医药电商;流感;2025年报预增;养老概念;创投,33,6,002107.SZ,002107
特斯拉概念;液冷服务器;新能源汽车;数据中心;储能;长三角一体化;创投;一带一路;融资融券,33,9,002328.SZ,002328
物业管理;证金持股;国企改革;京津冀一体化;智能家居;沪股通;融资融券;股权转让(并购重组),17,8,600743.SH,600743
流感;创新药;医药电商;仿制药一致性评价;维生素;医疗器械概念;冷链物流;粤港澳大湾区;深股通;融资融券,33,10,000078.SZ,000078
区块链;抖音概念(字节概念);百度概念;互联网金融;阿里巴巴概念;腾讯概念;算力租赁;华为概念;5G;摘帽,33,10,000889.SZ,000889
PEEK材料;人形机器人;机器人概念;染料;储能;2026一季报预增,17,6,605189.SH,605189
稀土永磁;金属钴;金属铜;金属回收;消费电子概念;汽车拆解概念;新能源汽车;机器人概念;垃圾分类;高端装备;固废处理;深股通;融资融券,33,13,002645.SZ,002645
3D打印;DeepSeek概念;海峡两岸;华为概念;消费电子概念;机器人概念;股权转让(并购重组),17,7,603958.SH,603958
汽车电子;消费电子概念;小米概念;MR(混合现实);虚拟现实;专精特新;安防;人民币贬值受益;华为概念,33,9,002962.SZ,002962
商业航天;京津冀一体化;军工;海工装备;水利;雄安新区;高端装备;一带一路;核电;光伏概念;白酒概念;风电;抽水蓄能;深股通;融资融券,33,15,002342.SZ,002342
装配式建筑;上海国企改革;房屋检测;新型城镇化;低空经济;地下管网;建筑节能;PPP概念;水利;乡村振兴;创投;雄安新区;数字孪生;人工智能;一带一路;碳中和;国企改革;数字经济;参股券商;沪股通,17,20,600629.SH,600629
特高压;高端装备;核电;军工;无人机;抽水蓄能;风电;机器人概念;储能;低空经济;人工智能;职业教育;沪股通,17,13,605056.SH,605056
存储芯片;锂电池概念;汽车芯片;粤港澳大湾区;比亚迪概念;芯片概念;创投;新能源汽车;消费电子概念;硅能源;PCB概念;小金属概念;无人驾驶;信创;WiFi 6,33,15,002213.SZ,002213
MicroLED概念;MiniLED;光刻机;先进封装;OLED;柔性屏(折叠屏);共封装光学(CPO);钙钛矿电池;6G概念;PET铜箔;存储芯片;汽车电子;芯片概念;消费电子概念;商业航天;智能穿戴;卫星导航;小米概念;华为概念;沪股通,17,20,603773.SH,603773
