所属同花顺行业,market_code,股票代码,code
电子-消费电子-消费电子零部件及组装,33,300812.SZ,300812
计算机-计算机设备-安防设备,33,300449.SZ,300449
国防军工-军工装备-航空装备,33,300719.SZ,300719
传媒-影视院线-影视院线Ⅲ,33,300251.SZ,300251
电子-半导体-半导体设备,17,688147.SH,688147
电子-半导体-数字芯片设计,17,688702.SH,688702
电子-半导体-半导体设备,17,688409.SH,688409
机械设备-自动化设备-其他自动化设备,33,300486.SZ,300486
汽车-汽车零部件-底盘与发动机系统,17,688280.SH,688280
计算机-计算机设备-其他计算机设备,151,920808.BJ,920808
电力设备-电网设备-线缆部件及其他,33,002498.SZ,002498
机械设备-工程机械-工程机械Ⅲ,17,600984.SH,600984
通信-通信服务-通信应用增值服务,33,000839.SZ,000839
计算机-计算机设备-安防设备,151,920976.BJ,920976
汽车-汽车整车-乘用车,17,601777.SH,601777
环保-环保设备-环保设备Ⅲ,33,000890.SZ,000890
国防军工-军工装备-航海装备,17,601890.SH,601890
机械设备-通用设备-金属制品,33,002843.SZ,002843
汽车-汽车零部件-底盘与发动机系统,33,002703.SZ,002703
建筑装饰-建筑装饰-工程咨询服务,17,600629.SH,600629
基础化工-塑料制品-膜材料,33,000859.SZ,000859
电子-消费电子-消费电子零部件及组装,33,000021.SZ,000021
基础化工-农化制品-农药,17,605033.SH,605033
汽车-汽车零部件-轮胎轮毂,33,002355.SZ,002355
计算机-IT服务-IT服务Ⅲ,17,600410.SH,600410
公用事业-电力-火电,33,001896.SZ,001896
国防军工-军工装备-航空装备,17,600893.SH,600893
建筑装饰-建筑装饰-专业工程,17,603163.SH,603163
建筑装饰-建筑装饰-装饰园林,17,605289.SH,605289
机械设备-专用设备-其他专用设备,33,002009.SZ,002009
机械设备-通用设备-其他通用设备,17,603331.SH,603331
传媒-文化传媒-数字媒体,17,603533.SH,603533
机械设备-自动化设备-其他自动化设备,17,603960.SH,603960
电力设备-其他电源设备-其他电源设备Ⅲ,33,002951.SZ,002951
电力设备-电网设备-电气自控设备,33,002169.SZ,002169
传媒-文化传媒-数字媒体,17,603466.SH,603466
农林牧渔-养殖业-海洋捕捞,33,000798.SZ,000798
轻工制造-造纸-造纸Ⅲ,17,605007.SH,605007
汽车-汽车零部件-其他汽车零部件,33,002510.SZ,002510
房地产-房地产-住宅开发,17,600791.SH,600791
计算机-软件开发-横向通用软件,33,300369.SZ,300369
美容护理-美容护理-化妆品,33,300132.SZ,300132
国防军工-军工电子-军工电子Ⅲ,17,688629.SH,688629
计算机-软件开发-横向通用软件,17,688031.SH,688031
计算机-软件开发-垂直应用软件,33,300935.SZ,300935
国防军工-军工装备-航空装备,17,688586.SH,688586
机械设备-专用设备-能源及重型设备,17,600397.SH,600397
国防军工-军工装备-航海装备,33,300589.SZ,300589
基础化工-塑料制品-合成树脂,33,301555.SZ,301555
国防军工-军工装备-航空装备,17,688563.SH,688563
汽车-汽车零部件-车身附件及饰件,33,300100.SZ,300100
机械设备-通用设备-其他通用设备,17,603090.SH,603090
公用事业-电力-热力,33,001210.SZ,001210
有色金属-工业金属-铝,33,002988.SZ,002988
轻工制造-家居用品-其他家居用品,33,301193.SZ,301193
国防军工-军工装备-航空装备,33,000738.SZ,000738
轻工制造-家居用品-瓷砖地板,33,301356.SZ,301356
医药生物-医疗器械-体外诊断,17,688767.SH,688767
国防军工-军工装备-航空装备,17,688510.SH,688510
汽车-汽车零部件-汽车电子电气系统,17,688533.SH,688533
汽车-汽车零部件-底盘与发动机系统,17,605255.SH,605255
电力设备-电池-锂电专用设备,151,920119.BJ,920119
传媒-文化传媒-出版,33,301052.SZ,301052
电子-消费电子-消费电子零部件及组装,33,301051.SZ,301051
国防军工-军工装备-航海装备,33,300065.SZ,300065
机械设备-自动化设备-激光设备,22,688646.SH,688646
综合-综合-综合Ⅲ,33,000833.SZ,000833
传媒-影视院线-影视院线Ⅲ,17,603103.SH,603103
国防军工-军工装备-航空装备,33,300424.SZ,300424
医药生物-医疗器械-医疗设备,33,301363.SZ,301363
计算机-软件开发-垂直应用软件,17,688579.SH,688579
机械设备-通用设备-仪器仪表,33,300567.SZ,300567
电子-光学光电子-光学元件,17,603297.SH,603297
电子-消费电子-消费电子零部件及组装,33,301285.SZ,301285
电力设备-电池-锂电池,33,301217.SZ,301217
电子-消费电子-消费电子零部件及组装,33,002655.SZ,002655
轻工制造-造纸-造纸Ⅲ,33,301469.SZ,301469
通信-通信设备-其他通信设备,17,688292.SH,688292
计算机-软件开发-横向通用软件,33,300766.SZ,300766
基础化工-化学制品-纺织化学用品,33,300107.SZ,300107
环保-环境治理-固废治理,33,300779.SZ,300779
传媒-影视院线-影视院线Ⅲ,33,001330.SZ,001330
电子-半导体-半导体材料,17,600641.SH,600641
机械设备-专用设备-其他专用设备,17,688001.SH,688001
家用电器-白色家电-家电零部件,33,301008.SZ,301008
机械设备-专用设备-其他专用设备,17,688419.SH,688419
汽车-汽车零部件-底盘与发动机系统,33,300258.SZ,300258
传媒-影视院线-影视院线Ⅲ,17,600977.SH,600977
通信-通信服务-通信应用增值服务,33,002467.SZ,002467
基础化工-塑料制品-膜材料,33,000973.SZ,000973
汽车-汽车零部件-车身附件及饰件,151,920533.BJ,920533
机械设备-通用设备-金属制品,33,300718.SZ,300718
商贸零售-互联网电商-互联网电商Ⅲ,17,605136.SH,605136
计算机-IT服务-IT服务Ⅲ,17,688343.SH,688343
医药生物-医疗器械-医疗耗材,17,688085.SH,688085
农林牧渔-农产品加工-粮油加工,33,000638.SZ,000638
基础化工-化学制品-其他化学制品,33,301518.SZ,301518
电力设备-电网设备-输变电设备,17,603045.SH,603045
机械设备-专用设备-其他专用设备,33,301013.SZ,301013
轻工制造-家居用品-其他家居用品,22,603021.SH,603021
轻工制造-造纸-造纸Ⅲ,33,000488.SZ,000488
家用电器-白色家电-冰洗,33,000016.SZ,000016
公用事业-燃气-燃气Ⅲ,33,000669.SZ,000669
计算机-软件开发-横向通用软件,33,000004.SZ,000004
环保-环境治理-综合环境治理,33,000711.SZ,000711
电力设备-光伏设备-光伏加工设备,33,000821.SZ,000821
电子-光学光电子-面板,33,002289.SZ,002289
国防军工-军工装备-航海装备,22,603268.SH,603268
国防军工-军工电子-军工电子Ⅲ,33,001270.SZ,001270
房地产-房地产-住宅开发,33,000609.SZ,000609
非银金融-多元金融-多元金融Ⅲ,33,002647.SZ,002647
计算机-计算机设备-其他计算机设备,33,300042.SZ,300042
机械设备-通用设备-金属制品,17,603667.SH,603667
建筑装饰-建筑装饰-装饰园林,33,002713.SZ,002713
汽车-汽车零部件-底盘与发动机系统,33,002592.SZ,002592
轻工制造-包装印刷-包装,33,002374.SZ,002374
机械设备-通用设备-仪器仪表,33,300667.SZ,300667
机械设备-通用设备-制冷空调设备,33,301018.SZ,301018
机械设备-自动化设备-其他自动化设备,33,300097.SZ,300097
电力设备-电池-电池化学品,33,002812.SZ,002812
电子-半导体-半导体设备,17,688785.SH,688785
医药生物-医疗器械-体外诊断,17,600538.SH,600538
国防军工-军工装备-航空装备,17,688239.SH,688239
有色金属-小金属-其他小金属,151,920068.BJ,920068
基础化工-塑料制品-膜材料,33,300806.SZ,300806
机械设备-通用设备-金属制品,17,688308.SH,688308
建筑材料-建筑材料-管材,33,300198.SZ,300198
电子-半导体-半导体设备,17,688652.SH,688652
社会服务-其他社会服务-专业服务,33,300887.SZ,300887
医药生物-生物制品-疫苗,17,688319.SH,688319
机械设备-通用设备-金属制品,33,002931.SZ,002931
电力设备-电池-电池化学品,33,301292.SZ,301292
电力设备-电机-电机Ⅲ,33,002196.SZ,002196
基础化工-化学制品-其他化学制品,33,301286.SZ,301286
电子-半导体-半导体设备,17,688809.SH,688809
交通运输-公路铁路运输-公交,33,002357.SZ,002357
基础化工-橡胶制品-其他橡胶制品,33,300587.SZ,300587
机械设备-自动化设备-其他自动化设备,17,688329.SH,688329
医药生物-生物制品-其他生物制品,33,002581.SZ,002581
国防军工-军工装备-航空装备,33,002297.SZ,002297
电子-半导体-模拟芯片设计,17,688286.SH,688286
机械设备-通用设备-金属制品,33,002896.SZ,002896
医药生物-生物制品-其他生物制品,17,688488.SH,688488
轻工制造-家居用品-定制家居,33,300749.SZ,300749
计算机-软件开发-垂直应用软件,151,920207.BJ,920207
计算机-软件开发-横向通用软件,17,688561.SH,688561
环保-环保设备-环保设备Ⅲ,17,688309.SH,688309
国防军工-军工电子-军工电子Ⅲ,33,002519.SZ,002519
计算机-计算机设备-其他计算机设备,33,300552.SZ,300552
电子-半导体-模拟芯片设计,17,688515.SH,688515
机械设备-专用设备-其他专用设备,17,688627.SH,688627
