股票代码,code,所属同花顺行业,market_code
920662.BJ,920662,机械设备-通用设备-其他通用设备,151
920035.BJ,920035,机械设备-通用设备-仪器仪表,151
920367.BJ,920367,医药生物-化学制药-原料药,151
688291.SH,688291,计算机-软件开发-垂直应用软件,17
300085.SZ,300085,计算机-软件开发-垂直应用软件,33
300665.SZ,300665,基础化工-化学制品-涂料油墨,33
300835.SZ,300835,有色金属-金属新材料-磁性材料,33
300721.SZ,300721,基础化工-化学制品-其他化学制品,33
300961.SZ,300961,环保-环境治理-水务及水治理,33
301211.SZ,301211,医药生物-化学制药-原料药,33
300149.SZ,300149,医药生物-医疗服务-医疗研发外包,33
300167.SZ,300167,计算机-IT服务-IT服务Ⅲ,33
300485.SZ,300485,医药生物-生物制品-其他生物制品,33
688179.SH,688179,基础化工-化学制品-其他化学制品,17
301237.SZ,301237,基础化工-塑料制品-膜材料,33
920748.BJ,920748,计算机-IT服务-IT服务Ⅲ,151
920675.BJ,920675,基础化工-非金属材料-非金属材料Ⅲ,151
920790.BJ,920790,计算机-IT服务-IT服务Ⅲ,151
300077.SZ,300077,电子-半导体-数字芯片设计,33
301600.SZ,301600,计算机-计算机设备-其他计算机设备,33
300966.SZ,300966,医药生物-化学制药-原料药,33
920478.BJ,920478,医药生物-化学制药-原料药,151
920220.BJ,920220,汽车-汽车零部件-底盘与发动机系统,151
688711.SH,688711,电子-半导体-分立器件,17
920578.BJ,920578,机械设备-自动化设备-机器人,151
688268.SH,688268,电子-电子化学品-电子化学品Ⅲ,17
920211.BJ,920211,机械设备-自动化设备-机器人,151
300461.SZ,300461,机械设备-自动化设备-其他自动化设备,33
300046.SZ,300046,电子-半导体-分立器件,33
301288.SZ,301288,环保-环保设备-环保设备Ⅲ,33
688755.SH,688755,机械设备-专用设备-其他专用设备,17
301056.SZ,301056,机械设备-专用设备-楼宇设备,33
300434.SZ,300434,医药生物-化学制药-化学制剂,33
688338.SH,688338,医药生物-医疗器械-体外诊断,17
920047.BJ,920047,医药生物-生物制品-其他生物制品,151
301399.SZ,301399,机械设备-通用设备-制冷空调设备,33
300204.SZ,300204,医药生物-化学制药-化学制剂,33
300412.SZ,300412,机械设备-专用设备-其他专用设备,33
688181.SH,688181,电子-光学光电子-面板,17
688105.SH,688105,医药生物-生物制品-其他生物制品,17
301687.SZ,301687,基础化工-塑料制品-膜材料,33
688506.SH,688506,医药生物-化学制药-化学制剂,17
920489.BJ,920489,基础化工-化学原料-其他化学原料,151
301580.SZ,301580,医药生物-医疗器械-医疗耗材,33
300005.SZ,300005,纺织服饰-服装家纺-服装,33
688026.SH,688026,医药生物-医疗器械-医疗耗材,17
300540.SZ,300540,机械设备-专用设备-其他专用设备,33
688653.SH,688653,电子-半导体-模拟芯片设计,17
600322.SH,600322,房地产-房地产-住宅开发,17
600400.SH,600400,纺织服饰-服装家纺-服装,17
002672.SZ,002672,环保-环境治理-固废治理,33
603669.SH,603669,医药生物-化学制药-化学制剂,17
603106.SH,603106,计算机-计算机设备-其他计算机设备,17
603717.SH,603717,农林牧渔-养殖业-生猪养殖,17
603630.SH,603630,美容护理-美容护理-化妆品,17
601011.SH,601011,煤炭-煤炭开采加工-煤炭开采,17
002631.SZ,002631,轻工制造-家居用品-瓷砖地板,33
600708.SH,600708,房地产-房地产-住宅开发,17
605167.SH,605167,建筑装饰-建筑装饰-专业工程,17
603007.SH,603007,汽车-汽车零部件-底盘与发动机系统,17
002830.SZ,002830,建筑装饰-建筑装饰-装饰园林,33
001206.SZ,001206,美容护理-美容护理-个护用品,33
603863.SH,603863,轻工制造-造纸-造纸Ⅲ,17
002687.SZ,002687,纺织服饰-服装家纺-服装,33
002921.SZ,002921,汽车-汽车零部件-其他汽车零部件,33
002549.SZ,002549,环保-环境治理-大气治理,33
603116.SH,603116,纺织服饰-服装家纺-鞋帽及其他,17
605069.SH,605069,环保-环境治理-综合环境治理,17
600379.SH,600379,电力设备-电网设备-输变电设备,17
002196.SZ,002196,电力设备-电机-电机Ⅲ,33
600793.SH,600793,轻工制造-造纸-造纸Ⅲ,17
001279.SZ,001279,轻工制造-包装印刷-印刷,33
600719.SH,600719,公用事业-电力-热力,17
002580.SZ,002580,电力设备-电池-其他电池,33
605118.SH,605118,计算机-计算机设备-安防设备,17
002674.SZ,002674,纺织服饰-纺织制造-辅料,33
603757.SH,603757,机械设备-通用设备-其他通用设备,17
002648.SZ,002648,基础化工-化学制品-其他化学制品,33
301148.SZ,301148,环保-环境治理-水务及水治理,33
