股票代码,code,market_code,所属同花顺行业
920138.BJ,920138,151,电子-半导体-数字芯片设计
920856.BJ,920856,151,机械设备-专用设备-其他专用设备
920826.BJ,920826,151,食品饮料-食品加工制造-预加工食品
688167.SH,688167,17,电子-半导体-分立器件
688635.SH,688635,17,通信-通信设备-通信线缆及配套
301315.SZ,301315,33,计算机-软件开发-横向通用软件
300862.SZ,300862,33,环保-环保设备-环保设备Ⅲ
301602.SZ,301602,33,医药生物-医疗器械-医疗设备
300197.SZ,300197,33,环保-环境治理-综合环境治理
301129.SZ,301129,33,机械设备-通用设备-仪器仪表
688300.SH,688300,17,基础化工-非金属材料-非金属材料Ⅲ
300246.SZ,300246,33,医药生物-医疗器械-医疗设备
300935.SZ,300935,33,计算机-软件开发-垂直应用软件
300167.SZ,300167,33,计算机-IT服务-IT服务Ⅲ
300615.SZ,300615,33,通信-通信设备-通信终端及配件
920553.BJ,920553,151,机械设备-专用设备-印刷包装机械
688320.SH,688320,17,机械设备-自动化设备-工控设备
688143.SH,688143,17,通信-通信设备-通信线缆及配套
300626.SZ,300626,33,电力设备-电机-电机Ⅲ
688371.SH,688371,17,电子-电子化学品-电子化学品Ⅲ
301148.SZ,301148,33,环保-环境治理-水务及水治理
920575.BJ,920575,151,医药生物-生物制品-疫苗
688115.SH,688115,17,机械设备-通用设备-仪器仪表
301107.SZ,301107,33,机械设备-通用设备-其他通用设备
300489.SZ,300489,33,电子-光学光电子-光学元件
688182.SH,688182,17,通信-通信设备-通信网络设备及器件
688685.SH,688685,17,国防军工-军工装备-航空装备
301282.SZ,301282,33,电子-元件-印制电路板
301486.SZ,301486,33,通信-通信设备-通信网络设备及器件
300795.SZ,300795,33,社会服务-其他社会服务-专业服务
688392.SH,688392,17,电力设备-电池-锂电专用设备
002146.SZ,002146,33,房地产-房地产-住宅开发
600881.SH,600881,17,综合-综合-综合Ⅲ
002573.SZ,002573,33,环保-环境治理-水务及水治理
920273.BJ,920273,151,食品饮料-食品加工制造-其他食品
002047.SZ,002047,33,建筑装饰-建筑装饰-装饰园林
600604.SH,600604,17,房地产-房地产-产业地产
002005.SZ,002005,33,家用电器-小家电-小家电Ⅲ
000720.SZ,000720,33,电力设备-电网设备-线缆部件及其他
002081.SZ,002081,33,建筑装饰-建筑装饰-装饰园林
002682.SZ,002682,33,交通运输-物流-物流Ⅲ
000802.SZ,000802,33,传媒-影视院线-影视院线Ⅲ
600266.SH,600266,17,房地产-房地产-住宅开发
002244.SZ,002244,33,房地产-房地产-住宅开发
001313.SZ,001313,33,农林牧渔-农产品加工-水产饲料
600721.SH,600721,17,医药生物-医疗服务-医疗研发外包
600379.SH,600379,17,电力设备-电网设备-输变电设备
601155.SH,601155,17,房地产-房地产-商业地产
002248.SZ,002248,33,机械设备-通用设备-机床工具
603269.SH,603269,17,机械设备-通用设备-其他通用设备
603232.SH,603232,17,计算机-软件开发-横向通用软件
600162.SH,600162,17,商贸零售-零售-商业物业经营
002357.SZ,002357,33,交通运输-公路铁路运输-公交
002562.SZ,002562,33,基础化工-化学制品-食品及饲料添加剂
603076.SH,603076,17,机械设备-专用设备-其他专用设备
603277.SH,603277,17,机械设备-通用设备-制冷空调设备
600234.SH,600234,17,建筑装饰-建筑装饰-装饰园林
600683.SH,600683,17,房地产-房地产-住宅开发
002520.SZ,002520,33,机械设备-通用设备-机床工具
603758.SH,603758,17,汽车-汽车零部件-底盘与发动机系统
000593.SZ,000593,33,公用事业-燃气-燃气Ⅲ
603289.SH,603289,17,机械设备-专用设备-其他专用设备
001260.SZ,001260,33,汽车-汽车零部件-车身附件及饰件
600105.SH,600105,17,通信-通信设备-通信线缆及配套
605286.SH,605286,17,机械设备-专用设备-楼宇设备
000887.SZ,000887,33,汽车-汽车零部件-其他汽车零部件
603052.SH,603052,17,电子-消费电子-消费电子零部件及组装
600641.SH,600641,17,电子-半导体-半导体材料
002870.SZ,002870,33,汽车-汽车零部件-汽车电子电气系统
605289.SH,605289,17,建筑装饰-建筑装饰-装饰园林
603228.SH,603228,17,电子-元件-印制电路板
002379.SZ,002379,33,有色金属-工业金属-铝
000736.SZ,000736,33,房地产-房地产-房地产服务
600272.SH,600272,17,医药生物-医药商业-医药流通
603191.SH,603191,17,电力设备-电网设备-输变电设备
002164.SZ,002164,33,机械设备-通用设备-金属制品
603538.SH,603538,17,医药生物-化学制药-原料药
601700.SH,601700,17,电力设备-电网设备-线缆部件及其他
002552.SZ,002552,33,电子-元件-印制电路板
600602.SH,600602,17,计算机-软件开发-垂直应用软件
603615.SH,603615,17,轻工制造-家居用品-其他家居用品
603696.SH,603696,17,食品饮料-食品加工制造-调味发酵品
603102.SH,603102,17,食品饮料-食品加工制造-其他食品
603690.SH,603690,17,电子-半导体-半导体设备
603369.SH,603369,17,食品饮料-白酒-白酒Ⅲ
605179.SH,605179,17,食品饮料-饮料制造-乳品
002792.SZ,002792,33,通信-通信设备-通信网络设备及器件
001696.SZ,001696,33,机械设备-通用设备-其他通用设备
603897.SH,603897,17,电力设备-电网设备-线缆部件及其他
600216.SH,600216,17,医药生物-化学制药-原料药
603396.SH,603396,17,电力设备-光伏设备-光伏加工设备
002491.SZ,002491,33,通信-通信设备-通信线缆及配套
000048.SZ,000048,33,农林牧渔-养殖业-生猪养殖
603887.SH,603887,17,通信-通信服务-通信应用增值服务
600857.SH,600857,17,商贸零售-零售-百货零售
600397.SH,600397,17,机械设备-专用设备-能源及重型设备
002437.SZ,002437,33,医药生物-化学制药-化学制剂
002172.SZ,002172,33,医药生物-医疗服务-医院
603095.SH,603095,17,机械设备-专用设备-纺织服装设备
601886.SH,601886,17,建筑装饰-建筑装饰-装饰园林
603324.SH,603324,17,环保-环保设备-环保设备Ⅲ
002967.SZ,002967,33,社会服务-其他社会服务-专业服务
300563.SZ,300563,33,通信-通信设备-通信线缆及配套
002996.SZ,002996,33,有色金属-工业金属-铝
688196.SH,688196,17,基础化工-化学制品-其他化学制品
002518.SZ,002518,33,电力设备-其他电源设备-其他电源设备Ⅲ
688699.SH,688699,17,电子-半导体-模拟芯片设计
000007.SZ,000007,33,商贸零售-零售-商业物业经营
300665.SZ,300665,33,基础化工-化学制品-涂料油墨
688275.SH,688275,17,电力设备-电池-电池化学品
002534.SZ,002534,33,电力设备-其他电源设备-其他电源设备Ⅲ
603901.SH,603901,17,机械设备-专用设备-印刷包装机械
002456.SZ,002456,33,电子-光学光电子-光学元件
688373.SH,688373,17,医药生物-化学制药-化学制剂
300378.SZ,300378,33,计算机-软件开发-横向通用软件
002185.SZ,002185,33,电子-半导体-集成电路封测
600052.SH,600052,17,公用事业-电力-热力
300194.SZ,300194,33,医药生物-化学制药-化学制剂
301313.SZ,301313,33,传媒-文化传媒-数字媒体
002043.SZ,002043,33,建筑材料-建筑材料-其他建材
002617.SZ,002617,33,公用事业-电力-新能源发电
001298.SZ,001298,33,电子-其他电子-其他电子Ⅲ
600481.SH,600481,17,电力设备-光伏设备-硅料硅片
603007.SH,603007,17,汽车-汽车零部件-底盘与发动机系统
002201.SZ,002201,33,建筑材料-建筑材料-玻璃玻纤
301149.SZ,301149,33,基础化工-化学制品-其他化学制品
002860.SZ,002860,33,家用电器-白色家电-家电零部件
301297.SZ,301297,33,电子-半导体-半导体设备
301075.SZ,301075,33,医药生物-化学制药-化学制剂
688981.SH,688981,17,电子-半导体-集成电路制造
300904.SZ,300904,33,电力设备-风电设备-风电零部件
301188.SZ,301188,33,医药生物-医疗器械-医疗耗材
000695.SZ,000695,33,电力设备-电池-电池化学品
002269.SZ,002269,33,纺织服饰-服装家纺-服装
301128.SZ,301128,33,机械设备-专用设备-其他专用设备
002571.SZ,002571,33,轻工制造-家居用品-其他家居用品
688272.SH,688272,17,国防军工-军工电子-军工电子Ⅲ
920971.BJ,920971,151,基础化工-非金属材料-非金属材料Ⅲ
002253.SZ,002253,33,计算机-软件开发-垂直应用软件
300306.SZ,300306,33,机械设备-通用设备-仪器仪表
002640.SZ,002640,33,商贸零售-互联网电商-互联网电商Ⅲ
300501.SZ,300501,33,轻工制造-包装印刷-包装
300869.SZ,300869,33,医药生物-医疗器械-医疗设备
001331.SZ,001331,33,公用事业-燃气-燃气Ⅲ
603138.SH,603138,17,计算机-软件开发-横向通用软件
688273.SH,688273,17,医药生物-医疗器械-医疗设备
603378.SH,603378,22,建筑材料-建筑材料-其他建材
603717.SH,603717,17,农林牧渔-养殖业-生猪养殖
601929.SH,601929,17,传媒-文化传媒-电视广播
688251.SH,688251,17,机械设备-通用设备-其他通用设备
300749.SZ,300749,33,轻工制造-家居用品-定制家居
688348.SH,688348,17,电力设备-光伏设备-逆变器
600207.SH,600207,17,电力设备-光伏设备-光伏辅材
002830.SZ,002830,33,建筑装饰-建筑装饰-装饰园林
300688.SZ,300688,33,社会服务-教育-教育Ⅲ
002829.SZ,002829,33,国防军工-军工装备-航天装备
920030.BJ,920030,151,汽车-汽车服务及其他-汽车服务
600571.SH,600571,17,计算机-软件开发-垂直应用软件
688785.SH,688785,17,电子-半导体-半导体设备
688383.SH,688383,17,机械设备-专用设备-其他专用设备
000975.SZ,000975,33,有色金属-贵金属-贵金属Ⅲ
603158.SH,603158,17,汽车-汽车零部件-底盘与发动机系统
301667.SZ,301667,33,汽车-汽车零部件-底盘与发动机系统
920926.BJ,920926,151,家用电器-小家电-小家电Ⅲ
600880.SH,600880,17,计算机-软件开发-垂直应用软件
300792.SZ,300792,33,商贸零售-互联网电商-互联网电商Ⅲ
000570.SZ,000570,33,机械设备-通用设备-其他通用设备
920271.BJ,920271,151,汽车-汽车零部件-底盘与发动机系统
603110.SH,603110,17,基础化工-化学制品-涂料油墨
002440.SZ,002440,33,基础化工-化学制品-纺织化学用品
688783.SH,688783,17,电子-半导体-半导体材料
601882.SH,601882,17,机械设备-通用设备-机床工具
002150.SZ,002150,33,电力设备-光伏设备-逆变器
002130.SZ,002130,33,电子-其他电子-其他电子Ⅲ
