股票代码,code,market_code,所属同花顺行业
300006.SZ,300006,33,医药生物-化学制药-化学制剂
688485.SH,688485,17,环保-环境治理-综合环境治理
300626.SZ,300626,33,电力设备-电机-电机Ⅲ
688146.SH,688146,17,电子-电子化学品-电子化学品Ⅲ
688226.SH,688226,17,电力设备-电网设备-线缆部件及其他
300608.SZ,300608,33,计算机-软件开发-垂直应用软件
300812.SZ,300812,33,电子-消费电子-消费电子零部件及组装
688205.SH,688205,17,通信-通信设备-通信网络设备及器件
688195.SH,688195,17,电子-光学光电子-光学元件
300400.SZ,300400,33,机械设备-自动化设备-其他自动化设备
688307.SH,688307,17,电子-光学光电子-光学元件
688628.SH,688628,17,机械设备-通用设备-仪器仪表
688677.SH,688677,17,医药生物-医疗器械-医疗设备
688079.SH,688079,17,电子-光学光电子-光学元件
300620.SZ,300620,33,通信-通信设备-通信网络设备及器件
300632.SZ,300632,33,电子-光学光电子-LED
300757.SZ,300757,33,机械设备-自动化设备-其他自动化设备
301312.SZ,301312,33,机械设备-自动化设备-工控设备
300747.SZ,300747,33,机械设备-自动化设备-激光设备
300210.SZ,300210,33,机械设备-专用设备-其他专用设备
688345.SH,688345,17,电力设备-电池-锂电池
300666.SZ,300666,33,电子-半导体-半导体材料
600302.SH,600302,17,机械设备-专用设备-纺织服装设备
605303.SH,605303,17,建筑装饰-建筑装饰-装饰园林
000586.SZ,000586,33,通信-通信设备-通信线缆及配套
603123.SH,603123,17,非银金融-多元金融-多元金融Ⅲ
000950.SZ,000950,33,医药生物-医药商业-医药流通
600602.SH,600602,17,计算机-软件开发-垂直应用软件
003007.SZ,003007,33,计算机-软件开发-垂直应用软件
603585.SH,603585,17,基础化工-农化制品-农药
600869.SH,600869,17,电力设备-电网设备-线缆部件及其他
605589.SH,605589,17,基础化工-塑料制品-合成树脂
002831.SZ,002831,33,轻工制造-包装印刷-包装
603189.SH,603189,17,计算机-软件开发-垂直应用软件
002952.SZ,002952,33,电子-光学光电子-面板
002796.SZ,002796,33,通信-通信设备-通信网络设备及器件
002980.SZ,002980,33,电力设备-电网设备-电气自控设备
002222.SZ,002222,33,电子-光学光电子-光学元件
605133.SH,605133,17,汽车-汽车零部件-底盘与发动机系统
000720.SZ,000720,33,电力设备-电网设备-线缆部件及其他
603033.SH,603033,17,基础化工-橡胶制品-其他橡胶制品
003031.SZ,003031,33,通信-通信设备-通信终端及配件
002792.SZ,002792,33,通信-通信设备-通信网络设备及器件
603067.SH,603067,17,基础化工-化学原料-无机盐
600654.SH,600654,17,社会服务-其他社会服务-专业服务
688268.SH,688268,17,电子-电子化学品-电子化学品Ⅲ
603966.SH,603966,17,机械设备-专用设备-能源及重型设备
002678.SZ,002678,33,轻工制造-家居用品-文娱用品
600056.SH,600056,17,医药生物-医药商业-医药流通
600488.SH,600488,17,医药生物-化学制药-化学制剂
600106.SH,600106,17,交通运输-公路铁路运输-高速公路
920981.BJ,920981,151,电子-元件-被动元件
688048.SH,688048,17,电子-半导体-分立器件
688400.SH,688400,17,机械设备-自动化设备-其他自动化设备
301172.SZ,301172,33,计算机-IT服务-IT服务Ⅲ
002428.SZ,002428,33,有色金属-小金属-其他小金属
300681.SZ,300681,33,汽车-汽车零部件-汽车电子电气系统
600487.SH,600487,17,通信-通信设备-通信线缆及配套
300970.SZ,300970,33,农林牧渔-种植业与林业-其他种植业
688796.SH,688796,17,医药生物-医疗服务-医疗研发外包
300808.SZ,300808,33,电子-光学光电子-LED
300293.SZ,300293,33,机械设备-专用设备-其他专用设备
688170.SH,688170,17,机械设备-自动化设备-激光设备
002718.SZ,002718,33,建筑材料-建筑材料-其他建材
000617.SZ,000617,33,非银金融-多元金融-多元金融Ⅲ
688629.SH,688629,17,国防军工-军工电子-军工电子Ⅲ
603122.SH,603122,17,医药生物-医药商业-医药流通
002281.SZ,002281,33,通信-通信设备-通信网络设备及器件
688622.SH,688622,17,机械设备-通用设备-仪器仪表
300834.SZ,300834,33,基础化工-塑料制品-改性塑料
688213.SH,688213,17,电子-半导体-数字芯片设计
000729.SZ,000729,33,食品饮料-饮料制造-啤酒
688807.SH,688807,17,电子-半导体-数字芯片设计
300069.SZ,300069,33,电力设备-电网设备-线缆部件及其他
600071.SH,600071,17,电子-光学光电子-光学元件
300166.SZ,300166,33,计算机-IT服务-IT服务Ⅲ
688001.SH,688001,17,机械设备-专用设备-其他专用设备
688010.SH,688010,17,电子-光学光电子-光学元件
688028.SH,688028,17,机械设备-通用设备-磨具磨料
300790.SZ,300790,33,计算机-计算机设备-安防设备
002869.SZ,002869,33,计算机-计算机设备-其他计算机设备
688314.SH,688314,17,医药生物-医疗器械-医疗耗材
002819.SZ,002819,33,机械设备-通用设备-仪器仪表
301183.SZ,301183,33,电子-光学光电子-光学元件
002947.SZ,002947,33,电子-消费电子-消费电子零部件及组装
603897.SH,603897,17,电力设备-电网设备-线缆部件及其他
688127.SH,688127,17,电子-光学光电子-光学元件
002364.SZ,002364,33,电力设备-其他电源设备-其他电源设备Ⅲ
603220.SH,603220,17,通信-通信服务-通信工程及服务
688069.SH,688069,17,环保-环境治理-水务及水治理
688038.SH,688038,17,计算机-软件开发-垂直应用软件
300996.SZ,300996,33,计算机-软件开发-垂直应用软件
002328.SZ,002328,33,汽车-汽车零部件-其他汽车零部件
300658.SZ,300658,33,美容护理-美容护理-个护用品
601975.SH,601975,17,交通运输-港口航运-航运
601869.SH,601869,17,通信-通信设备-通信线缆及配套
300720.SZ,300720,33,机械设备-通用设备-仪器仪表
603206.SH,603206,17,通信-通信服务-通信工程及服务
000938.SZ,000938,33,计算机-IT服务-IT服务Ⅲ
688003.SH,688003,17,机械设备-自动化设备-其他自动化设备
688518.SH,688518,17,机械设备-自动化设备-激光设备
600330.SH,600330,17,电子-电子化学品-电子化学品Ⅲ
688234.SH,688234,17,电子-半导体-半导体材料
603203.SH,603203,17,机械设备-自动化设备-工控设备
600651.SH,600651,17,汽车-汽车零部件-汽车电子电气系统
605376.SH,605376,17,有色金属-能源金属-镍
688667.SH,688667,17,汽车-汽车零部件-汽车电子电气系统
300706.SZ,300706,33,电子-半导体-半导体材料
920651.BJ,920651,151,机械设备-通用设备-仪器仪表
688106.SH,688106,17,电子-电子化学品-电子化学品Ⅲ
600339.SH,600339,17,石油石化-油气开采及服务-油服工程
300301.SZ,300301,33,电子-光学光电子-LED
301349.SZ,301349,33,电力设备-电池-电池化学品
600299.SH,600299,17,基础化工-化学制品-食品及饲料添加剂
300782.SZ,300782,33,电子-半导体-模拟芯片设计
600340.SH,600340,17,房地产-房地产-产业地产
688582.SH,688582,17,电子-半导体-模拟芯片设计
300843.SZ,300843,33,电子-消费电子-消费电子零部件及组装
301216.SZ,301216,33,基础化工-塑料制品-其他塑料制品
301186.SZ,301186,33,汽车-汽车零部件-其他汽车零部件
000711.SZ,000711,33,环保-环境治理-综合环境治理
301251.SZ,301251,33,电子-元件-印制电路板
002038.SZ,002038,33,医药生物-化学制药-化学制剂
002898.SZ,002898,33,医药生物-化学制药-化学制剂
301338.SZ,301338,33,机械设备-专用设备-其他专用设备
000669.SZ,000669,33,公用事业-燃气-燃气Ⅲ
002957.SZ,002957,33,机械设备-自动化设备-工控设备
688498.SH,688498,17,电子-半导体-分立器件
688719.SH,688719,17,电力设备-其他电源设备-其他电源设备Ⅲ
688795.SH,688795,17,电子-半导体-数字芯片设计
300816.SZ,300816,33,汽车-汽车零部件-其他汽车零部件
300599.SZ,300599,33,建筑材料-建筑材料-管材
688300.SH,688300,17,基础化工-非金属材料-非金属材料Ⅲ
605286.SH,605286,17,机械设备-专用设备-楼宇设备
688553.SH,688553,17,医药生物-化学制药-化学制剂
688025.SH,688025,17,机械设备-自动化设备-激光设备
601872.SH,601872,17,交通运输-港口航运-航运
603757.SH,603757,17,机械设备-通用设备-其他通用设备
301179.SZ,301179,33,电力设备-电网设备-电气自控设备
300054.SZ,300054,33,电子-电子化学品-电子化学品Ⅲ
002491.SZ,002491,33,通信-通信设备-通信线缆及配套
920179.BJ,920179,151,电子-半导体-半导体材料
300548.SZ,300548,33,通信-通信设备-通信网络设备及器件
600522.SH,600522,17,通信-通信设备-通信线缆及配套
688312.SH,688312,17,机械设备-自动化设备-其他自动化设备
688385.SH,688385,17,电子-半导体-数字芯片设计
600378.SH,600378,17,基础化工-化学制品-氟化工
688011.SH,688011,17,国防军工-军工电子-军工电子Ⅲ
603843.SH,603843,22,建筑装饰-建筑装饰-基础建设
688323.SH,688323,17,基础化工-塑料制品-膜材料
688097.SH,688097,17,机械设备-自动化设备-其他自动化设备
603398.SH,603398,22,电力设备-光伏设备-硅料硅片
002733.SZ,002733,33,电力设备-电池-其他电池
300547.SZ,300547,33,汽车-汽车零部件-底盘与发动机系统
300986.SZ,300986,33,建筑材料-建筑材料-其他建材
688167.SH,688167,17,电子-半导体-分立器件
688419.SH,688419,17,机械设备-专用设备-其他专用设备
920045.BJ,920045,151,通信-通信设备-通信网络设备及器件
301377.SZ,301377,33,机械设备-通用设备-金属制品
300303.SZ,300303,33,电子-光学光电子-LED
300308.SZ,300308,33,通信-通信设备-通信网络设备及器件
301626.SZ,301626,33,电子-消费电子-消费电子零部件及组装
605056.SH,605056,17,机械设备-通用设备-仪器仪表
601208.SH,601208,17,基础化工-塑料制品-膜材料
300882.SZ,300882,33,电力设备-电网设备-电气自控设备
002384.SZ,002384,33,电子-元件-印制电路板
301123.SZ,301123,33,电子-消费电子-消费电子零部件及组装
300603.SZ,300603,33,通信-通信服务-通信工程及服务
300686.SZ,300686,33,电子-消费电子-消费电子零部件及组装
002647.SZ,002647,33,非银金融-多元金融-多元金融Ⅲ
000951.SZ,000951,33,汽车-汽车整车-商用载货车
603297.SH,603297,17,电子-光学光电子-光学元件
688282.SH,688282,17,国防军工-军工装备-航天装备
002001.SZ,002001,33,医药生物-化学制药-原料药
688313.SH,688313,17,通信-通信设备-通信网络设备及器件
002229.SZ,002229,33,轻工制造-包装印刷-印刷
001223.SZ,001223,33,机械设备-自动化设备-其他自动化设备
002873.SZ,002873,33,医药生物-中药-中药Ⅲ
300313.SZ,300313,33,农林牧渔-养殖业-其他养殖
688668.SH,688668,17,通信-通信设备-通信网络设备及器件
002788.SZ,002788,33,医药生物-医药商业-医药流通
300383.SZ,300383,33,通信-通信服务-通信应用增值服务
301095.SZ,301095,33,计算机-软件开发-垂直应用软件
301362.SZ,301362,33,电子-光学光电子-LED
601866.SH,601866,17,交通运输-港口航运-航运
688601.SH,688601,17,电子-半导体-模拟芯片设计
603773.SH,603773,17,电子-光学光电子-面板
920047.BJ,920047,151,医药生物-生物制品-其他生物制品
301630.SZ,301630,33,电子-电子化学品-电子化学品Ⅲ
301053.SZ,301053,33,机械设备-专用设备-纺织服装设备
002553.SZ,002553,33,汽车-汽车零部件-底盘与发动机系统
002008.SZ,002008,33,机械设备-自动化设备-激光设备
300179.SZ,300179,33,机械设备-通用设备-磨具磨料
301201.SZ,301201,33,医药生物-医疗服务-医疗研发外包
688519.SH,688519,17,电子-元件-印制电路板
300394.SZ,300394,33,通信-通信设备-通信网络设备及器件
601778.SH,601778,17,公用事业-电力-新能源发电
002272.SZ,002272,33,机械设备-通用设备-其他通用设备
603186.SH,603186,17,电子-元件-印制电路板
300180.SZ,300180,33,基础化工-塑料制品-其他塑料制品
300677.SZ,300677,33,医药生物-医疗器械-医疗耗材
920225.BJ,920225,151,基础化工-橡胶制品-其他橡胶制品
002635.SZ,002635,33,电子-消费电子-消费电子零部件及组装
688530.SH,688530,17,电子-半导体-半导体材料
688272.SH,688272,17,国防军工-军工电子-军工电子Ⅲ
605319.SH,605319,17,汽车-汽车零部件-其他汽车零部件
301323.SZ,301323,33,有色金属-金属新材料-磁性材料
002135.SZ,002135,33,建筑装饰-建筑装饰-专业工程
002971.SZ,002971,33,基础化工-化学制品-其他化学制品
301398.SZ,301398,33,汽车-汽车零部件-车身附件及饰件
000988.SZ,000988,33,机械设备-自动化设备-激光设备
688337.SH,688337,17,机械设备-通用设备-仪器仪表
002501.SZ,002501,33,有色金属-工业金属-铝
