股票代码,所属同花顺行业,market_code,code
920083.BJ,基础化工-非金属材料-非金属材料Ⅲ,151,920083
920009.BJ,医药生物-医疗器械-体外诊断,151,920009
300166.SZ,计算机-IT服务-IT服务Ⅲ,33,300166
300319.SZ,电子-元件-被动元件,33,300319
688485.SH,环保-环境治理-综合环境治理,17,688485
688478.SH,电子-半导体-半导体设备,17,688478
688598.SH,电力设备-光伏设备-光伏辅材,17,688598
301580.SZ,医药生物-医疗器械-医疗耗材,33,301580
688671.SH,环保-环保设备-环保设备Ⅲ,17,688671
688515.SH,电子-半导体-模拟芯片设计,17,688515
688227.SH,计算机-IT服务-IT服务Ⅲ,17,688227
300943.SZ,机械设备-通用设备-金属制品,33,300943
688333.SH,机械设备-通用设备-其他通用设备,17,688333
301687.SZ,基础化工-塑料制品-膜材料,33,301687
301310.SZ,汽车-汽车零部件-汽车电子电气系统,33,301310
688729.SH,电子-半导体-半导体设备,17,688729
300522.SZ,基础化工-化学制品-涂料油墨,33,300522
300861.SZ,机械设备-通用设备-磨具磨料,33,300861
920206.BJ,基础化工-化学制品-涂料油墨,151,920206
688026.SH,医药生物-医疗器械-医疗耗材,17,688026
300420.SZ,机械设备-通用设备-其他通用设备,33,300420
688131.SH,医药生物-医疗服务-医疗研发外包,17,688131
688300.SH,基础化工-非金属材料-非金属材料Ⅲ,17,688300
688256.SH,电子-半导体-数字芯片设计,17,688256
688535.SH,电子-半导体-半导体材料,17,688535
688400.SH,机械设备-自动化设备-其他自动化设备,17,688400
300285.SZ,电子-电子化学品-电子化学品Ⅲ,33,300285
301630.SZ,电子-电子化学品-电子化学品Ⅲ,33,301630
301669.SZ,电力设备-其他电源设备-其他电源设备Ⅲ,33,301669
920047.BJ,医药生物-生物制品-其他生物制品,151,920047
688105.SH,医药生物-生物制品-其他生物制品,17,688105
300435.SZ,机械设备-专用设备-能源及重型设备,33,300435
300730.SZ,计算机-软件开发-垂直应用软件,33,300730
688172.SH,电子-半导体-分立器件,17,688172
