所属同花顺行业,market_code,股票代码,code
电子-光学光电子-面板,151,920001.BJ,920001
电子-光学光电子-面板,17,688055.SH,688055
电力设备-电网设备-线缆部件及其他,33,300069.SZ,300069
机械设备-通用设备-仪器仪表,33,300203.SZ,300203
机械设备-通用设备-其他通用设备,33,300503.SZ,300503
通信-通信服务-通信工程及服务,33,301139.SZ,301139
电力设备-电机-电机Ⅲ,151,920100.BJ,920100
建筑装饰-建筑装饰-专业工程,151,920099.BJ,920099
电子-光学光电子-LED,33,300162.SZ,300162
机械设备-自动化设备-其他自动化设备,33,301200.SZ,301200
医药生物-化学制药-化学制剂,17,688192.SH,688192
汽车-汽车零部件-汽车电子电气系统,33,301488.SZ,301488
环保-环境治理-综合环境治理,33,300948.SZ,300948
汽车-汽车整车-商用载客车,17,600303.SH,600303
电子-光学光电子-面板,33,000725.SZ,000725
医药生物-医疗器械-医疗设备,17,688271.SH,688271
交通运输-公路铁路运输-公交,17,600611.SH,600611
计算机-IT服务-IT服务Ⅲ,17,600936.SH,600936
汽车-汽车零部件-汽车电子电气系统,33,002766.SZ,002766
钢铁-钢铁-冶钢原料,17,600382.SH,600382
纺织服饰-纺织制造-其他纺织,17,600156.SH,600156
电子-半导体-分立器件,17,600360.SH,600360
医药生物-生物制品-其他生物制品,17,603590.SH,603590
公用事业-电力-火电,33,001896.SZ,001896
电子-半导体-数字芯片设计,17,603316.SH,603316
轻工制造-家居用品-成品家居,17,603661.SH,603661
机械设备-专用设备-能源及重型设备,33,001225.SZ,001225
医药生物-医疗服务-医疗研发外包,17,603127.SH,603127
电子-光学光电子-面板,33,002952.SZ,002952
机械设备-通用设备-金属制品,33,002931.SZ,002931
汽车-汽车零部件-汽车电子电气系统,33,002920.SZ,002920
计算机-软件开发-垂直应用软件,33,003007.SZ,003007
医药生物-生物制品-血液制品,33,000403.SZ,000403
电子-光学光电子-面板,33,000536.SZ,000536
食品饮料-饮料制造-其他酒类,17,603779.SH,603779
电子-消费电子-品牌消费电子,33,002888.SZ,002888
基础化工-橡胶制品-炭黑,33,002442.SZ,002442
医药生物-化学制药-化学制剂,33,002940.SZ,002940
汽车-汽车零部件-底盘与发动机系统,33,002703.SZ,002703
计算机-计算机设备-安防设备,33,003004.SZ,003004
社会服务-其他社会服务-专业服务,17,603373.SH,603373
电子-光学光电子-光学元件,33,002036.SZ,002036
汽车-汽车零部件-底盘与发动机系统,17,603767.SH,603767
医药生物-生物制品-其他生物制品,33,000518.SZ,000518
机械设备-自动化设备-机器人,33,002747.SZ,002747
公用事业-电力-火电,17,600578.SH,600578
电子-光学光电子-面板,17,600707.SH,600707
建筑材料-建筑材料-玻璃玻纤,33,000012.SZ,000012
电子-光学光电子-LED,33,300323.SZ,300323
电子-光学光电子-面板,33,300939.SZ,300939
电子-光学光电子-光学元件,17,688079.SH,688079
家用电器-小家电-小家电Ⅲ,33,001259.SZ,001259
家用电器-白色家电-家电零部件,17,603311.SH,603311
汽车-汽车零部件-底盘与发动机系统,17,603009.SH,603009
机械设备-专用设备-其他专用设备,17,688001.SH,688001
汽车-汽车零部件-底盘与发动机系统,17,603319.SH,603319
机械设备-自动化设备-工控设备,17,605288.SH,605288
家用电器-白色家电-家电零部件,33,000404.SZ,000404
房地产-房地产-住宅开发,17,600246.SH,600246
电子-电子化学品-电子化学品Ⅲ,17,603115.SH,603115
电子-半导体-分立器件,33,300831.SZ,300831
计算机-软件开发-横向通用软件,17,688031.SH,688031
电子-光学光电子-光学元件,151,920438.BJ,920438
汽车-汽车零部件-底盘与发动机系统,17,603596.SH,603596
