股票代码,所属同花顺行业,market_code,code
920305.BJ,计算机-IT服务-IT服务Ⅲ,151,920305
300344.SZ,计算机-软件开发-垂直应用软件,33,300344
301119.SZ,汽车-汽车零部件-底盘与发动机系统,33,301119
301362.SZ,电子-光学光电子-LED,33,301362
300393.SZ,电力设备-光伏设备-光伏电池组件,33,300393
688223.SH,电力设备-光伏设备-光伏电池组件,17,688223
688429.SH,电力设备-光伏设备-光伏电池组件,17,688429
300912.SZ,汽车-汽车零部件-其他汽车零部件,33,300912
301636.SZ,电力设备-光伏设备-光伏电池组件,33,301636
300985.SZ,机械设备-通用设备-金属制品,33,300985
300423.SZ,电力设备-电网设备-输变电设备,33,300423
920985.BJ,电力设备-光伏设备-光伏电池组件,151,920985
920414.BJ,电力设备-光伏设备-光伏加工设备,151,920414
300316.SZ,电力设备-光伏设备-光伏加工设备,33,300316
300157.SZ,机械设备-通用设备-其他通用设备,33,300157
300277.SZ,计算机-IT服务-IT服务Ⅲ,33,300277
301321.SZ,电子-光学光电子-面板,33,301321
300943.SZ,机械设备-通用设备-金属制品,33,300943
688339.SH,电力设备-电池-其他电池,17,688339
300471.SZ,机械设备-专用设备-其他专用设备,33,300471
000517.SZ,房地产-房地产-住宅开发,33,000517
688338.SH,医药生物-医疗器械-体外诊断,17,688338
600683.SH,房地产-房地产-住宅开发,17,600683
600759.SH,石油石化-油气开采及服务-油气开采,17,600759
600971.SH,煤炭-煤炭开采加工-煤炭开采,17,600971
600997.SH,煤炭-煤炭开采加工-煤炭开采,17,600997
000560.SZ,房地产-房地产-房地产服务,33,000560
002334.SZ,机械设备-自动化设备-工控设备,33,002334
002355.SZ,汽车-汽车零部件-轮胎轮毂,33,002355
002286.SZ,农林牧渔-农产品加工-其他农产品加工,33,002286
002441.SZ,电力设备-电网设备-输变电设备,33,002441
000039.SZ,机械设备-通用设备-金属制品,33,000039
601226.SH,建筑装饰-建筑装饰-专业工程,17,601226
002928.SZ,交通运输-机场航运-航空运输,33,002928
002853.SZ,轻工制造-家居用品-定制家居,33,002853
002791.SZ,建筑材料-建筑材料-其他建材,33,002791
002810.SZ,基础化工-化学制品-其他化学制品,33,002810
002278.SZ,机械设备-专用设备-能源及重型设备,33,002278
000983.SZ,煤炭-煤炭开采加工-煤炭开采,33,000983
600403.SH,煤炭-煤炭开采加工-煤炭开采,17,600403
600188.SH,煤炭-煤炭开采加工-煤炭开采,17,600188
603826.SH,基础化工-非金属材料-非金属材料Ⅲ,17,603826
002623.SZ,电力设备-光伏设备-光伏辅材,33,002623
002300.SZ,电力设备-电网设备-线缆部件及其他,33,002300
000070.SZ,通信-通信设备-通信线缆及配套,33,000070
002970.SZ,计算机-计算机设备-其他计算机设备,33,002970
300706.SZ,电子-半导体-半导体材料,33,300706
002126.SZ,汽车-汽车零部件-底盘与发动机系统,33,002126
601699.SH,煤炭-煤炭开采加工-煤炭开采,17,601699
600814.SH,商贸零售-零售-百货零售,17,600814
600330.SH,电子-电子化学品-电子化学品Ⅲ,17,600330
001223.SZ,机械设备-自动化设备-其他自动化设备,33,001223
603381.SH,电力设备-光伏设备-光伏辅材,17,603381
601015.SH,煤炭-煤炭开采加工-焦炭加工,17,601015
600481.SH,电力设备-光伏设备-硅料硅片,17,600481
601898.SH,煤炭-煤炭开采加工-煤炭开采,17,601898
002218.SZ,公用事业-电力-新能源发电,33,002218
000723.SZ,煤炭-煤炭开采加工-焦炭加工,33,000723
605376.SH,有色金属-能源金属-镍,17,605376
603334.SH,基础化工-化学制品-其他化学制品,17,603334
002342.SZ,机械设备-通用设备-金属制品,33,002342
603778.SH,电力设备-光伏设备-光伏电池组件,17,603778
600546.SH,煤炭-煤炭开采加工-煤炭开采,17,600546
002129.SZ,电力设备-光伏设备-硅料硅片,33,002129
601001.SH,煤炭-煤炭开采加工-煤炭开采,17,601001
002830.SZ,建筑装饰-建筑装饰-装饰园林,33,002830
600072.SH,电力设备-风电设备-风电整机,17,600072
600115.SH,交通运输-机场航运-航空运输,17,600115
003038.SZ,有色金属-工业金属-铝,33,003038
603618.SH,电力设备-电网设备-线缆部件及其他,17,603618
601011.SH,煤炭-煤炭开采加工-焦炭加工,17,601011
600860.SH,机械设备-通用设备-金属制品,17,600860
000533.SZ,电力设备-电网设备-输变电设备,33,000533
600740.SH,煤炭-煤炭开采加工-焦炭加工,17,600740
600792.SH,煤炭-煤炭开采加工-焦炭加工,17,600792
603616.SH,建筑材料-建筑材料-水泥,17,603616
600325.SH,房地产-房地产-住宅开发,17,600325
601096.SH,电力设备-电网设备-线缆部件及其他,17,601096
600778.SH,商贸零售-零售-百货零售,17,600778
000838.SZ,房地产-房地产-住宅开发,33,000838
002506.SZ,电力设备-光伏设备-光伏电池组件,33,002506
300719.SZ,国防军工-军工装备-航空装备,33,300719
300080.SZ,电力设备-光伏设备-光伏辅材,33,300080
300191.SZ,石油石化-油气开采及服务-油气开采,33,300191
300540.SZ,机械设备-专用设备-其他专用设备,33,300540
688599.SH,电力设备-光伏设备-光伏电池组件,17,688599
601225.SH,煤炭-煤炭开采加工-煤炭开采,17,601225
920978.BJ,汽车-汽车零部件-汽车电子电气系统,151,920978
600985.SH,煤炭-煤炭开采加工-煤炭开采,17,600985
300737.SZ,建筑材料-建筑材料-其他建材,33,300737
300683.SZ,医药生物-医疗服务-医疗研发外包,33,300683
300432.SZ,汽车-汽车零部件-底盘与发动机系统,33,300432
300861.SZ,机械设备-通用设备-磨具磨料,33,300861
920014.BJ,机械设备-专用设备-其他专用设备,151,920014
600586.SH,基础化工-化学原料-纯碱,17,600586
688350.SH,基础化工-化学制品-其他化学制品,17,688350
603429.SH,轻工制造-包装印刷-包装,17,603429
002931.SZ,机械设备-通用设备-金属制品,33,002931
688680.SH,电力设备-光伏设备-光伏辅材,17,688680
002273.SZ,电子-光学光电子-光学元件,33,002273
000042.SZ,房地产-房地产-住宅开发,33,000042
688229.SH,计算机-IT服务-IT服务Ⅲ,17,688229
300582.SZ,电子-光学光电子-LED,33,300582
300257.SZ,机械设备-通用设备-其他通用设备,33,300257
002880.SZ,医药生物-生物制品-血液制品,33,002880
600121.SH,煤炭-煤炭开采加工-煤炭开采,17,600121
603619.SH,石油石化-油气开采及服务-油气开采,17,603619
601101.SH,煤炭-煤炭开采加工-煤炭开采,17,601101
603031.SH,电力设备-电池-其他电池,17,603031
600983.SH,家用电器-白色家电-冰洗,17,600983
601155.SH,房地产-房地产-商业地产,17,601155
600791.SH,房地产-房地产-住宅开发,17,600791
300436.SZ,医药生物-化学制药-化学制剂,33,300436
002448.SZ,汽车-汽车零部件-底盘与发动机系统,33,002448
601918.SH,煤炭-煤炭开采加工-煤炭开采,17,601918
603922.SH,汽车-汽车零部件-其他汽车零部件,17,603922
600508.SH,煤炭-煤炭开采加工-煤炭开采,17,600508
301036.SZ,基础化工-化学制品-涂料油墨,33,301036
002426.SZ,电子-消费电子-消费电子零部件及组装,33,002426
300972.SZ,商贸零售-零售-专业连锁,33,300972
601666.SH,煤炭-煤炭开采加工-煤炭开采,17,601666
001979.SZ,房地产-房地产-商业地产,33,001979
