所属同花顺行业,market_code,股票代码,code
汽车-汽车零部件-底盘与发动机系统,151,920136.BJ,920136
电力设备-电机-电机Ⅲ,33,300626.SZ,300626
电子-半导体-半导体材料,17,688720.SH,688720
计算机-软件开发-垂直应用软件,33,300469.SZ,300469
机械设备-通用设备-仪器仪表,17,688610.SH,688610
机械设备-通用设备-其他通用设备,17,688333.SH,688333
汽车-汽车零部件-汽车电子电气系统,33,301607.SZ,301607
电子-半导体-半导体材料,17,688432.SH,688432
机械设备-专用设备-其他专用设备,17,688328.SH,688328
电子-电子化学品-电子化学品Ⅲ,17,688371.SH,688371
电子-半导体-半导体材料,17,688584.SH,688584
电子-光学光电子-面板,33,301379.SZ,301379
电子-电子化学品-电子化学品Ⅲ,33,300236.SZ,300236
计算机-IT服务-IT服务Ⅲ,17,688207.SH,688207
电子-半导体-半导体设备,33,300604.SZ,300604
电子-半导体-集成电路封测,17,688362.SH,688362
电子-半导体-数字芯片设计,17,688802.SH,688802
电子-半导体-半导体设备,17,688120.SH,688120
计算机-IT服务-IT服务Ⅲ,33,301172.SZ,301172
电子-半导体-集成电路封测,17,688352.SH,688352
电子-半导体-数字芯片设计,17,688008.SH,688008
机械设备-通用设备-仪器仪表,33,301303.SZ,301303
电子-其他电子-其他电子Ⅲ,17,688103.SH,688103
基础化工-化学制品-有机硅,33,300821.SZ,300821
国防军工-军工装备-地面兵装,33,300922.SZ,300922
电子-半导体-半导体材料,17,688126.SH,688126
电子-半导体-集成电路封测,17,688403.SH,688403
机械设备-自动化设备-激光设备,17,688025.SH,688025
电子-半导体-半导体材料,17,688535.SH,688535
有色金属-金属新材料-磁性材料,33,301323.SZ,301323
电子-半导体-分立器件,17,688048.SH,688048
通信-通信设备-通信网络设备及器件,17,688387.SH,688387
建筑装饰-建筑装饰-装饰园林,33,300506.SZ,300506
电子-半导体-数字芯片设计,17,688795.SH,688795
计算机-计算机设备-安防设备,33,300270.SZ,300270
电子-半导体-集成电路制造,17,688981.SH,688981
电力设备-电网设备-输变电设备,33,301295.SZ,301295
电力设备-电池-电池化学品,17,688733.SH,688733
环保-环境治理-水务及水治理,17,688057.SH,688057
传媒-文化传媒-广告营销,33,300071.SZ,300071
电子-半导体-数字芯片设计,17,688123.SH,688123
通信-通信设备-通信网络设备及器件,33,301307.SZ,301307
基础化工-化学制品-纺织化学用品,33,301618.SZ,301618
石油石化-油气开采及服务-油服工程,33,300164.SZ,300164
电子-半导体-半导体材料,17,688233.SH,688233
电子-光学光电子-光学元件,17,688502.SH,688502
计算机-计算机设备-其他计算机设备,33,300845.SZ,300845
通信-通信设备-通信网络设备及器件,33,301486.SZ,301486
电子-半导体-半导体材料,17,688797.SH,688797
计算机-软件开发-垂直应用软件,17,688206.SH,688206
电子-半导体-集成电路封测,17,688820.SH,688820
石油石化-油气开采及服务-油服工程,151,920088.BJ,920088
计算机-IT服务-IT服务Ⅲ,17,688258.SH,688258
电子-半导体-集成电路制造,17,688347.SH,688347
公用事业-燃气-燃气Ⅲ,33,300332.SZ,300332
电子-半导体-半导体设备,17,688012.SH,688012
电子-半导体-集成电路制造,17,688249.SH,688249
国防军工-军工电子-军工电子Ⅲ,17,688375.SH,688375
基础化工-化学制品-其他化学制品,17,688179.SH,688179
电子-半导体-半导体材料,17,688727.SH,688727
电子-半导体-半导体设备,17,688147.SH,688147
轻工制造-包装印刷-包装,151,920163.BJ,920163
电子-消费电子-消费电子零部件及组装,33,301285.SZ,301285
电子-消费电子-消费电子零部件及组装,33,300136.SZ,300136
电子-半导体-分立器件,17,688172.SH,688172
计算机-IT服务-IT服务Ⅲ,33,301396.SZ,301396
电子-半导体-数字芯片设计,17,688262.SH,688262
传媒-文化传媒-出版,33,300654.SZ,300654
机械设备-通用设备-其他通用设备,33,301317.SZ,301317
电力设备-电池-锂电池,33,300068.SZ,300068
通信-通信服务-通信工程及服务,33,300560.SZ,300560
电子-光学光电子-面板,17,688181.SH,688181
计算机-软件开发-横向通用软件,37,000004.SZ,000004
通信-通信设备-通信网络设备及器件,33,300394.SZ,300394
电子-其他电子-其他电子Ⅲ,33,301099.SZ,301099
电子-半导体-数字芯片设计,33,301666.SZ,301666
电子-半导体-半导体材料,17,688401.SH,688401
电子-其他电子-其他电子Ⅲ,33,300656.SZ,300656
机械设备-专用设备-其他专用设备,17,688531.SH,688531
电子-半导体-分立器件,17,688167.SH,688167
机械设备-自动化设备-激光设备,33,301021.SZ,301021
机械设备-专用设备-其他专用设备,17,688627.SH,688627
电子-元件-印制电路板,33,300814.SZ,300814
轻工制造-包装印刷-包装,33,300260.SZ,300260
电子-半导体-集成电路封测,33,301348.SZ,301348
传媒-影视院线-影视院线Ⅲ,33,000892.SZ,000892
轻工制造-造纸-造纸Ⅲ,33,002067.SZ,002067
家用电器-厨卫电器-厨卫电器Ⅲ,33,002677.SZ,002677
机械设备-专用设备-能源及重型设备,33,002490.SZ,002490
医药生物-中药-中药Ⅲ,33,002907.SZ,002907
电子-光学光电子-LED,33,002745.SZ,002745
基础化工-橡胶制品-其他橡胶制品,33,300121.SZ,300121
基础化工-塑料制品-合成树脂,17,603928.SH,603928
非银金融-证券-证券Ⅲ,17,600909.SH,600909
机械设备-专用设备-其他专用设备,33,001395.SZ,001395
家用电器-白色家电-家电零部件,17,603726.SH,603726
电子-半导体-半导体材料,33,301611.SZ,301611
机械设备-自动化设备-机器人,17,603666.SH,603666
电子-半导体-集成电路封测,33,002185.SZ,002185
商贸零售-零售-百货零售,33,000417.SZ,000417
房地产-房地产-住宅开发,33,002208.SZ,002208
电子-其他电子-其他电子Ⅲ,17,600353.SH,600353
建筑装饰-建筑装饰-工程咨询服务,17,600667.SH,600667
电子-光学光电子-面板,33,002845.SZ,002845
基础化工-非金属材料-非金属材料Ⅲ,17,603688.SH,603688
医药生物-化学制药-化学制剂,33,003020.SZ,003020
电子-元件-印制电路板,33,002815.SZ,002815
电力设备-其他电源设备-其他电源设备Ⅲ,33,002364.SZ,002364
汽车-汽车零部件-其他汽车零部件,33,000887.SZ,000887
电子-半导体-半导体材料,17,605358.SH,605358
电子-元件-印制电路板,33,002552.SZ,002552
电子-半导体-集成电路封测,17,603005.SH,603005
机械设备-自动化设备-工控设备,17,603933.SH,603933
食品饮料-饮料制造-软饮料,17,603156.SH,603156
计算机-计算机设备-其他计算机设备,33,000977.SZ,000977
电子-半导体-半导体材料,17,600206.SH,600206
电子-消费电子-品牌消费电子,33,002841.SZ,002841
电子-半导体-半导体材料,17,603991.SH,603991
电子-元件-印制电路板,33,002384.SZ,002384
电力设备-其他电源设备-其他电源设备Ⅲ,33,002851.SZ,002851
电子-半导体-数字芯片设计,17,603986.SH,603986
国防军工-军工电子-军工电子Ⅲ,33,002414.SZ,002414
轻工制造-包装印刷-包装,33,003018.SZ,003018
医药生物-医疗器械-医疗耗材,17,603222.SH,603222
电子-半导体-半导体材料,33,002409.SZ,002409
传媒-文化传媒-数字媒体,17,600228.SH,600228
机械设备-通用设备-制冷空调设备,33,000811.SZ,000811
机械设备-通用设备-金属制品,17,600992.SH,600992
电子-半导体-半导体设备,17,603061.SH,603061
通信-通信设备-通信网络设备及器件,33,002281.SZ,002281
电子-元件-印制电路板,33,002916.SZ,002916
电子-半导体-集成电路封测,17,600584.SH,600584
机械设备-通用设备-其他通用设备,17,603757.SH,603757
电子-半导体-集成电路封测,33,002156.SZ,002156
机械设备-自动化设备-工控设备,33,002975.SZ,002975
电子-元件-印制电路板,33,002436.SZ,002436
交通运输-物流-物流Ⅲ,17,603813.SH,603813
建筑装饰-建筑装饰-装饰园林,17,603137.SH,603137
电子-消费电子-消费电子零部件及组装,33,000021.SZ,000021
建筑材料-建筑材料-水泥,33,000672.SZ,000672
电子-元件-印制电路板,33,002579.SZ,002579
国防军工-军工装备-航天装备,33,002829.SZ,002829
汽车-汽车整车-商用载货车,17,600418.SH,600418
汽车-汽车零部件-其他汽车零部件,17,605319.SH,605319
轻工制造-家居用品-定制家居,17,603898.SH,603898
电力设备-电网设备-输变电设备,33,002346.SZ,002346
基础化工-塑料制品-膜材料,33,002632.SZ,002632
交通运输-物流-物流Ⅲ,17,603329.SH,603329
综合-综合-综合Ⅲ,17,600770.SH,600770
电子-元件-印制电路板,17,688519.SH,688519
电子-光学光电子-光学元件,17,688307.SH,688307
基础化工-化学原料-煤化工,33,002274.SZ,002274
电子-半导体-半导体设备,17,688785.SH,688785
电子-电子化学品-电子化学品Ⅲ,17,688146.SH,688146
电子-半导体-数字芯片设计,17,688766.SH,688766
电子-其他电子-其他电子Ⅲ,33,300475.SZ,300475
电力设备-其他电源设备-其他电源设备Ⅲ,33,300870.SZ,300870
电子-半导体-半导体设备,17,688809.SH,688809
电子-半导体-数字芯片设计,17,688449.SH,688449
机械设备-自动化设备-其他自动化设备,33,300757.SZ,300757
电力设备-光伏设备-光伏辅材,33,300842.SZ,300842
电子-半导体-集成电路封测,17,688216.SH,688216
电子-半导体-数字芯片设计,33,300223.SZ,300223
电子-其他电子-其他电子Ⅲ,33,300736.SZ,300736
计算机-IT服务-IT服务Ⅲ,33,301316.SZ,301316
电子-半导体-半导体设备,33,002371.SZ,002371
电子-半导体-半导体设备,17,688361.SH,688361
建筑材料-建筑材料-玻璃玻纤,17,605006.SH,605006
机械设备-专用设备-其他专用设备,17,688630.SH,688630
机械设备-专用设备-其他专用设备,17,600520.SH,600520
通信-通信设备-通信网络设备及器件,33,000063.SZ,000063
电子-消费电子-消费电子零部件及组装,33,300868.SZ,300868
机械设备-通用设备-金属制品,33,300780.SZ,300780
电力设备-电网设备-电气自控设备,17,688450.SH,688450
计算机-IT服务-IT服务Ⅲ,17,688787.SH,688787
电子-半导体-集成电路制造,17,688469.SH,688469
电子-元件-印制电路板,17,603228.SH,603228
电力设备-光伏设备-光伏加工设备,33,300751.SZ,300751
电子-半导体-半导体材料,33,300666.SZ,300666
机械设备-专用设备-纺织服装设备,33,301053.SZ,301053
国防军工-军工电子-军工电子Ⅲ,33,300123.SZ,300123
机械设备-专用设备-其他专用设备,33,301392.SZ,301392
建筑材料-建筑材料-其他建材,33,300715.SZ,300715
医药生物-医疗服务-医疗研发外包,17,688222.SH,688222
机械设备-通用设备-仪器仪表,33,300553.SZ,300553
电子-半导体-集成电路制造,17,688396.SH,688396
电子-消费电子-消费电子零部件及组装,33,300951.SZ,300951
机械设备-自动化设备-其他自动化设备,33,301568.SZ,301568
通信-通信设备-通信网络设备及器件,17,688313.SH,688313
电子-半导体-半导体设备,17,688200.SH,688200
家用电器-白色家电-家电零部件,33,002290.SZ,002290
电力设备-电网设备-电气自控设备,17,688663.SH,688663
电子-半导体-半导体设备,151,920186.BJ,920186
机械设备-通用设备-仪器仪表,17,688056.SH,688056
电子-电子化学品-电子化学品Ⅲ,17,688019.SH,688019
电子-电子化学品-电子化学品Ⅲ,17,688548.SH,688548
环保-环境治理-综合环境治理,17,688178.SH,688178
国防军工-军工电子-军工电子Ⅲ,33,301571.SZ,301571
电子-半导体-数字芯片设计,33,300672.SZ,300672
机械设备-通用设备-仪器仪表,22,688622.SH,688622
电子-电子化学品-电子化学品Ⅲ,33,301319.SZ,301319
电子-半导体-数字芯片设计,17,688256.SH,688256
机械设备-自动化设备-工控设备,17,688777.SH,688777
电子-半导体-模拟芯片设计,17,688220.SH,688220
电子-元件-印制电路板,17,603459.SH,603459
电子-消费电子-消费电子零部件及组装,33,300679.SZ,300679
电子-光学光电子-面板,33,001399.SZ,001399
国防军工-军工电子-军工电子Ⅲ,33,001270.SZ,001270
电子-半导体-半导体材料,17,688530.SH,688530
电子-半导体-半导体材料,17,688783.SH,688783
