market_code,所属同花顺行业,股票代码,code
33,计算机-IT服务-IT服务Ⅲ,002908.SZ,002908
33,基础化工-农化制品-农药,002734.SZ,002734
33,电子-光学光电子-光学元件,002036.SZ,002036
17,基础化工-塑料制品-膜材料,601208.SH,601208
17,基础化工-非金属材料-非金属材料Ⅲ,603826.SH,603826
33,轻工制造-包装印刷-包装,003018.SZ,003018
17,电子-半导体-半导体设备,688147.SH,688147
33,电子-元件-印制电路板,002552.SZ,002552
33,电力设备-电网设备-输变电设备,002346.SZ,002346
17,基础化工-化学制品-其他化学制品,603004.SH,603004
33,通信-通信设备-通信网络设备及器件,001267.SZ,001267
17,基础化工-非金属材料-非金属材料Ⅲ,603663.SH,603663
33,机械设备-自动化设备-工控设备,002957.SZ,002957
33,纺织服饰-纺织制造-辅料,002674.SZ,002674
33,建筑材料-建筑材料-玻璃玻纤,002080.SZ,002080
33,建筑装饰-建筑装饰-装饰园林,002963.SZ,002963
33,电子-元件-印制电路板,002636.SZ,002636
33,机械设备-通用设备-制冷空调设备,000811.SZ,000811
17,电子-电子化学品-电子化学品Ⅲ,603256.SH,603256
33,通信-通信设备-通信网络设备及器件,002396.SZ,002396
17,电子-元件-印制电路板,603186.SH,603186
17,国防军工-军工装备-航海装备,603268.SH,603268
33,基础化工-化学制品-其他化学制品,002971.SZ,002971
17,电子-半导体-半导体材料,600206.SH,600206
17,电力设备-电网设备-输变电设备,603045.SH,603045
33,有色金属-小金属-其他小金属,002428.SZ,002428
17,机械设备-通用设备-磨具磨料,600172.SH,600172
17,机械设备-通用设备-其他通用设备,603201.SH,603201
17,基础化工-化学原料-无机盐,600367.SH,600367
33,公用事业-电力-热力,001210.SZ,001210
33,汽车-汽车零部件-底盘与发动机系统,002703.SZ,002703
33,国防军工-军工电子-军工电子Ⅲ,002214.SZ,002214
33,有色金属-工业金属-铅锌,000603.SZ,000603
33,电子-光学光电子-LED,002992.SZ,002992
33,电子-元件-印制电路板,002579.SZ,002579
17,电子-消费电子-消费电子零部件及组装,601231.SH,601231
33,商贸零售-零售-商业物业经营,000056.SZ,000056
17,建筑装饰-建筑装饰-装饰园林,605178.SH,605178
33,通信-通信设备-通信线缆及配套,002491.SZ,002491
17,通信-通信设备-通信线缆及配套,601869.SH,601869
17,计算机-IT服务-IT服务Ⅲ,603629.SH,603629
17,有色金属-能源金属-镍,605376.SH,605376
17,电子-半导体-半导体设备,603061.SH,603061
17,基础化工-化学制品-涂料油墨,603823.SH,603823
33,有色金属-小金属-钨,000657.SZ,000657
33,计算机-计算机设备-其他计算机设备,002990.SZ,002990
33,机械设备-专用设备-能源及重型设备,001225.SZ,001225
33,机械设备-自动化设备-工控设备,002975.SZ,002975
33,电力设备-电网设备-电气自控设备,002980.SZ,002980
17,电子-光学光电子-光学元件,603297.SH,603297
33,电子-光学光电子-光学元件,002222.SZ,002222
33,电子-消费电子-消费电子零部件及组装,002655.SZ,002655
17,有色金属-工业金属-铜,603979.SH,603979
