所属同花顺行业,market_code,股票代码,code
电子-半导体-半导体设备,33,301717.SZ,301717
机械设备-通用设备-仪器仪表,17,688828.SH,688828
美容护理-美容护理-化妆品,151,920165.BJ,920165
汽车-汽车零部件-车身附件及饰件,33,301529.SZ,301529
汽车-汽车零部件-底盘与发动机系统,33,301550.SZ,301550
传媒-影视院线-影视院线Ⅲ,33,300426.SZ,300426
医药生物-医疗服务-医疗研发外包,33,301520.SZ,301520
环保-环保设备-环保设备Ⅲ,33,300862.SZ,300862
基础化工-化学制品-涂料油墨,33,301209.SZ,301209
医药生物-中药-中药Ⅲ,33,300158.SZ,300158
机械设备-通用设备-金属制品,151,920510.BJ,920510
电子-元件-被动元件,33,301566.SZ,301566
电力设备-其他电源设备-其他电源设备Ⅲ,33,300693.SZ,300693
机械设备-通用设备-其他通用设备,33,301596.SZ,301596
机械设备-自动化设备-其他自动化设备,33,300461.SZ,300461
家用电器-白色家电-家电零部件,33,301008.SZ,301008
汽车-汽车零部件-底盘与发动机系统,33,301119.SZ,301119
机械设备-通用设备-机床工具,33,300161.SZ,300161
基础化工-化学制品-食品及饲料添加剂,33,300886.SZ,300886
机械设备-通用设备-仪器仪表,151,920651.BJ,920651
纺织服饰-服装家纺-饰品,33,002721.SZ,002721
交通运输-公路铁路运输-公交,17,600611.SH,600611
食品饮料-饮料制造-乳品,33,002329.SZ,002329
机械设备-通用设备-机床工具,33,002248.SZ,002248
基础化工-塑料制品-膜材料,33,002585.SZ,002585
纺织服饰-服装家纺-服装,33,002762.SZ,002762
汽车-汽车零部件-底盘与发动机系统,33,002715.SZ,002715
计算机-IT服务-IT服务Ⅲ,33,002229.SZ,002229
建筑装饰-建筑装饰-工程咨询服务,33,000779.SZ,000779
轻工制造-造纸-造纸Ⅲ,33,002235.SZ,002235
建筑装饰-建筑装饰-装饰园林,33,002963.SZ,002963
环保-环境治理-水务及水治理,17,603797.SH,603797
通信-通信服务-通信应用增值服务,17,603887.SH,603887
医药生物-医药商业-医药流通,17,600272.SH,600272
建筑装饰-建筑装饰-工程咨询服务,17,600667.SH,600667
公用事业-电力-新能源发电,33,001258.SZ,001258
计算机-计算机设备-其他计算机设备,17,603106.SH,603106
医药生物-医疗服务-医疗研发外包,17,600721.SH,600721
汽车-汽车零部件-汽车电子电气系统,17,603179.SH,603179
建筑装饰-建筑装饰-装饰园林,17,603137.SH,603137
电力设备-电网设备-线缆部件及其他,17,603897.SH,603897
基础化工-化学制品-涂料油墨,17,603823.SH,603823
综合-综合-综合Ⅲ,17,600881.SH,600881
商贸零售-零售-商业物业经营,17,600162.SH,600162
通信-通信设备-通信网络设备及器件,33,002194.SZ,002194
汽车-汽车零部件-底盘与发动机系统,17,603009.SH,603009
钢铁-钢铁-普钢,17,600126.SH,600126
轻工制造-造纸-造纸Ⅲ,17,603284.SH,603284
传媒-影视院线-影视院线Ⅲ,33,000802.SZ,000802
医药生物-生物制品-其他生物制品,17,603087.SH,603087
机械设备-专用设备-楼宇设备,17,605286.SH,605286
电子-其他电子-其他电子Ⅲ,33,002859.SZ,002859
机械设备-自动化设备-工控设备,17,605288.SH,605288
汽车-汽车零部件-其他汽车零部件,17,603655.SH,603655
食品饮料-饮料制造-乳品,17,605179.SH,605179
电子-半导体-数字芯片设计,17,688449.SH,688449
医药生物-医药商业-药店,17,600833.SH,600833
房地产-房地产-住宅开发,17,600683.SH,600683
基础化工-化学制品-民爆用品,33,002246.SZ,002246
机械设备-专用设备-其他专用设备,33,002031.SZ,002031
公用事业-电力-火电,17,600863.SH,600863
汽车-汽车零部件-底盘与发动机系统,17,603758.SH,603758
医药生物-化学制药-化学制剂,17,600664.SH,600664
公用事业-电力-新能源发电,33,002256.SZ,002256
计算机-软件开发-横向通用软件,33,002212.SZ,002212
医药生物-医药商业-药店,17,603883.SH,603883
基础化工-塑料制品-膜材料,33,000859.SZ,000859
国防军工-军工电子-军工电子Ⅲ,17,603488.SH,603488
机械设备-工程机械-工程机械Ⅲ,33,002685.SZ,002685
机械设备-专用设备-能源及重型设备,17,603012.SH,603012
纺织服饰-服装家纺-服装,33,002687.SZ,002687
纺织服饰-服装家纺-服装,22,600107.SH,600107
基础化工-化学制品-纺织化学用品,17,603188.SH,603188
建筑装饰-建筑装饰-装饰园林,33,002047.SZ,002047
医药生物-医疗服务-医疗研发外包,33,301201.SZ,301201
石油石化-油气开采及服务-油气开采,22,600759.SH,600759
传媒-影视院线-影视院线Ⅲ,17,600715.SH,600715
机械设备-专用设备-能源及重型设备,33,300092.SZ,300092
机械设备-自动化设备-机器人,17,688017.SH,688017
石油石化-油气开采及服务-油服工程,33,300164.SZ,300164
轻工制造-造纸-造纸Ⅲ,17,603863.SH,603863
石油石化-油气开采及服务-油服工程,151,920088.BJ,920088
医药生物-医疗服务-医疗研发外包,33,301230.SZ,301230
电子-半导体-集成电路制造,17,688469.SH,688469
环保-环境治理-水务及水治理,33,301148.SZ,301148
环保-环保设备-环保设备Ⅲ,33,300105.SZ,300105
计算机-计算机设备-安防设备,33,300449.SZ,300449
商贸零售-零售-商业物业经营,17,600605.SH,600605
医药生物-化学制药-化学制剂,33,301281.SZ,301281
机械设备-通用设备-金属制品,33,002896.SZ,002896
医药生物-医疗服务-医疗研发外包,33,301333.SZ,301333
医药生物-中药-中药Ⅲ,17,603439.SH,603439
医药生物-医药商业-药店,33,002727.SZ,002727
电子-其他电子-其他电子Ⅲ,17,600353.SH,600353
电子-元件-被动元件,33,300319.SZ,300319
电子-元件-印制电路板,33,300903.SZ,300903
电力设备-光伏设备-光伏电池组件,33,300051.SZ,300051
医药生物-化学制药-原料药,17,688166.SH,688166
汽车-汽车服务及其他-其他运输设备,17,689009.SH,689009
医药生物-生物制品-其他生物制品,17,688062.SH,688062
机械设备-专用设备-其他专用设备,33,300902.SZ,300902
汽车-汽车零部件-底盘与发动机系统,33,301225.SZ,301225
电子-半导体-模拟芯片设计,17,688536.SH,688536
电力设备-电池-锂电池,33,002850.SZ,002850
公用事业-电力-新能源发电,17,601619.SH,601619
家用电器-小家电-小家电Ⅲ,33,003023.SZ,003023
环保-环保设备-环保设备Ⅲ,17,688335.SH,688335
环保-环保设备-环保设备Ⅲ,33,000820.SZ,000820
医药生物-生物制品-其他生物制品,17,688428.SH,688428
电力设备-光伏设备-硅料硅片,33,300345.SZ,300345
医药生物-中药-中药Ⅲ,151,920433.BJ,920433
农林牧渔-农产品加工-果蔬加工,33,300175.SZ,300175
电子-元件-被动元件,33,000636.SZ,000636
机械设备-通用设备-机床工具,17,688305.SH,688305
电力设备-光伏设备-逆变器,17,605117.SH,605117
汽车-汽车零部件-车身附件及饰件,151,920533.BJ,920533
电子-半导体-模拟芯片设计,17,688601.SH,688601
电子-消费电子-消费电子零部件及组装,17,688260.SH,688260
机械设备-专用设备-能源及重型设备,33,001360.SZ,001360
商贸零售-零售-专业连锁,33,002416.SZ,002416
机械设备-专用设备-其他专用设备,33,300281.SZ,300281
汽车-汽车零部件-其他汽车零部件,33,300969.SZ,300969
电子-光学光电子-光学元件,33,301183.SZ,301183
电子-消费电子-消费电子零部件及组装,33,301051.SZ,301051
电子-消费电子-消费电子零部件及组装,33,301182.SZ,301182
医药生物-生物制品-其他生物制品,17,688443.SH,688443
食品饮料-食品加工制造-其他食品,33,000639.SZ,000639
医药生物-化学制药-原料药,33,300765.SZ,300765
通信-通信服务-通信应用增值服务,33,300895.SZ,300895
电子-半导体-模拟芯片设计,17,688052.SH,688052
环保-环保设备-环保设备Ⅲ,17,688309.SH,688309
计算机-IT服务-IT服务Ⅲ,33,300212.SZ,300212
计算机-IT服务-IT服务Ⅲ,151,920130.BJ,920130
房地产-房地产-住宅开发,33,000838.SZ,000838
计算机-软件开发-垂直应用软件,33,300996.SZ,300996
电子-半导体-分立器件,22,600745.SH,600745
医药生物-生物制品-其他生物制品,33,301080.SZ,301080
机械设备-通用设备-机床工具,17,601882.SH,601882
纺织服饰-纺织制造-其他纺织,33,300979.SZ,300979
商贸零售-互联网电商-互联网电商Ⅲ,33,003010.SZ,003010
医药生物-生物制品-疫苗,151,920575.BJ,920575
机械设备-自动化设备-机器人,17,688218.SH,688218
机械设备-通用设备-其他通用设备,17,688448.SH,688448
医药生物-医疗器械-医疗设备,17,688212.SH,688212
机械设备-通用设备-仪器仪表,33,301303.SZ,301303
医药生物-医疗器械-体外诊断,17,688606.SH,688606
医药生物-医疗服务-医疗研发外包,17,688046.SH,688046
医药生物-医疗器械-医疗设备,33,300049.SZ,300049
医药生物-医疗服务-医疗研发外包,33,300149.SZ,300149
电力设备-光伏设备-逆变器,33,300763.SZ,300763
电力设备-光伏设备-逆变器,33,300274.SZ,300274
计算机-软件开发-横向通用软件,33,300369.SZ,300369
计算机-软件开发-垂直应用软件,33,301195.SZ,301195
计算机-IT服务-IT服务Ⅲ,33,300167.SZ,300167
医药生物-医疗器械-医疗耗材,151,920166.BJ,920166
机械设备-通用设备-仪器仪表,33,301413.SZ,301413
房地产-房地产-住宅开发,33,000517.SZ,000517
